,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2543,2314,2226,2474,2810,2931,2847,3088,-,-,-,-,-,-
1,Market Cap Growth,-21.06%,-21.06%,-21.81%,-19.87%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1968,1709,1507,1741,2045,2184,2106,2961,-,-,-,-,-,-
3,Last Close Price,22.27,19.70,18.96,20.28,23.42,24.42,23.72,25.52,-,-,-,-,-,-
4,PE Ratio,24.29,22.24,20.52,24.33,27.79,28.48,26.18,23.95,-,-,-,-,-,-
5,Forward PE,19.54,17.82,15.52,16.98,16.92,18.36,-,-,-,-,-,-,-,-
6,PS Ratio,2.70,2.47,2.53,2.98,3.52,4.03,3.76,3.49,-,-,-,-,-,-
7,PB Ratio,1.78,1.64,1.61,1.72,2.00,2.11,2.09,2.27,-,-,-,-,-,-
8,P/TBV Ratio,1.70,1.70,1.67,1.78,2.06,2.18,2.16,2.35,-,-,-,-,-,-
9,P/FCF Ratio,53.36,-,32.33,-,81.09,202.36,71.70,-,-,-,-,-,-,-
10,P/OCF Ratio,17.09,17.09,15.56,-,21.79,25.57,20.68,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.10,1.83,1.71,2.10,2.56,3.00,2.78,3.35,-,-,-,-,-,-
12,EV/EBITDA Ratio,14.12,12.58,10.96,13.78,15.66,17.90,16.08,19.05,-,-,-,-,-,-
13,EV/EBIT Ratio,21.73,17.99,15.23,19.58,21.45,24.56,21.28,23.61,-,-,-,-,-,-
14,EV/FCF Ratio,41.30,-,21.89,-,59.01,150.76,53.05,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,-,-,0.01,-,-,-
16,Debt / EBITDA Ratio,0.15,0.17,0.12,0.12,0.17,0.17,0.21,0.12,-,-,0.03,-,-,-
17,Debt / FCF Ratio,0.44,-,0.28,-,0.58,1.51,0.57,-,-,-,0.20,-,-,-
18,Asset Turnover,0.58,0.54,0.56,0.54,0.48,0.46,0.67,-,-,-,-,1.24,-,
19,Inventory Turnover,6.16,5.66,5.73,6.43,7.49,6.77,7.96,7.86,-,-,-,-,5.79,-
20,Quick Ratio,2.75,2.75,2.87,3.98,4.12,5.05,5.15,5.20,1.55,-,1.34,-,1.09,1.09
21,Current Ratio,3.37,3.37,3.43,4.55,4.67,5.62,5.66,5.72,2.14,-,1.74,-,1.59,1.59
22,Return on Equity (ROE),6.12%,8.75%,8.87%,5.76%,7.53%,7.10%,12.00%,-,-,28.96%,-,26.92%,-,
23,Return on Assets (ROA),3.03%,3.99%,4.27%,2.77%,3.89%,2.72%,7.10%,-,-,-,-,12.09%,-,
24,Return on Capital (ROIC),3.67%,4.75%,4.99%,3.20%,4.44%,3.10%,8.45%,-,-,17.72%,-,18.42%,-,
25,Return on Capital Employed (ROCE),6.24%,6.55%,6.97%,6.03%,6.61%,6.28%,7.11%,9.02%,18.12%,-,24.10%,-,14.56%,7.28%
26,Earnings Yield,4.09%,4.50%,4.87%,4.11%,3.60%,3.51%,3.82%,4.18%,-,-,-,-,-,-
27,FCF Yield,1.87%,2.06%,3.09%,1.95%,1.23%,0.49%,1.39%,1.82%,-,-,-,-,-,-
28,Dividend Yield,2.93%,7.36%,-,-,3.42%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,87.57%,-,294.84%,-,-,-,92.80%,-,-,0.02%,0.14%,-,73.14%,73.14%
30,Buyback Yield / Dilution,-15.90%,-2.05%,-1.13%,-34.70%,-35.27%,-32.51%,-35.39%,0.54%,-0.12%,0.63%,-,-,-,-
31,Total Shareholder Return,-12.97%,5.31%,-1.13%,-34.70%,-31.85%,-32.51%,-35.39%,0.54%,-0.12%,0.63%,-,-,-,-
