,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,243.14,288.54,422.41,529.11,438.44,548.79,761.58,158.11,-,133.14,-,94.49,94.49
1,Trading Asset Securities,352.5,335.2,315.65,224.53,348.53,221.32,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,595.64,623.75,738.06,753.64,786.96,770.12,761.58,158.11,-,133.14,117.65,94.49,94.49
3,Cash Growth,-24.31%,-19.01%,-3.09%,376.66%,-,478.42%,547.35%,67.33%,-,-,-,-,-
4,Accounts Receivable,165.89,182.13,195.75,169.01,158.56,163.69,182.42,134.99,-,206.26,-,187.79,187.79
5,Other Receivables,10.32,4.16,4.85,6.39,6.68,10.81,6.54,1.91,-,10.28,-,4.64,4.64
6,Receivables,176.21,186.29,200.61,175.4,165.24,174.5,188.96,136.89,-,216.54,-,192.43,192.43
7,Inventory,140.29,122.71,109.38,100.59,85.19,70.43,62.28,87.92,-,89.47,-,125.47,125.47
8,Prepaid Expenses,-,2.22,-,0.16,-,-,-,-,-,-,-,-,-
9,Other Current Assets,34.2,30.89,24.25,23.56,21.62,22.76,32.89,23.99,-,14.63,-,5.08,5.08
10,Total Current Assets,946.34,965.86,1072,1053,1059,1038,1046,406.91,-,453.79,-,417.47,417.47
11,"Property, Plant & Equipment",491.95,471.51,462.38,468.71,472.76,467.66,458.25,442.5,-,398.47,-,301.56,301.56
12,Long-Term Investments,-,168.26,-,56.35,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,53.19,53.08,53.43,45.19,45.46,45.44,45.82,46.04,-,46.6,-,47.43,47.43
14,Long-Term Deferred Tax Assets,20.71,18.5,17.26,16.44,11.18,9.86,8.65,8.72,-,7.4,-,5.86,5.86
15,Long-Term Deferred Charges,15.65,13.8,14.12,14.7,-,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,204.18,9.85,89.95,11.92,17.13,15.47,15.56,1.8,-,13.01,-,10.25,10.25
17,Total Assets,1732,1701,1709,1667,1606,1576,1574,905.97,-,919.27,-,782.56,782.56
18,Accounts Payable,200.44,214.35,184.62,192.03,163.2,159.49,162.11,156.53,-,223.75,-,238.52,238.52
19,Accrued Expenses,22.88,29.57,14.48,27.97,18.39,19.17,8.62,31.38,-,20.43,-,19.27,19.27
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,6.67,-,-,-
21,Current Portion of Leases,1.86,1.63,1.59,1.62,1.8,1.81,-,-,-,-,-,-,-
22,Current Income Taxes Payable,13.37,3.2,3.3,2.06,1.89,-,6.23,1.23,-,7.84,-,4.61,4.61
23,Current Unearned Revenue,14.34,7.27,5.61,0.55,0.67,0.73,0.77,0.34,-,0.81,-,0.1,0.1
24,Other Current Liabilities,28.08,25.91,26.27,1.15,2.47,2.25,4.92,0.95,-,0.98,-,0.11,0.11
25,Total Current Liabilities,280.97,281.93,235.88,225.37,188.42,183.45,182.66,190.43,-,260.47,-,262.61,262.61
26,Long-Term Leases,19.12,17.39,17.68,18.6,20.02,20.91,21.01,-,-,-,-,-,-
27,Long-Term Unearned Revenue,11.04,11.63,8.94,9.34,9.07,9.65,10.23,10.29,-,7.72,-,6.21,6.21
28,Long-Term Deferred Tax Liabilities,6.25,5.67,5.73,5.55,1.04,0.51,0.35,0.35,-,-,-,-,-
29,Total Liabilities,317.39,316.61,268.22,258.87,218.55,214.53,214.25,201.07,-,268.19,-,268.82,268.82
30,Common Stock,113.87,113.87,113.87,112,112,112,112,84,-,84,-,84,84
