,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,254.28,224.36,236.46,216.16,194.04,177.58,206.64,137.77,227.84,300.84,253.81,240.5,240.5
1,Other Revenue,-5.06,5.06,-,4.68,-1.83,1.83,-,11.03,-4.78,4.78,-,2.08,2.08
2,Revenue,249.22,229.42,236.46,220.85,192.21,179.41,206.64,148.8,223.06,305.62,253.81,242.57,242.57
3,Revenue Growth (YoY),29.66%,27.87%,14.43%,48.42%,-13.83%,-41.30%,-18.58%,-38.66%,-8.05%,-,-,-,-
4,Cost of Revenue,186.17,166.11,168.69,173.92,131.78,132.09,147.49,112.75,161.04,233.84,193.1,181.69,181.69
5,Gross Profit,63.05,63.31,67.77,46.93,60.43,47.32,59.15,36.05,62.02,71.78,60.71,60.88,60.88
6,"Selling, General & Admin",27.32,23.34,22.88,19.1,20.72,18.62,13.1,5.93,19.15,15.5,11.84,11.37,11.37
7,Research & Development,13.65,12.3,12.26,7.33,14.54,12.45,9.68,11.68,10.36,10.65,9.38,9.95,9.95
8,Other Operating Expenses,2.44,1.31,1.88,2.08,0.6,0.11,-1.23,8.13,-0.01,1.01,-1.05,0.89,0.89
9,Operating Expenses,42.23,36.11,38.93,28.78,35.65,30.17,23.92,24.29,27.19,28.15,21.29,23.02,23.02
10,Operating Income,20.82,27.2,28.84,18.15,24.78,17.15,35.23,11.76,34.83,43.63,39.42,37.85,37.85
11,Interest Expense,-0.25,-0.24,-0.24,-0.55,-0.07,-0.21,-0.21,-,-0.01,-0.06,-0,-,-
12,Interest & Investment Income,3.21,2.39,3.42,3.9,2.73,3.08,1.06,0.84,0.72,0.48,0.38,0.42,0.42
13,Currency Exchange Gain (Loss),-2.49,2.49,-,2.21,-3.52,3.52,-,4.49,-1.58,1.58,-,-0.18,-0.18
14,Other Non Operating Income (Expenses),-0.84,-1.18,1.15,-3.34,3.31,0.67,-0.71,-5.98,5.08,0.95,-0.27,-0.07,-0.07
15,EBT Excluding Unusual Items,20.46,30.66,33.18,20.37,27.23,24.21,35.37,11.11,39.04,46.58,39.53,38.02,38.02
16,Gain (Loss) on Sale of Investments,1.39,1.16,2.12,1,2.2,1.32,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.17,0,-0,0.05,-,-,-,-,-,-,-,-,-
18,Asset Writedown,-1.39,0.9,-0.91,1.78,-1.84,0.44,-0.45,3.99,-4,1.51,-1.51,-0,-0
19,Other Unusual Items,0.87,0.8,0.58,1.13,-,-,-,8.61,-,-,-,1.27,1.27
20,Pretax Income,21.5,33.53,34.97,24.32,27.59,25.98,34.92,23.72,35.04,48.08,38.02,39.3,39.3
21,Income Tax Expense,0.08,2.63,3.39,4.18,1.73,1.84,3.95,1.79,3.32,3.76,4.35,4.73,4.73
22,Earnings From Continuing Operations,21.42,30.9,31.57,20.14,25.86,24.14,30.97,21.93,31.71,44.32,33.66,34.57,34.57
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-0.11,-0.11
24,Net Income,21.42,30.9,31.57,20.14,25.86,24.14,30.97,21.93,31.71,44.32,33.66,34.46,34.46
25,Net Income to Common,21.42,30.9,31.57,20.14,25.86,24.14,30.97,21.93,31.71,44.32,33.66,34.46,34.46
26,Net Income Growth,-17.17%,27.99%,1.94%,-8.15%,-18.46%,-45.54%,-8.00%,-36.36%,-7.96%,-,-,-,-
27,Shares Outstanding (Basic),113,114,113,114,111,113,84,84,84,84,84,84,84
28,Shares Outstanding (Diluted),113,114,113,114,111,113,84,84,84,84,84,84,84
29,Shares Change (YoY),2.05%,1.13%,34.70%,35.27%,32.51%,35.39%,-0.54%,0.12%,-0.63%,-,-,-,-
30,EPS (Basic),0.19,0.27,0.28,0.18,0.23,0.21,0.37,0.26,0.38,0.53,0.40,0.41,0.41
31,EPS (Diluted),0.19,0.27,0.28,0.18,0.23,0.21,0.37,0.26,0.38,0.53,0.40,0.41,0.41
32,EPS Growth,-18.83%,26.56%,-24.32%,-32.10%,-38.46%,-59.77%,-7.50%,-36.43%,-7.37%,-,-,-,-
33,Free Cash Flow,-9.22,53.23,-14.38,18.01,11.99,32.73,-28.08,-2.15,37.21,49.13,-38.81,11.78,11.78
34,Free Cash Flow Per Share,-0.08,0.47,-0.13,0.16,0.11,0.29,-0.34,-0.03,0.45,0.59,-0.46,0.14,0.14
35,Dividend Per Share,0.650,-,-,0.800,-,-,-,0.200,-,-,-,-,-
36,Dividend Growth,-,-,-,300.00%,-,-,-,-,-,-,-,-,-
37,Gross Margin,25.30%,27.60%,28.66%,21.25%,31.44%,26.38%,28.62%,24.23%,27.80%,23.49%,23.92%,25.10%,25.10%
38,Operating Margin,8.36%,11.85%,12.20%,8.22%,12.89%,9.56%,17.05%,7.91%,15.61%,14.28%,15.53%,15.61%,15.61%
39,Profit Margin,8.60%,13.47%,13.35%,9.12%,13.45%,13.45%,14.99%,14.74%,14.22%,14.50%,13.26%,14.20%,14.20%
40,Free Cash Flow Margin,-3.70%,23.20%,-6.08%,8.16%,6.24%,18.24%,-13.59%,-1.45%,16.68%,16.07%,-15.29%,4.86%,4.86%
41,EBITDA,30.85,37.92,38.87,28.18,32.61,26.71,43.07,19.6,41.63,51.19,46.23,44.4,44.4
42,EBITDA Margin,12.38%,16.53%,16.44%,12.76%,16.97%,14.89%,20.84%,13.17%,18.66%,16.75%,18.21%,18.30%,18.30%
43,D&A For EBITDA,10.02,10.72,10.02,10.02,7.83,9.56,7.83,7.83,6.8,7.56,6.8,6.54,6.54
44,EBIT,20.82,27.2,28.84,18.15,24.78,17.15,35.23,11.76,34.83,43.63,39.42,37.85,37.85
45,EBIT Margin,8.36%,11.85%,12.20%,8.22%,12.89%,9.56%,17.05%,7.91%,15.61%,14.28%,15.53%,15.61%,15.61%
46,Effective Tax Rate,0.38%,7.84%,9.70%,17.20%,6.28%,7.08%,11.31%,7.55%,9.48%,7.83%,11.45%,12.03%,12.03%
47,Revenue as Reported,249.22,229.42,236.46,220.85,192.21,179.41,206.64,148.8,223.06,305.62,253.81,-,-
