,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,14407,13437,21610,43494,73044,111130,158283,189365,233131,205441,268962,Upgrade
1,Market Cap Growth,-69.11%,-69.11%,-70.42%,-60.86%,-53.85%,-41.31%,-32.11%,-7.82%,-13.32%,-19.07%,31.31%,Upgrade
2,Enterprise Value,330982,278222,286395,312523,383725,429471,440905,468796,472486,407405,456477,Upgrade
3,Last Close Price,0.52,0.48,0.78,1.59,2.67,4.86,6.75,8.23,9.83,8.52,10.74,Upgrade
4,PE Ratio,-,-,-,-,-,7.64,4.81,4.39,5.61,4.92,6.08,Upgrade
5,Forward PE,-,-,-,5.03,4.16,3.47,3.40,4.16,4.18,4.04,5.30,Upgrade
6,PS Ratio,0.05,0.05,0.05,0.08,0.15,0.21,0.25,0.31,0.42,0.40,0.49,Upgrade
7,PB Ratio,0.96,0.17,0.22,0.16,0.21,0.31,0.43,0.57,0.76,0.80,1.10,Upgrade
8,P/TBV Ratio,0.96,0.96,0.79,0.26,0.32,0.48,0.65,0.86,1.13,1.19,1.59,Upgrade
9,P/FCF Ratio,-,-,-,1.24,1.89,29.90,-,84.24,-,-,20.08,Upgrade
10,P/OCF Ratio,-,-,-,1.19,1.81,16.56,11.88,32.67,-,-,16.39,Upgrade
11,PEG Ratio,-,-,-,0.47,-,-,3.71,0.42,1.17,0.56,0.38,Upgrade
12,EV/Sales Ratio,1.11,0.94,0.65,0.59,0.79,0.81,0.69,0.76,0.86,0.79,0.84,Upgrade
13,EV/EBITDA Ratio,-,-,-,-,27.81,8.96,5.64,5.47,5.55,4.19,4.37,Upgrade
14,EV/EBIT Ratio,-,-,-,-,32.42,9.36,5.80,5.62,5.67,4.25,4.42,Upgrade
15,EV/FCF Ratio,-3.86,-,-,8.93,9.93,115.55,-,208.56,-,-,34.08,Upgrade
16,Debt / Equity Ratio,3.40,3.40,2.84,1.02,0.88,0.97,1.06,1.17,1.27,1.46,1.70,Upgrade
17,Debt / FCF Ratio,-,-,-,7.99,7.95,92.74,-,173.86,-,-,30.97,Upgrade
18,Return on Capital Employed (ROCE),-,-,-,-,2.04%,7.09%,10.87%,12.65%,13.43%,17.16%,18.17%,Upgrade
19,Earnings Yield,-1061.39%,-1137.99%,-909.47%,-138.12%,-9.37%,13.08%,20.78%,22.79%,17.84%,20.32%,16.45%,Upgrade
20,FCF Yield,-594.64%,-637.55%,-390.94%,80.42%,52.92%,3.34%,5.99%,1.19%,-12.55%,-2.88%,4.98%,Upgrade
21,Dividend Yield,0.00%,-,-,-,-,-,5.66%,6.72%,5.50%,7.05%,5.95%,Upgrade
22,Buyback Yield / Dilution,-7.48%,-2.32%,-13.27%,-19.51%,-6.26%,-1.78%,-2.08%,-0.88%,-1.55%,-1.10%,0.58%,Upgrade
23,Total Shareholder Return,-7.48%,-2.32%,-13.27%,-19.51%,-6.26%,-1.78%,3.58%,5.84%,3.95%,5.96%,6.53%,Upgrade
