,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,122873,116292,114690,-,48133,60707,164203,134268,89647,72298,68337,161255,98731,207540,273364,177697,133171,121263,138333,117354,Upgrade
1,Short-Term Investments,420755,366855,361352,-,266412,236475,161630,92520,142480,187240,182140,187740,140728,83868,70377,117400,115695,106900,152800,123600,Upgrade
2,Cash & Short-Term Investments,543627,483147,476042,314545,314545,297181,325833,226788,232127,259538,250477,348995,239459,291408,343741,295097,248866,228163,291133,240954,Upgrade
3,Cash Growth,72.83%,62.58%,46.10%,38.70%,35.51%,14.50%,30.08%,-35.02%,-3.06%,-10.94%,-27.13%,18.26%,-3.78%,27.72%,18.07%,22.47%,28.10%,28.74%,61.74%,38.98%,Upgrade
4,Accounts Receivable,296284,261466,276008,-,212379,220723,241972,291560,292589,352080,429956,396735,330932,269202,448217,409803,296339,259045,238402,301085,Upgrade
5,Other Receivables,5760,3653,13788,-,5072,7925,10503,4887,6629,6147,2486,750.83,4199,792.99,35648,1197,997.68,1595,25028,1292,Upgrade
6,Receivables,302044,265119,289796,-,217451,228648,252475,296447,299218,358227,432442,397486,335131,269995,483865,411000,297337,260641,263430,302377,Upgrade
7,Inventory,281461,240720,273025,-,284459,338241,366387,291798,363592,398804,458896,404042,511107,515935,446949,252194,233835,312651,345281,276186,Upgrade
8,Prepaid Expenses,3067,4429,3223,-,2360,3809,3711,2814,2878,3719,3147,2563,2264,3040,2333,3403,2279,4072,3843,3640,Upgrade
