,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,523038,488104,482543,424868,398464,349280,341794,378254,444525,499835,606024,537323,543239,373423,656118,554334,527733,365226,368877,395547,Upgrade
1,Revenue Growth (YoY),31.26%,39.75%,41.18%,12.32%,-10.36%,-30.12%,-43.60%,-29.60%,-18.17%,33.85%,-7.63%,-3.07%,2.94%,2.24%,77.87%,40.14%,5.98%,-21.13%,-23.91%,-9.47%,Upgrade
2,Cost of Revenue,470706,441434,438097,384650,375314,325277,317864,348751,407539,494920,560645,501757,496244,350528,595511,522070,478478,320770,336414,358040,Upgrade
3,Gross Profit,52332,46671,44446,40218,23150,24003,23930,29503,36986,4915,45379,35567,46994,22895,60606,32264,49256,44455,32463,37507,Upgrade
4,"Selling, General & Admin",20204,19484,19275,18899,16747,16947,16663,17324,17175,17158,17475,17169,16259,16019,17536,18031,16815,17000,16751,17727,Upgrade
5,Operating Expenses,20204,19484,19275,18899,16747,16947,16663,17324,17175,17158,17475,17169,16259,16019,17536,18031,16815,17000,16751,17727,Upgrade
6,Operating Income,32128,27186,25171,21319,6403,7056,7267,12179,19811,-12243,27904,18398,30735,6876,43070,14233,32441,27455,15712,19780,Upgrade
7,Interest Expense,-6649,-6939,-6175,-5296,-4387,-6270,-7499,-8168,-11262,-8024,-6348,-5320,-3911,-4524,-3629,-2906,-3017,-3654,-4211,-4602,Upgrade
8,Interest & Investment Income,5239,10644,8362,4649,4156,12717,4374,474.09,2388,10127,10263,2020,1692,2047,2766,1561,2039,2983,3975,2027,Upgrade
9,Currency Exchange Gain (Loss),439.91,-,-,818.72,594.36,-,-,-2945,-333.88,-,-,-,-142.86,-,-,-342.73,-682.55,-,-,-1206,Upgrade
10,Other Non Operating Income (Expenses),-120,-7323,-3239,-351.09,-1659,-5095,-3591,2245,99.86,-3260,-1863,-2101,-101.44,-3881,-1103,0.68,56.22,-915.62,-2145,1788,Upgrade
11,EBT Excluding Unusual Items,31038,23569,24120,21139,5108,8407,551,3786,10703,-13400,29956,12996,28272,518.58,41103,12546,30837,25869,13331,17787,Upgrade
12,Gain (Loss) on Sale of Assets,240.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.45,-,-,-,Upgrade
13,Pretax Income,31278,23569,24120,21139,5108,8407,551,3786,10703,-13400,29956,12996,28272,518.58,41103,12546,30836,25869,13331,17787,Upgrade
14,Income Tax Expense,7725,3784,4829,4021,6406,5274,2996,2214,402.94,-,5648,2254,4910,1248,6132,3170,6106,3980,2766,3466,Upgrade
15,Net Income,23553,19785,19291,17118,-1298,3133,-2445,1572,10300,-13400,24308,10742,23362,-729.06,34971,9376,24730,21889,10564,14321,Upgrade
16,Preferred Dividends & Other Adjustments,-,-,-,-,28.84,-,-,-,958.51,-,-,-,1823,-,-,-,-,-,-,-,Upgrade
17,Net Income to Common,23553,19785,19291,17118,-1327,3133,-2445,1572,9341,-13400,24308,10742,21538,-729.06,34971,9376,24730,21889,10564,14321,Upgrade
18,Net Income Growth,-,531.50%,-,989.01%,-,-,-,-85.37%,-55.91%,-,-30.49%,14.57%,-5.54%,-,231.03%,-34.53%,4.88%,-3.22%,-53.47%,-28.64%,Upgrade
19,Shares Outstanding (Basic),31,31,31,-,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,Upgrade
20,Shares Outstanding (Diluted),31,31,31,-,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,Upgrade
21,EPS (Basic),767.67,644.88,628.76,-,-43.26,102.12,-79.70,51.23,304.47,-436.75,792.29,350.12,702.01,-23.76,1139.84,305.59,806.06,713.44,344.34,466.77,Upgrade
22,EPS (Diluted),767.67,644.88,628.76,-,-43.26,102.12,-79.70,51.23,304.47,-436.75,792.29,350.12,702.01,-23.76,1139.84,305.59,806.06,713.44,344.34,466.77,Upgrade
