,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,521570,417256,385041,314476,304658,316010,319078,349759,355895,377371,443334,497025,616680,573727,570659,472481,506230,481685,406518,441800,349759,Upgrade
1,Market Cap Growth,32.04%,32.04%,20.67%,-10.09%,-14.40%,-16.26%,-28.03%,-29.63%,-42.29%,-34.22%,-22.31%,5.19%,21.82%,19.11%,40.38%,6.94%,44.74%,12.14%,-5.69%,27.43%,-8.43%,Upgrade
2,Enterprise Value,566447,447509,421426,406015,396197,466645,489657,450562,613391,732065,873108,798896,964277,988384,839548,646730,599829,678002,484766,552581,529702,Upgrade
3,Last Close Price,17000.00,13600.00,12550.00,10250.00,9695.80,10057.08,10154.72,11131.13,10932.45,11592.17,13618.44,14419.53,17890.90,16644.76,16555.75,13707.45,13226.25,12584.97,10621.08,10008.30,7923.24,Upgrade
4,PE Ratio,6.72,5.23,7.02,8.23,18.49,-,27.50,-,16.31,12.18,-,8.90,9.27,8.81,-,5.19,7.61,6.74,5.78,6.22,4.20,Upgrade
5,PS Ratio,0.28,0.22,0.21,0.19,0.20,0.22,0.21,0.21,0.18,0.18,0.20,0.24,0.29,0.27,0.27,0.22,0.28,0.29,0.25,0.26,0.19,Upgrade
6,PB Ratio,0.95,0.76,0.73,0.62,0.64,0.66,0.66,0.73,0.72,0.77,0.92,1.00,1.23,1.17,1.22,1.01,1.04,1.01,0.90,1.02,0.71,Upgrade
7,P/TBV Ratio,0.76,0.76,0.73,0.62,0.64,0.66,0.66,0.73,0.72,0.77,0.92,1.00,1.23,1.17,1.23,1.01,1.04,1.01,0.90,1.03,0.71,Upgrade
8,P/FCF Ratio,16.47,-,3.59,2.41,9.12,1.90,1.62,-,1.60,3.43,5.23,-,-7.61,-2.81,-,-,-,3.40,-,3.45,2.78,Upgrade
9,P/OCF Ratio,9.95,-,3.33,2.27,7.22,1.81,1.55,-,1.59,3.34,5.01,-,-8.68,-2.95,-,-,-,3.25,-,3.25,2.55,Upgrade
10,EV/Sales Ratio,0.30,0.23,0.23,0.25,0.26,0.32,0.32,0.27,0.32,0.35,0.40,0.39,0.46,0.46,0.40,0.31,0.33,0.41,0.30,0.32,0.29,Upgrade
11,EV/EBITDA Ratio,4.95,3.78,4.47,5.61,7.21,10.07,8.41,11.05,9.97,10.77,-,8.14,8.50,9.03,7.54,4.89,5.70,6.13,4.37,4.92,4.12,Upgrade
12,EV/EBIT Ratio,5.56,4.23,5.26,6.77,9.42,14.18,10.57,16.68,12.87,13.59,-,9.52,9.73,10.41,8.69,5.52,6.68,7.11,5.07,5.69,4.66,Upgrade
13,EV/FCF Ratio,17.89,-,3.93,3.11,11.86,2.80,2.49,-,2.76,6.66,10.30,-,-11.90,-4.84,-,-,-,4.79,-,4.31,4.21,Upgrade
14,Debt / Equity Ratio,1.07,1.07,0.98,1.01,0.85,0.85,0.93,1.03,0.66,1.00,1.28,1.37,1.30,1.20,1.52,1.31,0.96,0.72,0.94,0.86,0.71,Upgrade
15,Debt / EBITDA Ratio,5.14,4.15,4.19,4.56,4.19,8.94,12.81,11.62,5.25,5.27,-,5.41,7.39,4.27,16.99,3.28,6.50,2.37,3.40,4.73,3.73,Upgrade
16,Debt / FCF Ratio,18.59,-,4.79,3.92,12.16,2.44,2.27,-,1.48,4.45,7.25,-,-8.03,-2.87,-,-,-,2.43,-,2.88,2.79,Upgrade
17,Asset Turnover,1.75,1.71,-,-,1.63,1.35,1.37,1.54,1.60,1.60,1.88,1.73,1.74,1.12,2.11,2.24,2.28,1.46,1.48,1.70,Upgrade,
18,Inventory Turnover,5.94,7.21,6.87,-,-,4.82,3.69,3.86,4.26,4.28,4.62,5.20,4.39,3.87,2.91,6.81,8.59,7.00,3.90,4.33,4.92,Upgrade
19,Quick Ratio,1.22,1.22,1.21,1.20,-,1.12,1.01,0.97,1.24,0.96,0.89,0.83,0.97,0.79,0.69,0.88,1.17,1.32,0.96,0.91,1.19,Upgrade
20,Current Ratio,1.67,1.67,1.72,1.67,-,1.83,1.76,1.67,1.97,1.72,1.56,1.49,1.52,1.53,1.45,1.39,1.64,1.90,1.68,1.51,1.82,Upgrade
21,Return on Equity (ROE),17.52%,15.33%,15.65%,14.27%,-1.08%,2.61%,-2.00%,1.27%,8.46%,-10.98%,19.55%,8.69%,19.57%,-0.63%,29.34%,7.77%,21.25%,19.80%,9.14%,11.78%,Upgrade,
22,Return on Assets (ROA),6.73%,5.95%,-,-,1.64%,1.70%,1.82%,3.10%,4.45%,-2.45%,5.40%,3.70%,6.17%,1.28%,8.64%,3.59%,8.75%,6.85%,3.94%,5.30%,Upgrade,
23,Return on Capital (ROIC),7.38%,6.60%,6.61%,6.02%,1.76%,1.85%,2.02%,3.37%,4.77%,-2.70%,6.00%,4.13%,6.84%,1.53%,10.58%,4.00%,9.54%,8.18%,4.77%,5.82%,Upgrade,
24,Return on Capital Employed (ROCE),18.55%,19.25%,15.22%,11.84%,-,6.86%,9.63%,5.62%,9.61%,10.95%,-,16.96%,19.82%,19.40%,20.74%,25.12%,18.44%,19.97%,21.12%,22.51%,23.04%,Upgrade
25,Earnings Yield,14.87%,19.11%,14.26%,12.16%,5.42%,0.30%,3.94%,-1.14%,6.40%,8.47%,10.15%,11.61%,11.08%,11.67%,11.98%,19.25%,13.15%,14.84%,17.31%,16.09%,23.79%,Upgrade
26,FCF Yield,6.07%,7.59%,27.84%,41.52%,10.96%,52.65%,61.70%,79.17%,62.36%,29.14%,19.12%,-22.67%,-13.14%,-35.59%,-29.78%,-28.78%,-1.28%,29.39%,9.36%,29.00%,35.98%,Upgrade
27,Dividend Yield,1.46%,-,-,-,-,-,-,-,-,3.45%,-,-,-,5.41%,-,-,-,13.91%,-,-,-,Upgrade
28,Payout Ratio,0.00%,-,-,-,-,-,391.70%,-,-,-,-,-,-,-,-,-,-,-,322.38%,-,-,Upgrade
29,Total Shareholder Return,1.46%,-,-,-,-,-,-,-,-,3.45%,-,-,-,5.41%,-,-,-,13.91%,-,-,-,Upgrade
