,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,547.76,941.07,876.36,1268,1421,1785,575.29,374.7,-
1,Short-Term Investments,361.9,202.17,371.29,145.61,266.21,2.05,2.51,5.14,-
2,Cash & Short-Term Investments,909.66,1143,1248,1414,1687,1787,577.8,379.84,-
3,Cash Growth,-27.09%,-19.14%,-26.06%,-20.87%,192.06%,370.39%,-,-,-
4,Accounts Receivable,58.19,79.64,80.77,63.88,43.71,34.04,25.86,19.55,-
5,Other Receivables,4.91,9.31,5.83,7.84,-,3.28,1.13,0.24,-
6,Receivables,63.1,88.95,86.6,71.72,43.71,37.32,26.98,19.79,-
7,Inventory,28.2,40.13,54.57,29.57,11.87,7.68,3.45,3.56,-
8,Other Current Assets,16.67,9.6,20.01,160.67,-,13.91,29.53,5.72,-
9,Total Current Assets,1018,1282,1409,1676,1743,1846,637.76,408.9,-
10,"Property, Plant & Equipment",24.88,28.45,29.81,33.08,40.19,44.96,35.3,23.25,-
11,Long-Term Investments,284.2,148.41,105.42,20.32,3.61,3.61,3.61,3.61,-
12,Goodwill,127.21,127.21,128.34,0.97,-,-,-,-,-
13,Other Intangible Assets,88.92,93.93,96.92,5.86,-,-,-,-,-
14,Other Long-Term Assets,4.54,4.98,4.18,3.91,7.37,-,-,-,-
15,Total Assets,1547,1685,1773,1740,1794,1894,676.67,435.75,-
16,Accounts Payable,7.94,17.53,22.87,6.63,3.25,5.71,3.92,2.88,-
17,Accrued Expenses,36.2,55.02,28.41,27.58,19.15,27.38,7.52,9.09,-
18,Current Portion of Leases,3.48,8.62,7.99,4.09,4.94,4.78,3.33,0.52,-
19,Current Income Taxes Payable,-,0.34,1.49,0.35,0.38,0.38,0.72,0.38,-
20,Current Unearned Revenue,12.52,23.73,26.5,18.2,16.07,17.73,8.11,9.29,-
21,Other Current Liabilities,1.65,5,3,7.82,7,14.8,17.48,2.74,-
22,Total Current Liabilities,61.79,110.24,90.26,64.67,50.79,70.77,41.07,24.9,-
23,Long-Term Leases,0.59,0.75,4.26,3.93,3.65,3.42,1.72,-,-
24,Long-Term Unearned Revenue,2.61,4.2,-,-,-,-,2.41,2.41,-
25,Long-Term Deferred Tax Liabilities,10.76,11.94,13.91,-,-,-,-,-,-
26,Total Liabilities,75.74,127.13,108.44,68.59,54.43,74.19,45.19,27.3,-
27,Common Stock,103.57,103.57,103.57,103.57,101.25,101.25,78.98,75,-
28,Additional Paid-In Capital,1832,1828,1828,1828,1828,1828,565.16,330.35,-
29,Retained Earnings,-558.6,-478.09,-382.53,-345.56,-265.24,-165.56,-60.52,-22.92,-
30,Treasury Stock,-20.48,-10.44,-,-,-,-,-,-,-
31,Comprehensive Income & Other,98.6,97.39,90.18,80.15,75.82,56.33,47.85,25.79,-
32,Total Common Equity,1455,1540,1639,1666,1740,1820,631.47,408.21,-
33,Minority Interest,16.39,17.4,25.87,5.24,-,-,-,0.24,-
34,Shareholders' Equity,1472,1558,1665,1671,1740,1820,631.47,408.45,-
35,Total Liabilities & Equity,1547,1685,1773,1740,1794,1894,676.67,435.75,-
36,Total Debt,4.07,9.37,12.26,8.01,8.59,8.2,5.05,0.52,-
37,Net Cash (Debt),905.59,1134,1235,1406,1679,1779,572.75,379.32,-
38,Net Cash Growth,-26.70%,-19.35%,-26.42%,-20.95%,193.13%,368.87%,-,-,-
39,Net Cash Per Share,8.87,10.96,11.93,13.42,16.58,20.69,7.55,8.53,-
40,Filing Date Shares Outstanding,102.12,102.55,103.57,103.57,101.25,101.25,78.98,75,29.12
41,Total Common Shares Outstanding,102.12,102.55,103.57,103.57,101.25,101.25,78.98,75,29.12
42,Working Capital,955.83,1172,1319,1611,1692,1775,596.69,384,-
43,Book Value Per Share,14.25,15.02,15.83,16.09,17.18,17.98,8.00,5.44,-
44,Tangible Book Value,1239,1319,1414,1659,1740,1820,631.47,408.21,-
45,Tangible Book Value Per Share,12.13,12.86,13.65,16.02,17.18,17.98,8.00,5.44,-
46,Machinery,-,39.81,-,51.77,-,53.7,41.67,31.08,-
47,Leasehold Improvements,-,5.37,-,4.21,-,2.01,1.58,0.31,-
