,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1397,1466,1253,1106,1434,1740,3977,-,-,-
1,Market Cap Growth,32.58%,32.58%,-12.59%,-36.43%,-63.95%,-,-,-,-,-
2,Enterprise Value,442,236,-54,-477,-533,-443,3288,-,-,-
3,Last Close Price,13.68,14.30,12.10,10.68,14.16,16.80,38.40,-,-,-
4,PS Ratio,6.08,6.34,5.58,6.45,11.16,14.41,28.13,-,-,-
5,PB Ratio,0.89,0.93,0.73,0.61,0.76,0.85,1.78,-,-,-
6,P/TBV Ratio,1.10,1.10,0.86,0.72,0.76,0.85,1.78,-,-,-
7,P/FCF Ratio,45.14,-,126.45,-,-,-,-,-,-,-
8,P/OCF Ratio,27.34,-,46.73,-,-,-,-,-,-,-
9,EV/Sales Ratio,1.91,1.02,-,-,-,-,23.26,-,-,-
10,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,-
11,Debt / FCF Ratio,0.14,-,1.04,-,-,-,-,-,-,-
12,Earnings Yield,-13.54%,-12.90%,-11.65%,-11.46%,-14.19%,-13.78%,-4.40%,-,-,-
13,FCF Yield,2.22%,2.18%,0.79%,-35.18%,-30.73%,-14.38%,-4.32%,-,-,-
14,Buyback Yield / Dilution,1.33%,1.40%,1.25%,-2.29%,-21.86%,-33.39%,-93.36%,-160.68%,-,-
15,Total Shareholder Return,1.33%,1.40%,1.25%,-2.29%,-21.86%,-33.39%,-93.36%,-160.68%,-,-
