,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,93.71,121.46,82.5,76.25,37.41,65.7,49.48,41.16,6.51
1,Revenue Growth (YoY),13.59%,59.29%,120.55%,16.05%,-24.40%,59.63%,659.90%,-,-
2,Cost of Revenue,39.95,47.69,31.14,42.47,15.34,27.17,17.77,10.59,8
3,Gross Profit,53.76,73.77,51.36,33.78,22.07,38.54,31.7,30.58,-1.49
4,"Selling, General & Admin",80.19,114.74,83.47,91.06,80.58,100.84,48.81,27,16.7
5,Research & Development,48.99,55.13,56.52,56.02,69.57,40.26,24.01,25.49,16.82
6,Other Operating Expenses,-4.31,16.12,-0.08,2.91,-0.23,-2.81,-0.1,-0.27,-
7,Operating Expenses,149.55,185.99,142.75,149.99,149.93,138.3,72.72,52.23,33.52
8,Operating Income,-95.79,-112.22,-91.38,-116.21,-127.86,-99.76,-41.02,-21.65,-35.01
9,Interest Expense,-0.22,-0.27,-0.28,-0.25,-0.19,-0.2,-0.1,-0.01,-0.01
10,Interest & Investment Income,4.45,4.05,8.98,6.99,2.16,0.9,1.12,2.12,2.65
11,Currency Exchange Gain (Loss),0.39,-4.37,7.81,17.71,40.85,-9.21,-0.21,-0.02,-
12,Other Non Operating Income (Expenses),-0.13,-,2.89,-,-,-,-,-11.02,-16.3
13,EBT Excluding Unusual Items,-91.3,-112.81,-71.99,-91.76,-85.05,-108.26,-40.21,-30.58,-48.67
14,Gain (Loss) on Sale of Investments,8.57,7.48,32.43,8.7,-14.64,2.88,3.11,-,-
15,Gain (Loss) on Sale of Assets,-,-,-0.97,-,-,-,-0.06,0,-0
16,Other Unusual Items,-,-,-,-,-,-,-,-0.01,0.01
17,Pretax Income,-82.73,-105.33,-40.53,-83.06,-99.68,-105.37,-37.15,-30.59,-48.66
18,Income Tax Expense,-1.24,-0.69,0.49,-,-,-0.34,0.34,0.26,0.12
19,Earnings From Continuing Operations,-81.49,-104.64,-41.02,-83.06,-99.68,-105.04,-37.49,-30.85,-48.78
20,Minority Interest in Earnings,0.99,9.07,4.05,2.74,-,-,-0.11,0.31,-0.75
21,Net Income,-80.5,-95.56,-36.97,-80.32,-99.68,-105.04,-37.6,-30.54,-49.52
22,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-6.27,-23.64
23,Net Income to Common,-80.5,-95.56,-36.97,-80.32,-99.68,-105.04,-37.6,-24.27,-25.89
24,Shares Outstanding (Basic),102,103,104,105,101,86,76,44,29
25,Shares Outstanding (Diluted),102,103,104,105,101,86,76,44,29
26,Shares Change (YoY),-1.40%,-1.25%,2.29%,21.86%,33.39%,93.36%,160.68%,-,-
27,EPS (Basic),-0.79,-0.92,-0.36,-0.77,-0.98,-1.22,-0.50,-0.55,-0.89
28,EPS (Diluted),-0.79,-0.92,-0.36,-0.77,-0.98,-1.22,-0.50,-0.55,-0.89
29,Free Cash Flow,-76.3,106.08,-97.09,-263.07,-126.68,-86.89,-53.22,-39.07,-25.7
30,Free Cash Flow Per Share,-0.75,1.03,-0.94,-2.51,-1.25,-1.01,-0.70,-0.88,-0.88
31,Operating Margin,-102.22%,-92.39%,-110.76%,-152.40%,-341.80%,-151.83%,-82.90%,-52.60%,-537.69%
32,Profit Margin,-85.91%,-78.68%,-44.81%,-105.34%,-266.48%,-159.86%,-75.99%,-58.96%,-397.57%
33,Free Cash Flow Margin,-81.42%,87.34%,-117.68%,-345.00%,-338.65%,-132.24%,-107.56%,-94.91%,-394.76%
34,EBITDA,-85.86,-98.1,-82.03,-108.38,-119.83,-94.77,-34.41,-19.14,-32.83
35,D&A For EBITDA,9.93,14.12,9.35,7.83,8.03,4.99,6.61,2.51,2.18
36,EBIT,-95.79,-112.22,-91.38,-116.21,-127.86,-99.76,-41.02,-21.65,-35.01
