,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,3179,3096,3507,5837,7202,7284,-,-,-
1,Market Cap Growth,-46.95%,-46.95%,-51.31%,-19.87%,-,-,-,-,-
2,Enterprise Value,1194,1128,1571,3792,5296,6124,-,-,-
3,Last Close Price,3.85,3.75,4.24,6.90,8.51,8.61,-,-,-
4,PE Ratio,10.30,10.04,11.60,16.58,25.79,50.52,-,-,-
5,Forward PE,9.62,10.06,9.54,17.63,29.09,-,-,-,-
6,PS Ratio,2.49,2.43,2.97,4.86,6.15,6.83,-,-,-
7,PB Ratio,1.04,1.01,1.20,2.02,2.65,2.90,-,-,-
8,P/TBV Ratio,1.07,1.07,1.28,2.14,2.70,2.92,-,-,-
9,P/FCF Ratio,-,-,53.07,42.87,50.86,45.50,-,-,-
10,P/OCF Ratio,-,-,23.78,32.44,42.03,39.87,-,-,-
11,PEG Ratio,0.90,1.65,0.51,-,-,-,-,-,-
12,EV/Sales Ratio,0.94,0.89,1.33,3.16,4.52,5.74,-,-,-
13,EV/EBITDA Ratio,4.36,3.95,5.83,11.75,18.78,30.39,-,-,-
14,EV/EBIT Ratio,4.62,4.17,6.26,12.33,19.81,32.87,-,-,-
15,EV/FCF Ratio,-,-,23.78,27.85,37.40,38.25,-,-,-
16,Debt / Equity Ratio,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.37,-
17,Debt / FCF Ratio,-,-,0.97,0.43,0.20,0.20,0.22,3.52,-
18,Return on Capital Employed (ROCE),8.70%,8.70%,8.47%,10.51%,9.72%,7.30%,8.36%,8.12%,-
19,Earnings Yield,9.70%,9.96%,8.62%,6.03%,3.88%,1.98%,-,-,-
20,FCF Yield,-,1.88%,2.33%,1.97%,2.20%,-,-,-,
21,Buyback Yield / Dilution,0.81%,1.09%,0.52%,-8.49%,-6.10%,-33.42%,-35.74%,-,-
22,Total Shareholder Return,3.39%,1.09%,0.52%,-8.49%,-6.10%,-33.42%,-35.74%,-,-
