,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,248.59,246.71,255.78,239.03,229.15,131.62,175.89,-
1,Short-Term Investments,12.18,14.53,0.43,6.01,0.45,20.36,0.44,-
2,Trading Asset Securities,-,-,-,19.54,18.79,-,-,-
3,Cash & Short-Term Investments,260.77,261.23,256.21,264.58,248.39,151.98,176.33,-
4,Cash Growth,1.78%,-1.27%,3.15%,74.09%,40.87%,-,-,-
5,Accounts Receivable,41.68,35.66,37.97,36.42,32.32,29.7,26.82,-
6,Other Receivables,2.68,1.93,8.44,0.32,2.43,1.02,0.98,-
7,Receivables,44.36,37.59,46.41,36.75,34.76,30.72,27.8,-
8,Inventory,56.33,48.91,41.43,33.29,29.4,27.9,29.57,-
9,Prepaid Expenses,-,-,3.92,-,1.73,1.8,0.78,-
10,Other Current Assets,-,-,-,-,-,15.97,0.88,-
11,Total Current Assets,361.46,347.74,347.96,334.62,314.28,228.37,235.36,-
12,"Property, Plant & Equipment",27.6,25.23,18.47,15.11,12.97,12.8,13.44,-
13,Long-Term Investments,14.91,15.56,15.54,13.14,13.42,28.34,9.93,-
14,Goodwill,10.21,12.96,12.96,1.75,1.75,1.75,1.75,-
15,Other Intangible Assets,9.76,9.37,6.45,4.04,0.87,0.94,1,-
16,Long-Term Deferred Tax Assets,5.31,3.18,3.54,2.75,2.83,2.12,2.86,-
17,Long-Term Deferred Charges,-,-,3.11,-,3.19,3.2,3.27,-
18,Other Long-Term Assets,1.77,1.39,2.12,1.79,1.76,1.26,0.93,-
19,Total Assets,431.01,415.44,410.14,373.2,351.06,278.78,268.53,-
20,Accounts Payable,6.84,6.18,4.82,4.71,4.07,3.88,2.17,-
21,Accrued Expenses,19.72,13.45,11.61,11.99,11.2,10.15,8.96,-
22,Short-Term Debt,-,4.24,4.24,-,-,-,-,-
23,Current Portion of Leases,1.78,1.57,1.87,1.75,1.68,1.4,1.48,-
24,Current Income Taxes Payable,2.32,5.45,3.83,3.81,1.97,1.57,0.93,-
25,Other Current Liabilities,0.06,5.03,9.26,0.1,4.9,4.19,2.91,-
26,Total Current Liabilities,30.72,35.91,35.62,22.36,23.81,21.19,16.45,-
27,Long-Term Debt,-,-,-,-,-,-,63.71,-
28,Long-Term Leases,2.42,2.36,1.36,1.91,2.35,2.66,2.5,-
29,Long-Term Deferred Tax Liabilities,0.87,0.92,0.97,-,-,-,-,-
30,Total Liabilities,36.63,41.67,40.73,26.55,28.49,26.05,85.42,-
31,Common Stock,0.41,0.41,0.41,0.41,0.41,0.29,0.29,-
32,Additional Paid-In Capital,-,-,277.94,-,277.71,-,-,-
33,Retained Earnings,-38.76,-59.76,-76.21,-98.68,-121.32,-131.9,-140.18,-
34,Treasury Stock,-,-,-0.82,-,-,-,-,-
35,Comprehensive Income & Other,431.65,432.12,167.07,444.91,165.76,384.34,323.01,-
36,Total Common Equity,393.31,372.77,368.4,346.65,322.57,252.73,183.11,-
37,Minority Interest,1.07,1,1.02,-,-,-,-,-
38,Shareholders' Equity,394.38,373.77,369.42,346.65,322.57,252.73,183.11,-
39,Total Liabilities & Equity,431.01,415.44,410.14,373.2,351.06,278.78,268.53,-
40,Total Debt,4.2,8.17,7.46,3.66,4.03,4.05,67.69,-
41,Net Cash (Debt),256.57,253.07,248.75,260.92,244.36,147.92,108.64,-
42,Net Cash Growth,3.14%,-3.01%,1.80%,76.39%,124.94%,-,-,-
43,Net Cash Per Share,0.31,0.31,0.30,0.31,0.32,0.19,0.19,-
44,Filing Date Shares Outstanding,824.72,825.73,827.02,827.77,827.77,576.9,576.9,576.9
45,Total Common Shares Outstanding,824.72,825.73,827.02,827.77,827.77,576.9,576.9,576.9
46,Working Capital,330.73,311.83,312.34,312.27,290.46,207.18,218.91,-
47,Book Value Per Share,0.48,0.45,0.45,0.42,0.39,0.44,0.32,-
48,Tangible Book Value,373.35,350.43,348.99,340.86,319.95,250.04,180.36,-
49,Tangible Book Value Per Share,0.45,0.42,0.42,0.41,0.39,0.43,0.31,-
50,Buildings,-,-,5.65,-,5.23,5.23,5.23,-
51,Machinery,-,-,22.99,-,22.09,21.57,21.89,-
52,Construction In Progress,-,-,3.43,-,0.4,0.09,0.03,-
53,Leasehold Improvements,-,-,4.74,-,4.04,4.14,4.12,-
