,Fiscal Quarter,Q1 2024,Q1 2023,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,132.05,129.23,138.99,138.99,94.1,94.1
1,Revenue Growth (YoY),40.33%,37.33%,-,-,-,-
2,Cost of Revenue,82.54,90.74,92.3,92.3,57.75,57.75
3,Gross Profit,49.52,38.49,46.69,46.69,36.35,36.35
4,"Selling, General & Admin",159.64,93.28,128.16,128.16,98.76,98.76
5,Research & Development,27.16,52.74,50.88,50.88,40.45,40.45
6,Other Operating Expenses,-5.3,-8.28,4.25,4.25,-4.49,-4.49
7,Operating Expenses,182.55,139.65,184.51,184.51,135.5,135.5
8,Operating Income,-133.03,-101.16,-137.82,-137.82,-99.15,-99.15
9,Interest Expense,-0.16,-0.54,-1.11,-1.11,-0.24,-0.24
10,Interest & Investment Income,8.63,10.05,13.49,13.49,8.7,8.7
11,Currency Exchange Gain (Loss),2.56,-8.48,-2.32,-2.32,-1.66,-1.66
12,Other Non Operating Income (Expenses),-0,-0.08,0.07,0.07,-0.15,-0.15
13,EBT Excluding Unusual Items,-122,-100.2,-127.69,-127.69,-92.5,-92.5
14,Impairment of Goodwill,-,-8.37,17.32,17.32,-17.32,-17.32
15,Gain (Loss) on Sale of Investments,3.78,2.45,-28.65,-28.65,30.73,30.73
16,Gain (Loss) on Sale of Assets,-,-,-,-,0.01,0.01
17,Asset Writedown,-,-1.2,-27.17,-27.17,-,-
18,Other Unusual Items,-,-0.11,5.71,5.71,-0.24,-0.24
19,Pretax Income,-118.22,-107.42,-160.48,-160.48,-79.32,-79.32
20,Income Tax Expense,-,-,-0.11,-0.11,-0.12,-0.12
21,Earnings From Continuing Operations,-118.22,-107.42,-160.37,-160.37,-79.2,-79.2
22,Minority Interest in Earnings,1.95,3.38,-0,-0,-,-
23,Net Income,-116.28,-104.04,-160.37,-160.37,-79.2,-79.2
24,Net Income to Common,-116.28,-104.04,-160.37,-160.37,-79.2,-79.2
25,Shares Outstanding (Basic),538,538,531,531,546,546
26,Shares Outstanding (Diluted),538,538,531,531,546,546
27,Shares Change (YoY),-1.51%,-1.51%,-,-,-,-
28,EPS (Basic),-0.22,-0.19,-0.30,-0.30,-0.14,-0.14
29,EPS (Diluted),-0.22,-0.19,-0.30,-0.30,-0.14,-0.14
30,Free Cash Flow,-113.03,-159.82,-55.56,-55.56,-65.51,-65.51
31,Free Cash Flow Per Share,-0.21,-0.30,-0.10,-0.10,-0.12,-0.12
32,Gross Margin,37.50%,29.79%,33.59%,33.59%,38.63%,38.63%
33,Operating Margin,-100.74%,-78.28%,-99.16%,-99.16%,-105.36%,-105.36%
34,Profit Margin,-88.05%,-80.51%,-115.38%,-115.38%,-84.17%,-84.17%
35,Free Cash Flow Margin,-85.59%,-123.67%,-39.98%,-39.98%,-69.62%,-69.62%
36,EBITDA,-126.71,-95.18,-135.21,-135.21,-98.54,-98.54
37,EBITDA Margin,-95.96%,-73.65%,-97.28%,-97.28%,-104.72%,-104.72%
38,D&A For EBITDA,6.32,5.98,2.61,2.61,0.6,0.6
39,EBIT,-133.03,-101.16,-137.82,-137.82,-99.15,-99.15
40,EBIT Margin,-100.74%,-78.28%,-99.16%,-99.16%,-105.36%,-105.36%
