,Fiscal Quarter,Q1 2024,Q1 2023,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,698.86,-,1129,1129,1289,1289
1,Short-Term Investments,13.53,-,-,-,-,-
2,Trading Asset Securities,266.31,-,270.74,270.74,242.7,242.7
3,Cash & Short-Term Investments,978.7,1408,1400,1400,1532,1532
4,Cash Growth,-36.10%,-8.08%,-,-,-,-
5,Accounts Receivable,186,-,123.18,123.18,76.14,76.14
6,Other Receivables,1.89,-,15.26,15.26,14.75,14.75
7,Receivables,187.9,-,138.43,138.43,90.88,90.88
8,Inventory,-,-,6.06,6.06,46.09,46.09
9,Restricted Cash,7.01,-,-,-,-,-
10,Other Current Assets,67.43,-,46.87,46.87,30.6,30.6
11,Total Current Assets,1241,-,1592,1592,1699,1699
12,"Property, Plant & Equipment",29.65,-,100.52,100.52,46.52,46.52
13,Goodwill,46.8,-,77.55,77.55,97.01,97.01
14,Other Intangible Assets,24.33,-,25.62,25.62,26.39,26.39
15,Long-Term Deferred Charges,-,-,9.37,9.37,9.86,9.86
16,Other Long-Term Assets,-,-,0.12,0.12,0.22,0.22
17,Total Assets,1342,-,1805,1805,1879,1879
18,Accounts Payable,73.22,-,42.75,42.75,38.17,38.17
19,Accrued Expenses,62.84,-,123.56,123.56,80.3,80.3
20,Short-Term Debt,-,-,-,-,1.25,1.25
21,Current Portion of Leases,11.62,-,-,-,19.41,19.41
22,Current Income Taxes Payable,-,-,0.01,0.01,-,-
23,Current Unearned Revenue,114.82,-,127.5,127.5,104.15,104.15
24,Other Current Liabilities,15.94,-,51.33,51.33,4.61,4.61
25,Total Current Liabilities,278.44,-,345.15,345.15,247.89,247.89
26,Long-Term Leases,2.09,-,40.85,40.85,16.62,16.62
27,Long-Term Unearned Revenue,7.4,-,3.28,3.28,3.38,3.38
28,Long-Term Deferred Tax Liabilities,-,-,3.49,3.49,3.72,3.72
29,Other Long-Term Liabilities,34.2,-,3.68,3.68,5.04,5.04
30,Total Liabilities,322.13,-,396.44,396.44,276.65,276.65
31,Common Stock,538,-,538,538,538,538
32,Additional Paid-In Capital,-,-,1602,1602,1528,1528
33,Retained Earnings,-1605,-,-732.27,-732.27,-463.68,-463.68
34,Comprehensive Income & Other,2009,-,0,0,-,-
35,Total Common Equity,942.04,1310,1408,1408,1602,1602
36,Minority Interest,77.66,-,0.35,0.35,-,-
37,Shareholders' Equity,1020,1383,1408,1408,1602,1602
38,Total Liabilities & Equity,1342,-,1805,1805,1879,1879
39,Total Debt,13.71,45.86,40.85,40.85,37.29,37.29
40,Net Cash (Debt),965,1362,1359,1359,1494,1494
41,Net Cash Growth,-35.42%,-8.86%,-,-,-,-
42,Net Cash Per Share,1.79,2.53,2.56,2.56,2.74,2.74
43,Filing Date Shares Outstanding,538,538,538,538,538,538
44,Total Common Shares Outstanding,538,538,538,538,538,538
45,Working Capital,962.6,-,1246,1246,1451,1451
46,Book Value Per Share,1.75,2.43,2.62,2.62,2.98,2.98
47,Tangible Book Value,870.9,1229,1305,1305,1479,1479
48,Tangible Book Value Per Share,1.62,2.28,2.43,2.43,2.75,2.75
49,Machinery,27.45,-,-,-,15.79,15.79
50,Construction In Progress,0.04,-,-,-,1.51,1.51
51,Leasehold Improvements,46.73,-,-,-,-,-
