,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 3, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,578,1166,518,389,470,486,266,373,243,301,543,Upgrade
1,Market Cap Growth,200.00%,200.00%,10.33%,-20.00%,76.83%,30.43%,9.33%,23.66%,-55.22%,-53.50%,-30.93%,Upgrade
2,Enterprise Value,466,652,40,-43,274,197,104,171,18,57,327,Upgrade
3,Last Close Price,0.28,0.60,0.29,0.24,0.29,0.30,0.16,0.23,0.15,0.19,0.34,Upgrade
4,PE Ratio,2.30,5.37,2.81,1.49,2.30,36.32,-,-,-,-,-,Upgrade
5,PS Ratio,0.16,0.38,0.17,0.14,0.21,0.23,0.15,0.53,1.45,2.77,5.18,Upgrade
6,PB Ratio,0.52,1.14,0.59,0.55,0.73,1.01,0.55,0.77,0.50,0.66,1.14,Upgrade
7,P/TBV Ratio,1.17,1.17,0.61,0.55,0.73,1.01,0.55,0.77,0.50,0.66,1.13,Upgrade
8,P/FCF Ratio,-,-,5.61,1.34,3.41,-,2.99,-,-,-,9.52,Upgrade
9,P/OCF Ratio,-,-,4.64,1.25,3.05,-,2.99,-,-,-,9.45,Upgrade
10,EV/Sales Ratio,0.15,0.21,0.01,-,0.12,0.09,0.06,0.24,0.11,0.53,3.12,Upgrade
11,EV/EBITDA Ratio,1.81,2.58,0.18,-,1.16,12.50,-,-,-,-,12.13,Upgrade
12,EV/EBIT Ratio,1.94,2.71,0.19,-,1.21,20.24,-,-,-,-,-77.42,Upgrade
13,EV/FCF Ratio,-2.03,-,0.43,-,1.98,-,1.17,-,-,-,5.73,Upgrade
14,Debt / Equity Ratio,0.15,0.15,0.02,0.02,0.01,0.01,0.00,0.01,0.00,0.00,0.01,Upgrade
15,Debt / FCF Ratio,-,-,0.15,0.05,0.02,-,0.03,-,-,-,0.05,Upgrade
16,Return on Capital Employed (ROCE),19.85%,19.86%,23.28%,39.00%,32.92%,1.86%,-,-,-,-,-0.84%,Upgrade
17,Earnings Yield,37.58%,18.64%,35.62%,67.32%,43.52%,2.75%,-7.71%,-4.09%,-8.18%,-14.07%,-3.30%,Upgrade
18,FCF Yield,-39.68%,-20.08%,17.83%,74.86%,29.36%,5.58%,33.42%,-15.39%,-18.77%,0.78%,10.50%,Upgrade
19,Buyback Yield / Dilution,-12.25%,-18.78%,-5.72%,-,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,-12.25%,-18.78%,-5.72%,-,-,-,-,-,-,-,-,Upgrade
