,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,101.09,98.43,91.22,61.86,94.43,143.27,159.88,186.42,153.37,109.44
1,Trading Asset Securities,5,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,106.09,98.43,91.22,61.86,94.43,143.27,159.88,186.42,153.37,109.44
3,Cash Growth,16.30%,59.12%,-3.40%,-56.82%,-40.94%,-23.15%,4.24%,70.34%,315.56%,214.03%
4,Accounts Receivable,362.51,313.74,343.05,363.18,238.94,226.19,263.86,197.31,164.65,147.77
5,Other Receivables,4.7,4.91,4.7,6,5.34,4.07,0.2,0.53,0.9,0.36
6,Receivables,367.21,318.65,347.75,369.18,244.27,230.26,264.06,197.84,165.55,148.13
7,Inventory,7.85,-,-,-,10.08,11.45,6.73,6.64,16.82,22.05
8,Prepaid Expenses,1.35,2.53,1.71,2.97,2.28,2.46,2.49,2.47,4.35,3.42
9,Restricted Cash,0.51,0.51,5.05,12.5,39.27,41.81,41.79,42.26,19.41,20.48
10,Other Current Assets,8.49,7.3,8.27,12.94,1.35,0.79,0.84,0.88,0.16,0.52
11,Total Current Assets,491.5,427.42,454,459.45,391.68,430.03,475.77,436.5,359.66,304.03
12,"Property, Plant & Equipment",70.26,77.62,81.33,73.57,68.92,6.57,8.12,7.68,8.84,6.71
13,Long-Term Investments,-,5,5,5,-,-,-,-,-,-
14,Long-Term Accounts Receivable,0.89,1.27,1.63,-,-,-,-,-,-,-
15,Long-Term Deferred Tax Assets,0.86,0.86,0.36,0.36,0.36,0.36,0.68,0.36,-,-
16,Other Long-Term Assets,6.23,14.01,14.03,13.62,12.77,6.95,6.9,22.07,46.91,56.49
17,Total Assets,569.74,526.17,556.35,552,473.73,443.91,491.48,466.61,415.41,367.22
18,Accounts Payable,41.91,29.4,42.54,52.92,21.94,23.1,56.08,69.91,27.7,26.49
19,Accrued Expenses,13.69,13.14,13.53,11.14,9,8.61,10.39,8.21,9.65,7.77
20,Short-Term Debt,32.35,23.59,45.6,47.55,20.35,14.54,6.98,15.02,0.42,0.48
21,Current Portion of Leases,3.41,7.19,5.68,4.6,4.7,2.54,2.94,2.85,2.98,1.58
22,Current Income Taxes Payable,2.83,2.97,1.45,0.57,4.71,0.27,5.25,1.7,12.39,7.82
23,Current Unearned Revenue,14.72,6.79,12.67,16.33,9.63,10.45,7.11,2.23,0.55,2.22
24,Other Current Liabilities,29.33,16.14,27.12,13.21,12.97,12.23,45.89,12.56,41.97,14.65
25,Total Current Liabilities,138.25,99.23,148.59,146.31,83.3,71.74,134.62,112.48,95.66,61
26,Long-Term Leases,3.27,5.25,7.73,8.28,5.2,1.07,1.81,1.41,2.14,1.21
27,Total Liabilities,141.53,104.48,156.33,154.59,88.5,72.8,136.43,113.89,97.79,62.2
28,Common Stock,8.11,8.11,8,8,8,8,8,8,8,8
29,Additional Paid-In Capital,195.61,195.61,196.98,195.61,195.61,195.61,195.61,195.61,195.61,195.61
30,Retained Earnings,296.4,290.63,268.02,267.15,254.43,240.28,224.02,221.7,186.59,173.99
31,Treasury Stock,-0.1,-0.1,-,-,-,-,-,-,-,-
32,Comprehensive Income & Other,-70.51,-71.41,-72.58,-72.58,-72.58,-72.58,-72.58,-72.58,-72.58,-72.58
33,Total Common Equity,429.5,422.84,400.41,398.18,385.46,371.3,355.05,352.72,317.62,305.02
34,Minority Interest,-1.29,-1.14,-0.39,-0.77,-0.23,-0.19,-,-,-,-
35,Shareholders' Equity,428.21,421.7,400.03,397.41,385.23,371.11,355.05,352.72,317.62,305.02
36,Total Liabilities & Equity,569.74,526.17,556.35,552,473.73,443.91,491.48,466.61,415.41,367.22
37,Total Debt,39.04,36.03,59.02,60.43,30.25,18.15,11.73,19.28,5.53,3.27
38,Net Cash (Debt),67.05,62.39,32.2,1.43,64.18,125.12,148.15,167.14,147.84,106.17
39,Net Cash Growth,108.19%,4251.05%,-49.82%,-98.85%,-56.68%,-25.14%,0.21%,57.43%,477.38%,238.93%
40,Net Cash Per Share,0.08,0.08,0.04,0.00,0.08,0.16,0.19,0.21,0.18,0.14
41,Filing Date Shares Outstanding,801.55,801.08,800,800,800,800,800,800,800,800
42,Total Common Shares Outstanding,801.55,801.08,800,800,800,800,800,800,800,800
43,Working Capital,353.25,328.19,305.4,313.14,308.38,358.3,341.15,324.03,264.01,243.03
44,Book Value Per Share,0.54,0.53,0.50,0.50,0.48,0.46,0.44,0.44,0.40,0.38
45,Tangible Book Value,429.5,422.84,400.41,398.18,385.46,371.3,355.05,352.72,317.62,305.02
46,Tangible Book Value Per Share,0.54,0.53,0.50,0.50,0.48,0.46,0.44,0.44,0.40,0.38
47,Machinery,-,17.03,-,5.11,-,4.52,-,3.33,-,2.92
48,Leasehold Improvements,-,4.15,-,3.33,-,0.26,-,0.21,-,0.2
