,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1790,1958,1725,1906,2320,2758,3584,4060,3333,-,-
1,Market Cap Growth,2.71%,2.71%,-25.63%,-30.88%,-35.28%,-32.07%,7.53%,-,-,-,-
2,Enterprise Value,3709,3027,3435,2863,4172,3801,5036,3982,4398,-,-
3,Last Close Price,2.77,2.66,2.35,2.45,2.98,3.47,4.29,4.88,3.99,-,-
4,PE Ratio,3.86,4.21,3.65,4.14,5.32,5.76,10.27,30.56,37.80,-,-
5,Forward PE,3.83,4.44,3.31,3.64,4.64,5.38,8.70,11.23,11.60,-,-
6,PS Ratio,0.90,0.98,0.87,1.02,1.33,1.56,2.14,2.68,2.55,-,-
7,PB Ratio,0.79,0.86,0.76,0.92,1.18,1.44,1.94,2.57,1.57,-,-
8,P/TBV Ratio,1.15,1.15,0.88,1.09,1.42,1.76,2.42,3.36,2.16,-,-
9,P/FCF Ratio,6.11,-,8.14,-,8.35,-,-8.42,-,16.34,-,-
10,P/OCF Ratio,2.80,-,2.13,-,2.57,-,4.05,-,4.88,-,-
11,PEG Ratio,0.17,0.17,0.17,0.17,0.21,-,-,-,-,-,-
12,EV/Sales Ratio,1.86,1.52,1.73,1.54,2.38,2.15,3.01,2.63,3.37,-,-
13,EV/EBITDA Ratio,3.96,3.33,3.78,3.34,5.02,4.43,7.31,8.58,11.65,-,-
14,EV/EBIT Ratio,5.12,4.18,4.69,4.13,6.23,5.39,9.24,12.22,18.13,-,-
15,EV/FCF Ratio,12.66,-,16.21,-,15.02,-,-11.84,-,21.55,-,-
16,Debt / Equity Ratio,1.34,1.34,1.34,1.32,1.40,1.58,1.47,1.64,0.68,1.36,1.46
17,Debt / FCF Ratio,10.42,-,14.36,-,9.88,-,-6.39,-,7.04,-,5.13
18,Return on Capital Employed (ROCE),14.69%,14.69%,15.65%,15.91%,14.86%,15.83%,12.51%,8.91%,8.46%,15.99%,17.94%
19,Earnings Yield,25.98%,23.75%,27.43%,24.17%,18.78%,17.36%,9.73%,3.27%,2.65%,-,-
20,FCF Yield,16.37%,14.97%,12.28%,8.16%,11.98%,-7.77%,-11.87%,-8.62%,6.12%,-,-
21,Buyback Yield / Dilution,0.89%,0.36%,1.42%,4.58%,4.87%,0.47%,-16.04%,-36.58%,-18.77%,-,-
22,Total Shareholder Return,14.11%,0.36%,1.42%,4.58%,4.87%,0.47%,-16.04%,-36.58%,-18.77%,-,-
