,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,874.62,1708,855.7,1184,882.81,1228,878.86,1426,262.3,562.88
1,Short-Term Investments,14.98,14.11,12.93,15.76,16.58,6.87,8.14,7.02,5.74,2.09
2,Trading Asset Securities,175.88,76.22,78.05,390.45,110.83,134.57,64.86,35.23,76.38,0.05
3,Cash & Short-Term Investments,1065,1799,946.68,1590,1010,1370,951.86,1468,344.42,565.03
4,Cash Growth,12.55%,13.13%,-6.29%,16.07%,6.13%,-6.70%,176.37%,159.87%,-,-
5,Accounts Receivable,84.26,74.15,102.09,75.33,63.64,30.41,31.11,23.33,21.46,6.15
6,Other Receivables,1.74,1,1.27,7.21,-,-0.31,-,0.05,-,-
7,Receivables,87.16,76.32,104.51,83.7,64.84,31.3,32.41,24.68,21.46,6.15
8,Inventory,12.62,9.38,5.11,4.3,4.97,4.92,10.31,8.45,3.97,3.06
9,Prepaid Expenses,4.13,4.84,5.65,5.6,4.61,6.4,4.14,4.3,5.02,3.81
10,Restricted Cash,64.21,62.8,1.2,2.46,1.47,2.54,6.42,4.12,1.61,10.22
11,Other Current Assets,98.53,113.4,88.28,96.17,71.9,79.98,32.92,44.78,28.52,40
12,Total Current Assets,1332,2065,1151,1782,1158,1495,1038,1555,405,628.27
13,"Property, Plant & Equipment",4255,3968,3651,3566,3471,3343,2589,2207,1723,1645
14,Long-Term Investments,22.5,22.5,-,-,-,-,-,-,0.71,-
15,Goodwill,330.95,134.94,134.94,134.94,134.94,134.94,134.94,134.94,134.94,-
16,Other Intangible Assets,207.47,138.95,143.77,148.3,152.39,157.45,162.53,165.89,168.08,10.74
17,Long-Term Deferred Tax Assets,72.02,45.66,38.58,38.04,36.38,34.69,32.69,33.35,34.03,34.81
18,Other Long-Term Assets,18.68,315.92,323.5,323.83,314.7,237.15,61.5,11.5,235.87,235.66
19,Total Assets,6239,6691,5443,5994,5267,5402,4019,4107,2703,2556
20,Accounts Payable,17.39,13.41,9.38,6.79,13.45,13.7,2.75,4.79,0.52,1.9
21,Accrued Expenses,65.01,114.84,116.88,120.78,84.59,117.34,85.51,115.57,63.94,76.14
22,Short-Term Debt,167.1,161.63,80.77,131.66,310.53,68.91,347.37,448.43,406.2,394.12
23,Current Portion of Long-Term Debt,298.76,489.42,379.57,113.27,174.29,167.58,135.5,199.95,181.42,79.04
24,Current Portion of Leases,7.63,8.26,7.34,9.09,7.94,9.69,8.67,10.13,9.37,5.6
25,Current Income Taxes Payable,70.48,53.52,65.44,78.61,71.73,58.08,28.22,26.41,11.99,9.21
26,Current Unearned Revenue,256.38,1107,251.54,1032,225.46,830.31,178.95,667.54,160.49,529.82
27,Other Current Liabilities,769.95,488.15,496.6,515.57,575.13,584.11,192.07,221.17,432.76,148.49
28,Total Current Liabilities,1653,2447,1408,2007,1463,1850,979.03,1694,1267,1244
29,Long-Term Debt,2343,2074,2027,2141,2054,1931,1618,504.88,487.31,525.63
30,Long-Term Leases,25.84,27.57,26.39,32.22,36.06,39.24,39.63,46.3,46.03,39.65
31,Long-Term Unearned Revenue,32.96,34.02,29.36,34.95,41.27,33.6,27.52,27.52,25.16,26.87
32,Long-Term Deferred Tax Liabilities,56.74,42.27,41.5,41.26,40.52,41.25,40.52,42.41,45.05,6.78
33,Other Long-Term Liabilities,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,-
34,Total Liabilities,4112,4625,3532,4258,3636,3895,2706,2316,1871,1843
35,Common Stock,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.09,0.09
36,Additional Paid-In Capital,2444,2660,2660,2756,2841,2915,2904,2919,2046,2046
37,Retained Earnings,1800,1522,1367,1093,940.53,707.35,531.72,423.13,421.25,348.88
38,Treasury Stock,-,-,-,-,-35.73,-,-,-,-,-
39,Comprehensive Income & Other,-2126,-2124,-2124,-2122,-2122,-2124,-2133,-1744,-1821,-1820
40,Total Common Equity,2118,2058,1903,1727,1623,1498,1303,1598,647.27,574.96
41,Minority Interest,8.76,8.6,8.1,8.5,8.28,8.62,9.96,193.05,184.49,137.97
42,Shareholders' Equity,2127,2066,1911,1736,1632,1507,1313,1791,831.76,712.93
43,Total Liabilities & Equity,6239,6691,5443,5994,5267,5402,4019,4107,2703,2556
44,Total Debt,2842,2761,2521,2428,2583,2216,2149,1210,1130,1044
45,Net Cash (Debt),-1777,-961.97,-1574,-837.55,-1573,-846.19,-1197,258.61,-785.92,-479.02
46,Net Cash Per Share,-2.75,-1.49,-2.43,-1.28,-2.31,-1.23,-1.75,0.44,-1.57,-0.96
47,Filing Date Shares Outstanding,646.21,646.2,646.2,646.2,659.82,668.71,666.67,666.67,500,500
48,Total Common Shares Outstanding,646.21,646.2,646.2,646.2,659.82,668.71,666.67,666.67,500,500
49,Working Capital,-320.56,-381.14,-256.08,-225.2,-305.11,-354.69,59.02,-139.37,-861.69,-616.06
50,Book Value Per Share,3.28,3.18,2.94,2.67,2.46,2.24,1.95,2.40,1.29,1.15
51,Tangible Book Value,1580,1784,1624,1444,1336,1206,1006,1297,344.26,564.22
52,Tangible Book Value Per Share,2.44,2.76,2.51,2.23,2.02,1.80,1.51,1.95,0.69,1.13
53,Buildings,3584,3326,2968,2967,2831,2441,1533,1530,1404,1403
54,Machinery,626.49,555.64,504.68,492.97,441.77,444.9,388.22,384.14,382.18,336.58
55,Construction In Progress,628.73,593.17,607.08,448.16,457.35,658.86,836.35,394.19,235.85,138.53
