,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,93290,74080,78440,76508,79615,76543,81603,68529,77895,67566,60827,57439,64439,58977,65134,75731,107772,118249,75996,84223,Upgrade
1,Revenue Growth (YoY),17.18%,-3.22%,-3.88%,11.64%,2.21%,13.29%,34.16%,19.31%,20.88%,14.56%,-6.61%,-24.15%,-40.21%,-50.12%,-14.29%,-10.08%,44.28%,34.73%,-15.34%,-14.03%,Upgrade
2,Cost of Revenue,61779,35692,43195,41913,50071,45125,46299,34652,48528,35653,28884,25511,38375,33167,37199,48563,83482,82910,41907,55572,Upgrade
3,Gross Profit,31511,38388,35245,34596,29544,31418,35304,33877,29367,31914,31942,31928,26064,25810,27935,27168,24290,35338,34089,28652,Upgrade
4,"Selling, General & Admin",7110,7694,12010,6329,7776,6602,6405,5787,6999,9929,4781,5298,6282,3773,4896,4735,6657,6111,4629,4399,Upgrade
5,Operating Expenses,7110,7694,12010,6329,7776,6602,6405,5787,6999,9929,4781,5298,6282,3773,4896,4735,6657,6111,4629,4399,Upgrade
6,Operating Income,24401,30694,23235,28267,21768,24817,28899,28090,22369,21984,27161,26629,19783,22036,23039,22433,17633,29227,29460,24253,Upgrade
7,Interest Expense,-35.97,-,-,-,-,-,-,-,-,-,-,-,-2293,-6.85,-19.74,-32.48,-151.88,-230.86,-337.36,-305.33,Upgrade
8,Interest & Investment Income,2151,2257,2683,2088,1978,2666,1129,4408,2194,1699,1727,1629,-,5788,1420,1950,2061,2545,2923,2617,Upgrade
9,Earnings From Equity Investments,-,1722,1545,1709,1237,1725,1407,1645,500.37,1448,1177,1410,748.98,1410,851.77,1573,922.6,1198,1181,1518,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-,2.46,-,0.05,-0.05,2.84,-,-1.82,1.82,-0.81,-,-0.48,-0.16,-0.32,-,5.39,-,Upgrade
11,Other Non Operating Income (Expenses),5226,-151.06,-3319,1518,-283.44,143.77,387.47,-492.87,30.1,17.49,-17.8,-164.66,-244.2,13.64,-0,0,397.92,-,-,-,Upgrade
12,EBT Excluding Unusual Items,31741,34522,24145,33582,24702,29352,31823,33650,25096,25149,30045,29505,17993,29241,25290,25924,20862,32739,33232,28082,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-83.11,-,-0.05,-1554,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,436.64,-,2872,-,200,-,2519,-,17.8,-,-,-,-,-,-,-,-,-,Upgrade
15,Legal Settlements,-,-,1518,-1518,294.07,-,-294.07,294.07,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Pretax Income,31741,34522,26100,32064,27785,29352,31729,32390,27614,25149,30063,29505,17993,29241,25290,25924,20862,32739,33232,28082,Upgrade
17,Income Tax Expense,6069,6659,5919,6172,5151,5427,5893,6267,4526,4726,6173,6276,-1792,5102,5319,4965,-2586,7181,6438,5347,Upgrade
18,Earnings From Continuing Operations,25672,27863,20181,25891,22634,23925,25836,26123,23088,20423,23890,23230,19785,24139,19971,20959,23448,25558,26794,22735,Upgrade
19,Minority Interest in Earnings,-1243,-451.46,-223.74,22.76,-962.08,-318.17,-494.89,122.31,-2114,-95.27,840.54,1363,-598.48,740.12,750.7,324.79,496.98,-1173,-661.84,-542.59,Upgrade
20,Net Income,24429,27412,19957,25914,21672,23607,25341,26245,20975,20328,24731,24592,19186,24879,20722,21284,23945,24385,26132,22192,Upgrade
21,Preferred Dividends & Other Adjustments,-,-,-339.34,339.34,4670,-,-5583,5583,4854,-,-2466,2466,5898,-,-,-,8485,-,-,-,Upgrade
22,Net Income to Common,24429,27412,20296,25575,17002,23607,30924,20662,16121,20328,27197,22126,13288,24879,20722,21284,15460,24385,26132,22192,Upgrade
23,Net Income Growth,12.72%,16.12%,-21.25%,-1.26%,3.32%,16.13%,2.47%,6.72%,9.32%,-18.29%,19.35%,15.54%,-19.87%,2.03%,-20.70%,-4.09%,78.83%,-0.56%,5.25%,-11.12%,Upgrade
24,Shares Outstanding (Basic),34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,Upgrade
