,Fiscal Quarter,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018
,Period Ending,"Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018"
0,Revenue,1254321,1241841,3524297,1391174,2040444,1689366,1355809,2081131,1587185,1746928
1,Revenue Growth (YoY),-38.53%,-26.49%,159.94%,-33.15%,28.56%,-3.30%,-,-,-,-
2,Cost of Revenue,700190,682549,2121219,761909,1072624,959537,61403,1507673,889523,1069212
3,Gross Profit,554131,559293,1403078,629265,967820,729829,1294406,573459,697662,677716
4,"Selling, General & Admin",253422,249754,783479,284331,267146,259057,451039,228477,273784,234887
5,Operating Expenses,253422,249754,783479,284331,267146,259057,451039,228477,273784,234887
6,Operating Income,300709,309539,619600,344934,700675,470772,843367,344982,423877,442830
7,Interest Expense,-167260,-156928,-124177,-147339,-155822,-168243,-180751,-154988,-195187,-181776
8,Interest & Investment Income,-,-,61088,26906,22579,244289,1659,29019,61052,35192
9,Earnings From Equity Investments,127811,157141,473722,330870,249919,216231,392542,247537,272171,237910
10,Other Non Operating Income (Expenses),14677,10411,3587,7013,3802,-2246,19565,-23010,-2668,-2721
11,Pretax Income,275937,320163,1033819,562383,821152,760803,1076382,443541,559245,531435
12,Income Tax Expense,27609,29886,108225,36236,110832,99045,124140,21677,89157,54590
13,Earnings From Continuing Operations,248327,290277,925594,526147,710320,661758,952243,421865,470089,476845
14,Minority Interest in Earnings,-25580,-23564,-69728,-34665,-40231,-28165,-68654,-27241,-34812,-30766
15,Net Income,222748,266713,855866,491482,670089,633593,883589,394624,435277,446079
16,Net Income to Common,222748,266713,855866,491482,670089,633593,883589,394624,435277,446079
17,Net Income Growth,-66.76%,-57.90%,-3.14%,24.54%,53.95%,42.04%,-,-,-,-
18,Shares Outstanding (Basic),1036,1036,1181,1232,1155,1084,1137,1061,-,-
19,Shares Outstanding (Diluted),1036,1036,1181,1232,1155,1084,1137,1061,-,-
20,Shares Change (YoY),-10.33%,-4.45%,3.81%,16.12%,-,-,-,-,-,-
21,EPS (Basic),215.00,257.50,725.00,399.00,580.00,584.50,777.00,372.00,-,-
22,EPS (Diluted),215.00,257.50,725.00,399.00,580.00,584.50,777.00,372.00,-,-
23,EPS Growth,-62.93%,-55.95%,-6.69%,7.26%,-,-,-,-,-,-
24,Free Cash Flow,-9057,-9057,2166692,-651879,267320,267320,1572798,485465,-502245,-502245
25,Free Cash Flow Per Share,-8.74,-8.74,1835.39,-529.21,231.38,246.61,1383.07,457.63,-,-
26,Gross Margin,44.18%,45.04%,39.81%,45.23%,47.43%,43.20%,95.47%,27.56%,43.96%,38.79%
27,Operating Margin,23.97%,24.93%,17.58%,24.79%,34.34%,27.87%,62.20%,16.58%,26.71%,25.35%
28,Profit Margin,17.76%,21.48%,24.28%,35.33%,32.84%,37.50%,65.17%,18.96%,27.42%,25.54%
29,Free Cash Flow Margin,-0.72%,-0.73%,61.48%,-46.86%,13.10%,15.82%,116.00%,23.33%,-31.64%,-28.75%
30,EBITDA,358681,367512,677951,408673,752599,522696,913516,454139,443242,462194
31,EBITDA Margin,28.60%,29.59%,19.24%,29.38%,36.88%,30.94%,67.38%,21.82%,27.93%,26.46%
32,D&A For EBITDA,57973,57973,58351,63739,51924,51924,70148,109157,19364,19364
33,EBIT,300709,309539,619600,344934,700675,470772,843367,344982,423877,442830
34,EBIT Margin,23.97%,24.93%,17.58%,24.79%,34.34%,27.87%,62.20%,16.58%,26.71%,25.35%
35,Effective Tax Rate,10.01%,9.33%,10.47%,6.44%,13.50%,13.02%,11.53%,4.89%,15.94%,10.27%
36,Revenue as Reported,1254321,1241841,3524297,1391174,2040444,1689366,1355809,2081131,1587185,1746928
