,Fiscal Quarter,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018
,Period Ending,"Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018","Sep '18 Sep 30, 2018","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018"
0,Cash & Equivalents,424344,-,405820,1066553,2560415,-,2577622,-,2625769,-
1,Short-Term Investments,154995,-,337795,755454,479661,-,424024,-,614905,-
2,Cash & Short-Term Investments,579339,743614,743614,1822007,3040076,-,3001646,-,3240674,-
3,Cash Growth,-80.94%,-,-75.23%,-,-6.19%,-,-,-,-,-
4,Accounts Receivable,2988231,-,3627147,3652540,3425325,-,4463475,-,5519818,-
5,Other Receivables,1193618,-,975714,442669,348504,-,870336,-,806357,-
6,Receivables,4181849,-,4602862,4095208,3773829,-,5333812,-,6326175,-
7,Inventory,24076108,-,22804943,23382019,22955845,-,21618842,-,28463041,-
8,Prepaid Expenses,35164,-,21182,23516,20288,-,28658,-,17096,-
9,Other Current Assets,275611,-,278606,426335,379273,-,530497,-,273569,-
10,Total Current Assets,29148072,-,28451207,29749085,30169310,-,30513455,-,38320555,-
11,"Property, Plant & Equipment",3753446,-,3750895,3835027,3523250,-,3764806,-,3296020,-
12,Long-Term Investments,10268481,-,9341871,8884582,8742466,-,8919170,-,9133169,-
13,Goodwill,48.47,-,58.16,63.01,67.86,-,77.55,-,87.25,-
14,Other Intangible Assets,133641,-,131867,129865,128443,-,125757,-,125625,-
15,Long-Term Accounts Receivable,-,-,421119,391556,400093,-,423295,-,294457,-
16,Long-Term Deferred Tax Assets,352708,-,405454,397925,397919,-,398259,-,473607,-
17,Other Long-Term Assets,1253630,-,999272,997120,995056,-,1040223,-,752331,-
18,Total Assets,44910026,-,43501743,44385223,44356605,-,45185043,-,52395851,-
19,Accounts Payable,1086446,-,1526977,788415,479263,-,1172451,-,435475,-
20,Accrued Expenses,8951443,-,8007066,8001374,7659614,-,6510186,-,13623046,-
21,Short-Term Debt,9357841,-,9037002,7889983,8015789,-,10517250,-,7839559,-
22,Current Income Taxes Payable,-,-,424405,121178,171611,-,1621238,-,142896,-
23,Current Unearned Revenue,1137,-,2446,1512,1474,-,2259,-,7011,-
24,Other Current Liabilities,4318666,-,3300208,3109615,3738918,-,2360825,-,3325813,-
25,Total Current Liabilities,23715532,-,22298105,19912076,20066669,-,22184210,-,25373799,-
26,Long-Term Debt,4971957,-,5510705,9611755,10541413,-,9138073,-,15028956,-
27,Long-Term Unearned Revenue,602125,-,462359,331198,259392,-,211247,-,84862,-
28,Other Long-Term Liabilities,197164,-,220813,109268,101091,-,160731,-,676260,-
29,Total Liabilities,29486778,-,28491982,29964298,30968564,-,31694261,-,41163877,-
30,Common Stock,10350000,-,10350000,10350000,10125811,-,10125811,-,7971356,-
31,Additional Paid-In Capital,12261,-,12261,12261,12261,-,13788,-,17658,-
32,Retained Earnings,4191787,-,3698874,3111716,2311541,-,2443936,-,698923,-
33,Comprehensive Income & Other,-169454,-,-173296,-173296,-277944,-,-261617,-,1389224,-
34,Total Common Equity,14384595,13887839,13887839,13300681,12171670,-,12321919,-,10077162,-
35,Minority Interest,1038653,-,1121921,1120244,1216372,-,1168863,-,1154812,-
36,Shareholders' Equity,15423248,15009761,15009761,14420925,13388041,-,13490782,-,11231974,-
37,Total Liabilities & Equity,44910026,-,43501743,44385223,44356605,-,45185043,-,52395851,-
38,Total Debt,14329798,14547707,14547707,17501738,18557201,-,19655323,-,22868515,-
39,Net Cash (Debt),-13750458,-13804092,-13804092,-15679731,-15517126,-,-16653677,-,-19627840,-
40,Net Cash Per Share,-13272.17,-13327.28,-11693.38,-12729.28,-13430.94,-,-14644.72,-,-,-
41,Filing Date Shares Outstanding,1036,1036,1181,1232,1155,1084,1137,1061,-,-
42,Total Common Shares Outstanding,1036,1036,1181,1232,1155,1084,1137,1061,-,-
43,Working Capital,5432540,-,6153103,9837009,10102641,-,8329245,-,12946756,-
44,Book Value Per Share,13884.25,11696.99,11764.32,10797.89,10535.26,-,10835.51,-,-,-
45,Tangible Book Value,14250905,13755915,13755915,13170754,12043159,-,12196085,-,9951450,-
46,Tangible Book Value Per Share,13755.21,11585.88,11652.57,10692.41,10424.03,-,10724.85,-,-,-
47,Construction In Progress,2034331,-,2037884,2113285,2110460,-,2161706,-,1768048,-
