,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,50.71,36.36,35.45,43,60.67,57.8,68.29,33.09,45.76,131.32,Upgrade
1,Short-Term Investments,-,0.56,-,0.56,-,0.83,-,0.9,-,2.67,Upgrade
2,Cash & Short-Term Investments,50.71,36.93,35.45,43.56,60.67,58.63,68.29,33.99,45.76,133.98,Upgrade
3,Cash Growth,43.02%,-15.23%,-41.56%,-25.70%,-11.15%,72.50%,49.23%,-74.63%,-90.58%,-78.78%,Upgrade
4,Accounts Receivable,69.48,85.04,83.01,80.12,159.78,97.84,112.18,85.79,176.94,111.01,Upgrade
5,Other Receivables,5.3,8.46,9.08,9.68,9.91,11.56,12.75,17.54,12.9,22.71,Upgrade
6,Receivables,74.78,93.5,92.09,89.79,169.69,109.4,124.94,103.33,189.84,133.72,Upgrade
7,Inventory,106.06,122.8,144.01,164.13,175.15,190.97,204.82,273.92,322.08,310.86,Upgrade
8,Prepaid Expenses,-,15.12,-,15.46,-,-,-,-,-,-,Upgrade
9,Restricted Cash,26.96,27.38,34.19,39.84,42.19,30.49,34.58,34.72,56.13,45.23,Upgrade
10,Other Current Assets,46.47,-,39.27,-,14.11,24.51,17.29,39.65,47.3,56.07,Upgrade
11,Total Current Assets,304.97,295.72,345.01,352.77,461.82,413.99,449.92,485.61,661.11,679.86,Upgrade
12,"Property, Plant & Equipment",189.67,196.55,204.56,212.09,218.76,227.34,229.21,254.08,312.4,368.69,Upgrade
13,Long-Term Investments,10.53,97.97,96.45,69.52,82.42,99.58,127.57,120.4,343.57,343.12,Upgrade
14,Other Intangible Assets,-,-,-,-,-,-,-,-,0.45,0.57,Upgrade
15,Long-Term Deferred Tax Assets,6.55,8.31,7.61,5.99,-,-,-,-,2.38,5.2,Upgrade
16,Other Long-Term Assets,94.34,94.34,98.5,98.5,98.16,98.16,97.75,97.75,97.66,97.66,Upgrade
17,Total Assets,606.06,692.88,752.12,738.86,861.15,839.08,904.44,957.84,1418,1495,Upgrade
18,Accounts Payable,217.95,242.19,355.48,352.19,420.27,343.51,301.19,304.39,335.18,160.31,Upgrade
19,Accrued Expenses,-,17.95,-,29.85,-,39.03,-,54.68,-,53.26,Upgrade
20,Short-Term Debt,-,-,40,-,-,-,-,-,-,-,Upgrade
21,Current Portion of Long-Term Debt,22,30.3,-,-,-,-,-,-,-,-,Upgrade
22,Current Portion of Leases,-,-,-,0.31,0.29,-,3.84,3.93,10.23,10.21,Upgrade
23,Other Current Liabilities,25.68,9.25,34.76,1.48,38.5,7.83,91.49,18.93,74.63,22.03,Upgrade
24,Total Current Liabilities,265.63,299.69,430.24,383.83,459.05,390.37,396.52,381.92,420.04,245.82,Upgrade
25,Long-Term Debt,-,40.3,-,40,41.66,40,40,-,-,-,Upgrade
26,Long-Term Leases,-,-,-,0.31,0.47,-,-,-,3.84,3.93,Upgrade
27,Total Liabilities,265.63,339.99,430.24,424.14,501.18,430.37,436.52,381.92,423.88,249.75,Upgrade
28,Common Stock,53.1,53.1,43.59,43.59,35.94,35.94,29.76,24.83,24.83,24.83,Upgrade
29,Additional Paid-In Capital,-,1830,1830,1830,1826,1826,1821,1817,1817,1817,Upgrade
30,Retained Earnings,-1480,-1408,-1429,-1409,-1347,-1303,-1241,-1115,-697.29,-440.07,Upgrade
31,Comprehensive Income & Other,1767,-122.68,-122.42,-150.45,-155.17,-150.87,-142.43,-151.78,-152.52,-158.35,Upgrade
