,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,222,298,214,89,146,263,374,368,374,362,491,Upgrade
1,Market Cap Growth,235.53%,235.53%,46.40%,-66.22%,-60.94%,-28.57%,0%,1.61%,-23.81%,-35.42%,-15.15%,Upgrade
2,Enterprise Value,418,442,321,479,363,296,418,767,754,520,679,Upgrade
3,Last Close Price,0.19,0.26,0.18,0.07,0.12,0.21,0.30,0.29,0.30,0.29,0.39,Upgrade
4,PE Ratio,12.25,16.44,-,2.26,4.23,22.32,-,13.03,29.99,115.33,-,Upgrade
5,PS Ratio,2.63,3.53,2.19,0.73,1.26,3.24,5.23,5.65,6.61,15.54,-,Upgrade
6,PB Ratio,0.46,0.62,0.45,0.19,0.30,0.55,0.77,0.77,0.83,0.89,1.19,Upgrade
7,P/TBV Ratio,0.62,0.62,0.45,0.19,0.30,0.55,0.77,0.77,0.83,0.89,1.19,Upgrade
8,P/FCF Ratio,-,-,-,1.00,-,-1.43,-,4.76,9.83,14.68,-,Upgrade
9,P/OCF Ratio,-,-,-,1.00,-,-1.43,-,4.76,9.83,14.68,-,Upgrade
10,EV/Sales Ratio,4.96,5.25,3.29,3.95,3.13,3.64,5.84,11.77,13.32,22.32,-,Upgrade
11,EV/EBITDA Ratio,9.40,10.67,6.97,7.19,6.14,9.36,15.22,19.91,22.28,30.24,-,Upgrade
12,EV/EBIT Ratio,10.03,10.61,6.93,7.17,6.15,9.50,15.27,20.06,22.62,30.64,-,Upgrade
13,EV/FCF Ratio,-5.35,-,-,5.39,-,-1.60,-,9.91,19.82,21.08,-,Upgrade
14,Debt / Equity Ratio,0.43,0.43,0.40,0.32,0.87,0.57,0.13,0.13,0.94,1.09,0.94,Upgrade
15,Debt / FCF Ratio,-,-,-,1.70,-,-1.47,-,0.78,11.13,17.95,-,Upgrade
16,Return on Capital Employed (ROCE),8.43%,8.43%,8.61%,13.22%,10.25%,6.26%,5.51%,7.86%,7.27%,4.11%,-,Upgrade
17,Earnings Yield,8.16%,6.08%,7.83%,44.30%,23.64%,4.48%,4.96%,7.68%,3.33%,0.87%,-,Upgrade
18,FCF Yield,-35.16%,-26.20%,85.60%,99.97%,-42.30%,-70.17%,-45.61%,21.01%,10.17%,6.81%,-,Upgrade
19,Total Shareholder Return,2.26%,-,-,-,-,-,-,-,-,-,-,Upgrade
