,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,59.06,39.21,20.33,8,11.9
1,Cash & Short-Term Investments,59.06,39.21,20.33,8,11.9
2,Cash Growth,190.53%,390.11%,70.79%,-,-
3,Other Receivables,-,0.7,0.7,0.43,0.11
4,Receivables,-,0.7,0.7,0.43,0.11
5,Prepaid Expenses,0.52,0.29,0.72,0.51,-
6,Other Current Assets,1001,1001,-,-,-
7,Total Current Assets,1061,1041,21.75,8.94,12.01
8,Other Long-Term Assets,-,-,1001,1001,1001
9,Total Assets,1061,1041,1023,1010,1013
10,Accrued Expenses,0.91,1.27,0.33,0.84,5.09
11,Other Current Liabilities,1061,1061,1066,1066,1064
12,Total Current Liabilities,1062,1062,1066,1067,1069
13,Total Liabilities,1062,1062,1066,1067,1069
14,Common Stock,0,0,0,0,0
15,Additional Paid-In Capital,260.33,0.19,0.19,0.19,0.19
16,Retained Earnings,-261.67,-226.93,-194.48,-153.6,-96.94
17,Comprehensive Income & Other,0.19,205.85,150.58,96.4,40.34
18,Shareholders' Equity,-1.14,-20.88,-43.7,-57.01,-56.41
19,Total Liabilities & Equity,1061,1041,1023,1010,1013
20,Net Cash (Debt),59.06,39.21,20.33,8,11.9
21,Net Cash Growth,190.53%,390.11%,70.79%,-,-
22,Net Cash Per Share,2.36,1.57,0.81,0.32,0.54
23,Filing Date Shares Outstanding,125.13,125.13,125.13,125.13,125.13
24,Total Common Shares Outstanding,125.13,125.13,125.13,125.13,125.13
25,Working Capital,-1.14,-20.88,-1045,-1058,-1057
26,Book Value Per Share,-0.01,-0.17,-0.35,-0.46,-0.45
27,Tangible Book Value,-1.14,-20.88,-43.7,-57.01,-56.41
28,Tangible Book Value Per Share,-0.01,-0.17,-0.35,-0.46,-0.45
