,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,1896,1706,1544,1457,1387,1541,1481,1485,1631,1530,Upgrade
1,Short-Term Investments,-,-,93.65,-,-,-,69.92,67.67,-,-,Upgrade
2,Cash & Short-Term Investments,1896,1706,1638,1457,1387,1541,1551,1553,1631,1530,Upgrade
3,Cash Growth,15.80%,17.13%,18.08%,-5.49%,-10.59%,-0.75%,-4.90%,1.54%,18.37%,16.06%,Upgrade
4,Accounts Receivable,350.09,313.09,341.39,302.75,345.54,316.36,351.74,290.98,340.53,310.16,Upgrade
5,Other Receivables,56.21,54.85,100.64,44.62,86.09,98.97,46.61,64.41,60.7,36.47,Upgrade
6,Receivables,406.3,367.94,442.04,347.36,431.63,415.34,398.35,355.39,401.23,346.63,Upgrade
7,Inventory,695.91,637.95,666.1,667.92,825.41,869,831.78,849.82,760.87,646.07,Upgrade
8,Other Current Assets,-,22.03,-,69.34,-,-,-,-,0.02,0.58,Upgrade
9,Total Current Assets,2999,2734,2746,2541,2644,2826,2781,2758,2793,2523,Upgrade
10,"Property, Plant & Equipment",718.12,737.75,769.21,771.35,818.08,846,873.72,824.3,746.84,668.03,Upgrade
11,Long-Term Investments,5.45,-,60.99,-,111.74,118.06,120.15,81.95,-,-,Upgrade
12,Goodwill,-,2.18,-,2.18,-,2.18,-,2.18,-,2.18,Upgrade
13,Other Intangible Assets,10.97,6.36,4.48,2.45,5.76,4.22,5.96,3.84,4.89,5.46,Upgrade
14,Long-Term Deferred Tax Assets,11.68,11.9,11.41,14.59,0.75,0.88,0.01,0.67,-,0.03,Upgrade
15,Other Long-Term Assets,18.16,54.07,5.41,92.95,2.91,3.84,4.57,4.25,36.68,16.51,Upgrade
16,Total Assets,3763,3547,3597,3425,3583,3801,3786,3676,3582,3215,Upgrade
17,Accounts Payable,427.88,303.88,383.79,367.34,462.13,464,427.15,408.01,384.56,313.39,Upgrade
18,Accrued Expenses,-,7.34,-,2.72,1.52,8.56,-,12.62,-,-,Upgrade
19,Current Portion of Leases,3.86,2.62,3.6,3.11,3.84,3.18,4.24,3.37,4.01,2.77,Upgrade
20,Current Income Taxes Payable,24.56,17.39,15.86,8.85,9.55,9.29,18.6,12.77,39.88,35.15,Upgrade
21,Current Unearned Revenue,17.6,20.12,22.36,24.8,34.6,74.41,40.21,41.04,48.17,43.84,Upgrade
22,Other Current Liabilities,242.76,266.86,246.58,215.2,221.73,268.35,283.76,299.98,297.31,321.93,Upgrade
23,Total Current Liabilities,716.65,618.2,672.19,622.02,733.37,827.79,773.95,777.78,773.94,717.08,Upgrade
24,Long-Term Leases,10.28,1.33,2.19,1.07,2.07,1.24,2.32,1.85,2.96,1.58,Upgrade
25,Long-Term Deferred Tax Liabilities,23.85,20.9,20.64,15.57,12.58,12.81,9.8,15.25,25.73,19.54,Upgrade
26,Other Long-Term Liabilities,1.86,1.94,1.88,-,-,-,-,-,-,-,Upgrade
27,Total Liabilities,752.64,642.37,696.9,638.67,748.01,841.84,786.08,794.88,802.62,738.2,Upgrade
28,Common Stock,672.78,672.78,672.78,672.78,672.78,672.78,672.78,672.78,672.78,672.78,Upgrade
29,Retained Earnings,-,2459,2422,2340,2314,2350,2299,2204,2120,1955,Upgrade
30,Comprehensive Income & Other,2338,-227.19,-194.26,-226.49,-151.74,-63.19,28.01,4.04,-13.82,-151.24,Upgrade
31,Total Common Equity,3010,2904,2900,2786,2835,2959,3000,2881,2779,2477,Upgrade
32,Shareholders' Equity,3010,2904,2900,2786,2835,2959,3000,2881,2779,2477,Upgrade
33,Total Liabilities & Equity,3763,3547,3597,3425,3583,3801,3786,3676,3582,3215,Upgrade
34,Total Debt,14.13,3.95,5.79,4.18,5.91,4.42,6.56,5.21,6.97,4.35,Upgrade
35,Net Cash (Debt),1882,1702,1632,1453,1381,1537,1545,1548,1624,1525,Upgrade
36,Net Cash Growth,15.34%,17.20%,18.16%,-5.49%,-10.60%,-0.70%,-4.89%,1.49%,18.37%,15.78%,Upgrade
37,Net Cash Per Share,8.02,7.25,6.95,6.18,5.88,6.53,6.54,6.53,6.86,6.43,Upgrade
38,Filing Date Shares Outstanding,234.74,234.77,234.82,234.95,234.97,235.05,235.51,236.35,236.73,237.49,Upgrade
39,Total Common Shares Outstanding,234.74,234.77,234.82,234.95,234.97,235.05,235.51,236.35,236.73,237.49,Upgrade
40,Working Capital,2282,2116,2074,1919,1911,1998,2007,1981,2019,1806,Upgrade
41,Book Value Per Share,12.82,12.37,12.35,11.86,12.07,12.59,12.74,12.19,11.74,10.43,Upgrade
42,Tangible Book Value,2999,2896,2896,2782,2829,2953,2994,2875,2774,2469,Upgrade
43,Tangible Book Value Per Share,12.78,12.33,12.33,11.84,12.04,12.56,12.71,12.16,11.72,10.40,Upgrade
44,Land,-,1267,-,1257,-,1323,-,1250,-,1142,Upgrade
45,Machinery,-,1059,-,1049,-,1100,-,1002,-,901.02,Upgrade
46,Construction In Progress,-,1.16,-,2.62,-,5.93,-,130.57,-,23.15,Upgrade
