,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4637,3226,3177,3500,3715,-,-,-,-,-,-,-,-,-,-,-
1,Enterprise Value,3973,2560,2474,3305,3520,-,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,57.96,40.32,39.71,43.34,46.01,-,-,-,-,-,-,-,-,-,-,-
3,PE Ratio,31.53,27.44,27.03,29.33,-,-,-,-,-,-,-,-,-,-,-,-
4,Forward PE,-,16.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,5.08,3.70,3.74,4.24,4.60,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,4.03,2.80,2.85,3.18,3.49,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.87,2.87,2.92,3.26,3.58,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,99.39,199.92,645.84,-,57.97,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,32.78,46.78,64.79,39.94,35.04,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.58,2.93,2.91,4.00,4.36,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,26.72,15.24,14.81,19.12,20.18,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,31.01,17.28,16.72,21.32,22.39,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,85.16,158.65,502.96,-,54.92,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,-,0.00,-,0.02,0.01,0.01,0.01,-,-,-,-,0.17,0.17
15,Debt / EBITDA Ratio,0.07,0.06,0.06,-,0.04,-,0.05,0.03,0.03,0.03,-,-,-,-,0.42,0.42
16,Debt / FCF Ratio,0.23,0.66,2.43,-,0.08,-,0.10,0.10,0.15,0.12,-,-,-,-,1.55,3.10
17,Asset Turnover,0.57,0.62,-,0.53,-,-,-,0.92,1.00,0.86,0.89,0.99,1.05,1.03,-,
18,Inventory Turnover,-,3.07,3.67,-,-,-,-,-,2.80,2.95,2.66,2.78,3.19,3.51,3.50,-
19,Quick Ratio,1.98,1.98,2.06,2.34,2.31,-,1.13,-,0.91,0.91,0.91,0.91,0.84,0.84,0.92,0.92
20,Current Ratio,2.47,2.47,2.54,2.83,2.78,-,1.59,-,1.42,1.42,1.40,1.40,1.27,1.27,1.31,1.31
21,Return on Equity (ROE),12.51%,16.48%,-,10.88%,-,47.07%,35.97%,31.29%,33.95%,29.58%,31.94%,25.98%,27.78%,31.73%,-,
22,Return on Assets (ROA),6.50%,6.38%,-,4.87%,-,-,-,12.24%,13.18%,7.92%,8.16%,7.80%,8.28%,9.23%,-,
23,Return on Capital (ROIC),9.30%,9.00%,-,6.91%,-,28.69%,25.83%,24.35%,26.50%,16.10%,17.38%,17.51%,17.38%,18.01%,-,
24,Return on Capital Employed (ROCE),10.83%,12.52%,12.88%,13.79%,14.39%,-,33.55%,-,29.03%,24.42%,23.93%,23.74%,28.07%,21.21%,16.48%,8.24%
25,Earnings Yield,3.02%,4.54%,4.61%,4.24%,3.89%,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,1.01%,0.50%,0.15%,0.66%,1.73%,-,-,-,-,-,-,-,-,-,-,-
27,Payout Ratio,22.91%,0.00%,69.96%,0.09%,-,0.71%,0.01%,-,-,-,-,-,1.26%,1.26%,2.87%,2.87%
28,Buyback Yield / Dilution,-27.07%,-34.03%,-32.81%,-33.51%,-32.69%,0.36%,1.42%,-0.91%,-0.49%,-0.49%,-,-,-,-,-,-
29,Total Shareholder Return,-26.41%,-34.03%,-32.81%,-33.51%,-32.69%,0.36%,1.42%,-0.91%,-0.49%,-0.49%,-,-,-,-,-,-
