,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,242.6,232.12,195.63,-,222.75,205.25,176.57,164.79,171.56,132.46,132.46,140.52,140.52,131.18,131.18
1,Other Revenue,-11.03,11.03,-,-,-14.75,14.75,-,4.74,-2.03,2.03,2.03,3.97,3.97,1.66,1.66
2,Revenue,231.57,243.14,195.63,202.5,208.01,219.99,176.57,169.53,169.53,134.49,134.49,144.49,144.49,132.84,132.84
3,Revenue Growth (YoY),11.33%,10.52%,10.79%,19.45%,22.70%,63.58%,31.29%,17.33%,17.33%,1.24%,1.24%,-,-,-,-
4,Cost of Revenue,154.42,170.12,134.23,-,143.85,154.57,120.83,119.17,117.24,98.46,98.46,107.81,107.81,96.65,96.65
5,Gross Profit,77.15,73.02,61.4,57.87,64.16,65.42,55.74,50.36,52.29,36.03,36.03,36.68,36.68,36.19,36.19
6,"Selling, General & Admin",20.7,17.09,14.62,-,13.19,12.6,11.23,11.67,11.67,9.24,9.24,11.79,11.79,9.27,9.27
7,Research & Development,12.89,12.02,9.56,-,9.06,6.57,7.4,7.65,7.65,5.22,5.22,6.12,6.12,5.6,5.6
8,Other Operating Expenses,1.12,0.84,0.54,-,-1.75,-2.33,-1.72,-4.78,-1.95,0.94,0.94,0.85,0.85,1.27,1.27
9,Operating Expenses,34.55,32.88,25.53,-,21.74,18.25,17.66,14.41,16.5,16.28,16.28,18.38,18.38,17.06,17.06
10,Operating Income,42.6,40.14,35.87,-,42.42,47.17,38.08,35.95,35.79,19.75,19.75,18.31,18.31,19.13,19.13
11,Interest Expense,-1.15,-0.12,-,-,-0.02,-,-,-0,-0.12,-,-,-0.21,-0.21,-0.52,-0.52
12,Interest & Investment Income,4.45,5.27,4.16,-,1.64,0.67,0.4,0.2,-,0.12,0.12,0.36,0.36,0.27,0.27
13,Currency Exchange Gain (Loss),-0.72,0.72,-,-,-4.15,4.15,-,0.32,-0.94,0.94,0.94,-0.49,-0.49,-0.15,-0.15
14,Other Non Operating Income (Expenses),1.45,-0.65,-0,-,3.95,0.57,1.14,5.63,3.59,-0.11,-0.11,-0.1,-0.1,-0.09,-0.09
15,EBT Excluding Unusual Items,46.63,45.36,40.03,30.32,43.84,52.56,39.62,42.09,38.32,20.7,20.7,17.86,17.86,18.63,18.63
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-0.12,-0.12,-0.19,-0.19,0.66,0.66,0.23,0.23
17,Gain (Loss) on Sale of Assets,-,0.08,-,-,0.07,-0.02,-0.08,0.1,0.1,0.1,0.1,0.08,0.08,0.08,0.08
18,Asset Writedown,-6.53,4.32,-4.32,-,-3.6,2.48,-2.48,-,-1.93,-,-,-,-,-,-
19,Other Unusual Items,-0.57,1.29,6.29,-,-,-,-,-11.03,-5.33,5.33,5.33,0.69,0.69,1.67,1.67
20,Pretax Income,39.53,51.05,42,-,40.3,55.02,37.07,31.04,31.04,25.94,25.94,19.29,19.29,20.62,20.62
21,Income Tax Expense,4.07,5.34,5.63,-,4.85,7.52,4.38,2.59,2.59,3.26,3.26,2.32,2.32,2.58,2.58
22,Net Income to Company,35.47,45.71,36.38,-,35.46,47.5,32.69,28.44,28.44,22.68,22.68,16.97,16.97,18.04,18.04
23,Net Income,35.47,45.71,36.38,28.99,35.46,47.5,32.69,28.44,28.44,22.68,22.68,16.97,16.97,18.04,18.04
24,Net Income to Common,35.47,45.71,36.38,-,35.46,47.5,32.69,28.44,28.44,22.68,22.68,16.97,16.97,18.04,18.04
25,Net Income Growth,0.03%,-3.77%,11.26%,1.94%,24.66%,109.42%,44.14%,67.59%,67.59%,25.75%,25.75%,-,-,-,-
26,Shares Outstanding (Basic),81,79,81,80,60,59,61,60,60,60,60,60,60,60,60
27,Shares Outstanding (Diluted),81,79,81,80,60,59,61,60,60,60,60,60,60,60,60
28,Shares Change (YoY),34.03%,32.81%,33.51%,32.69%,-0.36%,-1.42%,0.91%,0.49%,0.49%,-,-,-,-,-,-
29,EPS (Basic),0.44,0.58,0.45,-,0.59,0.80,0.54,0.47,0.47,0.38,0.38,0.28,0.28,0.30,0.30
30,EPS (Diluted),0.44,0.58,0.45,0.46,0.59,0.80,0.54,0.47,0.47,0.38,0.38,0.28,0.28,0.30,0.30
31,EPS Growth,-25.36%,-27.54%,-16.67%,-0.35%,25.63%,112.43%,42.85%,64.63%,66.09%,26.01%,26.01%,-,-,-,-
32,Free Cash Flow,3.28,23.07,-32.8,22.58,-7.94,41.12,8.32,24.26,24.26,-7.63,-7.63,32.16,32.16,12.28,12.28
33,Free Cash Flow Per Share,0.04,0.29,-0.41,0.28,-0.13,0.70,0.14,0.40,0.40,-0.13,-0.13,0.54,0.54,0.20,0.20
34,Gross Margin,33.32%,30.03%,31.39%,28.58%,30.84%,29.74%,31.57%,29.71%,30.84%,26.79%,26.79%,25.39%,25.39%,27.24%,27.24%
35,Operating Margin,18.40%,16.51%,18.34%,-,20.39%,21.44%,21.57%,21.21%,21.11%,14.68%,14.68%,12.67%,12.67%,14.40%,14.40%
36,Profit Margin,15.32%,18.80%,18.59%,-,17.05%,21.59%,18.52%,16.78%,16.78%,16.87%,16.87%,11.75%,11.75%,13.58%,13.58%
37,Free Cash Flow Margin,1.42%,9.49%,-16.77%,11.15%,-3.82%,18.69%,4.71%,14.31%,14.31%,-5.67%,-5.67%,22.26%,22.26%,9.25%,9.25%
38,EBITDA,47.24,46.05,40.51,34.16,46.38,51.83,42.04,40.53,40.37,23.09,23.09,21.74,21.74,22.59,22.59
39,EBITDA Margin,20.40%,18.94%,20.71%,16.87%,22.30%,23.56%,23.81%,23.91%,23.81%,17.17%,17.17%,15.05%,15.05%,17.01%,17.01%
40,D&A For EBITDA,4.63,5.91,4.63,4.63,3.96,4.66,3.96,4.58,4.58,3.34,3.34,3.44,3.44,3.47,3.47
41,EBIT,42.6,40.14,35.87,29.53,42.42,47.17,38.08,35.95,35.79,19.75,19.75,18.31,18.31,19.13,19.13
42,EBIT Margin,18.40%,16.51%,18.34%,14.58%,20.39%,21.44%,21.57%,21.21%,21.11%,14.68%,14.68%,12.67%,12.67%,14.40%,14.40%
43,Effective Tax Rate,10.28%,10.45%,13.40%,-,12.02%,13.67%,11.80%,8.36%,8.36%,12.56%,12.56%,12.02%,12.02%,12.51%,12.51%
44,Revenue as Reported,231.57,243.14,195.63,-,208.01,219.99,176.57,-,-134.49,134.49,134.49,144.49,144.49,132.84,132.84
