,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,39268,24555,21522,16750,15926,17302,-,-,-,-,-,-,-,-
1,Market Cap Growth,41.92%,41.92%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,38458,23636,20617,15051,14227,17020,-,-,-,-,-,-,-,-
3,Last Close Price,98.16,61.14,53.41,41.57,39.52,42.94,-,-,-,-,-,-,-,-
4,PE Ratio,66.75,41.98,40.49,34.03,37.14,47.48,-,-,-,-,-,-,-,-
5,Forward PE,57.12,39.83,36.63,34.15,33.79,39.55,-,-,-,-,-,-,-,-
6,PS Ratio,7.99,5.03,4.59,3.71,3.68,4.30,-,-,-,-,-,-,-,-
7,PB Ratio,9.62,6.01,5.52,4.40,4.34,4.88,-,-,-,-,-,-,-,-
8,P/TBV Ratio,6.26,6.26,5.76,4.60,4.51,5.07,-,-,-,-,-,-,-,-
9,P/FCF Ratio,279.62,-,237.17,-,37.88,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,36.81,36.81,43.50,26.37,25.81,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,7.87,4.84,4.40,3.33,3.29,4.23,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,48.51,29.98,28.33,22.39,23.59,32.99,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,56.14,34.35,32.75,26.19,28.02,40.29,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,273.85,-,227.19,-,33.84,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.11,0.11,-,-,0.30,0.24,0.24
16,Debt / EBITDA Ratio,0.03,0.02,0.03,0.03,0.04,0.03,0.07,0.37,0.66,-,-,1.49,1.64,1.64
17,Debt / FCF Ratio,0.15,-,0.27,-,0.06,-,0.11,0.71,1.55,-,-,-,-,-
18,Asset Turnover,1.08,1.21,1.04,1.19,1.30,-,-,-,-,-,-,1.08,-,
19,Inventory Turnover,4.07,3.91,4.42,3.83,4.63,3.99,-,-,-,-,-,-,3.41,-
20,Quick Ratio,2.97,2.97,2.78,3.66,3.81,5.47,1.72,-,0.84,-,-,-,0.65,0.65
21,Current Ratio,4.96,4.96,4.37,5.84,5.86,7.50,3.40,-,2.78,-,-,-,1.68,1.68
22,Return on Equity (ROE),16.29%,16.64%,15.92%,12.74%,15.68%,26.06%,19.49%,-,-,-,-,6.14%,-,
23,Return on Assets (ROA),10.68%,10.14%,10.47%,8.38%,10.68%,-,-,-,-,-,-,3.79%,-,
24,Return on Capital (ROIC),12.21%,11.53%,11.72%,9.41%,12.31%,15.62%,14.00%,-,-,-,-,4.45%,-,
25,Return on Capital Employed (ROCE),16.21%,16.28%,15.61%,14.62%,13.41%,11.61%,18.13%,-,16.08%,-,-,-,4.13%,2.07%
26,Earnings Yield,1.49%,2.38%,2.47%,2.94%,2.69%,2.11%,-,-,-,-,-,-,-,-
27,FCF Yield,0.36%,0.57%,0.42%,2.03%,2.64%,1.87%,-,-,-,-,-,-,-,-
28,Dividend Yield,0.25%,0.69%,-,-,0.43%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,11.88%,41.91%,0.09%,-,1.29%,-,0.18%,1.34%,4.49%,3.26%,7.35%,-,23.55%,23.55%
30,Buyback Yield / Dilution,-9.34%,-5.36%,-8.87%,-13.18%,-10.18%,-3.88%,-1.67%,-,-0.30%,-0.91%,-,-,-,-
31,Total Shareholder Return,-9.08%,-4.67%,-8.87%,-13.18%,-9.75%,-3.88%,-1.67%,-,-0.30%,-0.91%,-,-,-,-
