,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1255,1319,1097,1198,1055,1153,904.55,891.41,800.7,960.74,726.3,537.87,537.87
1,Other Revenue,-10.22,10.22,-,16.67,-7.77,7.77,-,18.38,-,-,-,3.41,3.41
2,Revenue,1245,1329,1097,1215,1047,1161,904.55,909.79,800.7,960.74,726.3,541.27,541.27
3,Revenue Growth (YoY),18.92%,14.48%,21.33%,33.50%,30.73%,20.85%,24.54%,68.08%,47.93%,-,-,-,-
4,Cost of Revenue,710.69,773.54,646,773.43,620.26,783.71,595.21,618.67,520.87,1178,-,393.19,393.19
5,Gross Profit,534.09,555.66,451.49,441.19,426.49,377.35,309.34,291.12,279.83,-217.49,726.3,148.08,148.08
6,"Selling, General & Admin",311.16,344.81,250.64,280.34,260.94,227.53,173.55,211.87,178.1,308.69,-,101.3,101.3
7,Research & Development,21.7,21.17,17.11,17.63,19.44,19.73,16.48,19.55,17.71,30.59,-,13.6,13.6
8,Other Operating Expenses,4.8,5.29,4.3,4.92,4.05,4.4,3.15,9.69,0.45,-666.88,671.95,2.31,2.31
9,Operating Expenses,337.96,376.79,275.02,304.48,289.05,253.31,199.81,239.7,193.77,-325.54,671.95,117.64,117.64
10,Operating Income,196.13,178.87,176.47,136.71,137.44,124.04,109.52,51.42,86.05,108.05,54.35,30.43,30.43
11,Interest Expense,-0.87,-,-0.73,-,-0.2,-,-1.17,-2.5,-1.79,-7.66,-,-4.8,-4.8
12,Interest & Investment Income,8.35,9.58,9.02,7.08,2.21,0.62,1.16,-,0.77,1.28,-,0.25,0.25
13,Earnings From Equity Investments,-,-,-,0.01,-0.01,-,-,0.08,-0,-0.07,-,-,-
14,Currency Exchange Gain (Loss),-11.69,11.69,-,6.88,-10.6,10.6,-,23.83,-,-,-,-1.08,-1.08
15,Other Non Operating Income (Expenses),15.45,-5.28,3.96,-12.52,11.78,2.23,-3.09,-30.4,13.51,13.32,-,-1.03,-1.03
16,EBT Excluding Unusual Items,207.37,194.86,188.73,138.15,140.62,137.49,106.42,42.43,98.53,114.91,54.35,23.77,23.77
17,Gain (Loss) on Sale of Investments,-,-,-,-,0,-0,-0,-0.08,-,-,-,-0.03,-0.03
18,Gain (Loss) on Sale of Assets,-0.15,-0.13,-,-3.04,-0.02,0.05,-,-0.2,0.05,0.1,-,-0.19,-0.19
19,Asset Writedown,-6.2,2.56,-3.5,14.69,-14.7,4.97,-5.21,4.1,-4.1,-,-,0,0
20,Other Unusual Items,3.35,5.92,4.48,5.84,-0.01,0.01,-,7.82,-,0.35,-0.35,2.93,2.93
21,Pretax Income,204.37,203.21,189.71,155.65,125.9,142.51,101.2,54.06,94.48,115.36,54,26.49,26.49
22,Income Tax Expense,41.73,42.9,40.9,40.7,17.77,20.98,15.47,3.85,14.89,22.55,10.96,5.25,5.25
23,Earnings From Continuing Operations,162.64,160.31,148.81,114.94,108.13,121.53,85.73,50.21,79.59,92.82,43.04,21.24,21.24
24,Minority Interest in Earnings,-0.69,-0.13,-0.52,-0.46,0.48,-0.77,-0.75,-0.15,-0.22,0.75,0.83,0.21,0.21
25,Net Income,161.95,160.18,148.29,114.48,108.61,120.77,84.98,50.06,79.37,93.57,43.88,21.45,21.45
26,Net Income to Common,161.95,160.18,148.29,114.48,108.61,120.77,84.98,50.06,79.37,93.57,43.88,21.45,21.45
27,Net Income Growth,49.11%,32.64%,74.49%,128.67%,36.84%,29.06%,93.69%,133.43%,270.09%,-,-,-,-
28,Shares Outstanding (Basic),395,400,401,395,375,368,354,359,361,362,-,357,357
29,Shares Outstanding (Diluted),395,400,401,395,375,368,354,359,361,362,-,357,357
30,Shares Change (YoY),5.36%,8.87%,13.18%,10.18%,3.88%,1.67%,-,0.30%,0.91%,-,-,-,-
31,EPS (Basic),0.41,0.40,0.37,0.29,0.29,0.33,0.24,0.14,0.22,0.26,-,0.06,0.06
32,EPS (Diluted),0.41,0.40,0.37,0.29,0.29,0.33,0.24,0.14,0.22,0.26,-,0.06,0.06
33,EPS Growth,41.52%,21.84%,54.17%,107.54%,31.73%,26.95%,-,132.74%,266.76%,-,-,-,-
34,Free Cash Flow,-24.82,11.6,-52.08,205.73,-74.5,261.67,27.55,108.11,6.6,132.45,-120.57,-35.89,-35.89
35,Free Cash Flow Per Share,-0.06,0.03,-0.13,0.52,-0.20,0.71,0.08,0.30,0.02,0.37,-,-0.10,-0.10
36,Dividend Per Share,0.250,-,-,0.170,-,-,-,-,-,-,-,-,-
37,Gross Margin,42.91%,41.80%,41.14%,36.32%,40.74%,32.50%,34.20%,32.00%,34.95%,-22.64%,100.00%,27.36%,27.36%
38,Operating Margin,15.76%,13.46%,16.08%,11.26%,13.13%,10.68%,12.11%,5.65%,10.75%,11.25%,7.48%,5.62%,5.62%
39,Profit Margin,13.01%,12.05%,13.51%,9.43%,10.38%,10.40%,9.40%,5.50%,9.91%,9.74%,6.04%,3.96%,3.96%
40,Free Cash Flow Margin,-1.99%,0.87%,-4.75%,16.94%,-7.12%,22.54%,3.05%,11.88%,0.82%,13.79%,-16.60%,-6.63%,-6.63%
41,EBITDA,220.94,204.74,201.28,161.52,160.31,148.99,132.39,74.29,106.34,128.34,74.64,49.47,49.47
42,EBITDA Margin,17.75%,15.40%,18.34%,13.30%,15.31%,12.83%,14.64%,8.17%,13.28%,13.36%,10.28%,9.14%,9.14%
43,D&A For EBITDA,24.81,25.87,24.81,24.81,22.87,24.95,22.87,22.87,20.29,20.29,20.29,19.04,19.04
44,EBIT,196.13,178.87,176.47,136.71,137.44,124.04,109.52,51.42,86.05,108.05,54.35,30.43,30.43
45,EBIT Margin,15.76%,13.46%,16.08%,11.26%,13.13%,10.68%,12.11%,5.65%,10.75%,11.25%,7.48%,5.62%,5.62%
46,Effective Tax Rate,20.42%,21.11%,21.56%,26.15%,14.11%,14.72%,15.29%,7.13%,15.76%,19.54%,20.29%,19.82%,19.82%
47,Revenue as Reported,1245,1329,1097,1215,1047,1161,904.55,909.79,800.7,1687,-,541.27,541.27
