,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,838.22,948.02,936.06,1009,1723,329.41,-,197.99,-,-,-,215.42,215.42
1,Cash & Short-Term Investments,838.22,948.02,936.06,1009,1723,329.41,197.99,197.99,-,-,357.17,215.42,215.42
2,Cash Growth,-51.34%,187.79%,372.79%,409.68%,-,-,-44.57%,-8.09%,-,-,-,-,-
3,Accounts Receivable,395.7,403.05,340.94,277.7,313.78,290.05,-,132.41,-,-,-,119.74,119.74
4,Other Receivables,26.33,30.1,26.05,74.61,28.1,26.32,-,23.43,-,-,-,10.05,10.05
5,Receivables,422.03,433.15,366.99,352.31,341.88,316.37,-,155.84,-,-,-,129.79,129.79
6,Inventory,746.75,708.99,691.47,657.19,679.18,562.91,-,735.79,-,-,-,461.3,461.3
7,Other Current Assets,99.42,77.28,86.59,76.13,85.29,66.5,-,74.99,-,-,-,89.12,89.12
8,Total Current Assets,2106,2167,2081,2095,2829,1275,-,1165,-,-,-,895.62,895.62
9,"Property, Plant & Equipment",1247,1104,982.12,977.09,952.9,935.19,-,948.6,-,-,-,907.48,907.48
10,Long-Term Investments,880.37,864.12,908.28,832.11,0.64,0.64,-,0.64,-,-,-,0.68,0.68
11,Other Intangible Assets,163.18,160.65,158.55,130.85,130.88,131.56,-,111.79,-,-,-,104.96,104.96
12,Long-Term Deferred Tax Assets,50.52,46.12,42.41,36.63,31.36,26.92,-,36.41,-,-,-,45.68,45.68
13,Long-Term Deferred Charges,14.64,15.91,14.26,14.64,5.28,2.85,-,3.96,-,-,-,8.08,8.08
14,Other Long-Term Assets,187.97,171.37,100.14,57.2,65.53,48.7,-,17.51,-,-,-,44.11,44.11
15,Total Assets,4651,4529,4287,4143,4016,2421,-,2284,-,-,-,2007,2007
16,Accounts Payable,227,232.45,192.53,184.04,232.89,203.92,-,141.85,-,-,-,96.32,96.32
17,Accrued Expenses,80.05,73.12,40.49,58.35,68.07,43.21,-,48.37,-,-,-,44.89,44.89
18,Short-Term Debt,-,-,-,-,-,40,-,164.57,-,-,-,304.45,304.45
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,9.69,9.69
20,Current Portion of Leases,6.39,5.78,4.66,4.66,-,-,-,0.6,-,-,-,0.5,0.5
21,Current Income Taxes Payable,54.11,46.59,61.7,37.91,28.6,21.11,-,4.21,-,-,-,10.07,10.07
22,Current Unearned Revenue,31.54,46.14,36.53,57.19,30.57,52.12,-,44.59,-,-,-,3.7,3.7
23,Other Current Liabilities,25.53,92.31,20.47,15.11,17.08,14.55,-,14.74,-,-,-,63.59,63.59
24,Total Current Liabilities,424.61,496.4,356.38,357.26,377.21,374.91,-,418.92,-,-,-,533.21,533.21
25,Long-Term Debt,-,-,-,-,-,-,-,27.96,-,-,-,7.27,7.27
26,Long-Term Leases,15.33,18.42,20.96,20.69,19.71,2.65,-,3.04,-,-,-,3.47,3.47
27,Long-Term Unearned Revenue,32.38,33.23,32.64,34.77,35.58,36.4,-,38.03,-,-,-,38.02,38.02
28,Long-Term Deferred Tax Liabilities,54.19,48.55,45.33,41.53,36.29,34.88,-,35.9,-,-,-,27.78,27.78
29,Other Long-Term Liabilities,35.29,33.28,23.6,19.13,-,0.55,-,0.55,-,-,-,13.28,13.28
30,Total Liabilities,561.8,629.88,478.91,473.37,468.79,449.39,-,524.4,-,-,-,623.02,623.02
31,Common Stock,400.04,400.04,400.04,400.04,400.04,360.04,-,360.04,-,-,-,360.04,360.04
32,Additional Paid-In Capital,2109,2106,2106,2106,2106,673.08,-,672.69,-,-,-,669.33,669.33
33,Retained Earnings,1554,1392,1300,1151,1037,928.08,-,722.44,-,-,-,358.07,358.07
34,Comprehensive Income & Other,20.37,-3.42,-2.51,8.22,0.06,5.71,-,0.84,-,-,-,-5.97,-5.97
35,Total Common Equity,4083,3894,3803,3665,3542,1967,1756,1756,-,-,1472,1381,1381
36,Minority Interest,5.94,5.36,5.2,4.67,4.28,4.77,-,3.1,-,-,-,2.12,2.12
37,Shareholders' Equity,4089,3899,3808,3670,3547,1972,1759,1759,-,-,1476,1384,1384
