,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,-,1344,1423,581.54,1059,473.02,439.19,499.15,1997,564.53,923.39,850.13,1261,-,259.54,-,1227
1,Trading Asset Securities,-,73.26,78.4,295.72,100.02,559.3,961.95,1173,-,1305,1062,1326,-,-,769.79,-,-
2,Cash & Short-Term Investments,1417,1417,1501,877.26,1159,1032,1401,1672,1997,1869,1985,2176,1261,-,1029,1227,1227
3,Cash Growth,22.30%,37.30%,7.14%,-47.54%,-41.98%,-44.77%,-29.43%,-23.14%,58.36%,-,92.88%,77.27%,2.76%,-,-,-,-
4,Accounts Receivable,-,1127,1050,1101,1025,912.03,825.54,858.9,790.17,662.1,580.77,513.27,490.46,-,315.57,-,255.99
5,Other Receivables,-,24.89,23.02,25.4,22.13,63.18,25.52,33.57,27.18,27.32,23.1,25.87,19.42,-,17.74,-,14.08
6,Receivables,-,1152,1073,1126,1047,975.21,851.06,892.48,817.35,689.42,603.87,539.14,509.88,-,333.31,-,270.08
7,Inventory,-,404.59,410.54,412.13,358.57,421.47,402.83,365.56,314.26,343.83,330.14,290.53,262.79,-,386.84,-,297.57
8,Other Current Assets,-,58.74,30.84,64.05,77.83,127.26,144.45,119.59,111.39,86.08,54.01,72.24,50.68,-,33.09,-,45.07
9,Total Current Assets,-,3033,3016,2480,2642,2556,2799,3050,3240,2988,2973,3078,2085,-,1783,-,1840
10,"Property, Plant & Equipment",-,124.58,131.91,128.26,137.83,135.11,148.38,129.51,139.95,176.39,184.31,181.64,186.23,-,170.46,-,26.15
11,Long-Term Investments,-,260.81,260.81,260.81,156.81,157.8,157.8,142.8,149.25,105.13,105.13,85.13,85.13,-,-,-,-
12,Goodwill,-,268.35,268.35,268.35,268.35,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,56.24,62.24,63.89,70.46,70.29,60.68,58.22,52.18,58.09,40.32,37.58,35.43,-,28.65,-,24.17
14,Long-Term Deferred Tax Assets,-,95.92,94.45,94.39,93.46,77.87,77.42,78.05,77.85,81.37,81.63,76.93,74.5,-,71.21,-,65.31
15,Long-Term Deferred Charges,-,14.66,16.35,17.76,18.77,22.73,22.57,24.15,22.98,20.03,22.77,22.36,23.58,-,22.27,-,14.48
16,Other Long-Term Assets,-,2.13,2.15,2.48,13.04,-,-,-,-,-,-,-,-,-,84.15,-,-
17,Total Assets,-,3856,3852,3316,3401,3020,3266,3483,3683,3429,3408,3481,2490,-,2159,-,1970
18,Accounts Payable,-,326.29,287.13,322.95,318.72,205.47,214.48,206.56,245.21,250.66,145.21,153.68,162.25,-,81.49,-,86.9
19,Accrued Expenses,-,117.01,210.15,210.49,266.78,117.15,197.53,146.05,264.98,161.98,214.78,177.7,275.47,-,168.92,-,199.71
20,Short-Term Debt,-,171.3,200.11,54.01,28.64,-,-,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Long-Term Debt,-,-,18.35,-,18.35,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,42.98,24.62,43.65,25.9,28.87,28.91,26.5,26.82,30.94,31.07,27.06,27.06,-,19.28,-,-
23,Current Income Taxes Payable,-,82.73,-,67.26,-,47.49,0.88,56.46,0.66,31.13,4.05,51.67,26.51,-,0.59,-,37.34
24,Current Unearned Revenue,-,224.67,220.99,278.95,266.26,265.81,279.93,326.32,287.28,341.92,338.64,312.03,322.08,-,421.45,-,334.61
25,Other Current Liabilities,-,66.98,57.61,65.2,66.29,64.92,88.52,55.39,91.71,60.54,124.58,44.63,57.3,-,49.6,-,47.97
26,Total Current Liabilities,-,1032,1019,1043,990.95,729.71,810.24,817.29,916.66,877.16,858.32,766.77,870.66,-,741.33,-,706.53
27,Long-Term Debt,-,172,172.01,172.04,171.95,-,-,-,-,-,-,-,-,-,-,-,3.27
28,Long-Term Leases,-,72.52,77.01,72.14,76.55,70.34,85,67.83,75.66,109.91,116.89,118.3,123.53,-,115.71,-,-
29,Long-Term Unearned Revenue,-,9.91,13.21,15.38,18.59,20.02,24.64,21.77,25.11,26.52,32.54,45.11,25.32,-,31.25,-,23.97
30,Long-Term Deferred Tax Liabilities,-,9.02,7.95,8.62,8.05,11.94,11.94,11.94,11.94,5.93,5.93,5.32,5.32,-,5.18,-,-
31,Other Long-Term Liabilities,-,605.5,605.5,3.78,5.2,2.06,2.06,2.57,4.81,2.28,2.28,1.84,4.08,-,3.79,-,5.77
32,Total Liabilities,-,1901,1895,1314,1271,834.07,933.88,921.41,1034,1022,1016,937.34,1029,-,897.26,-,739.54
33,Common Stock,-,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,360,-,360,-,360
34,Additional Paid-In Capital,-,1575,1560,1560,1541,1536,1521,1515,1500,1489,1477,1482,363,-,337.08,-,312.96
35,Retained Earnings,-,239.02,255.25,301.45,447.36,526.08,565.95,652.24,748.26,514.33,510.2,658.55,736.8,-,566.16,-,558.12
36,Treasury Stock,-,-270.01,-270.01,-270.01,-270.01,-270.01,-150.04,-0.47,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,-0.1,-0.1,-0.18,-0.18,-1.39,-1.3,-1.45,-1.47,-0.07,-1.38,-1.76,-1.72,-,-0.43,-,-0.33
38,Total Common Equity,1944,1944,1946,1991,2118,2191,2335,2565,2647,2403,2386,2539,1458,-,1263,1231,1231
39,Minority Interest,-,11.04,11.79,10.22,11.75,-5.04,-2.92,-3.89,1.33,4.64,5.64,5.21,2.54,-,-0.76,-,-0.04
40,Shareholders' Equity,1955,1955,1957,2001,2130,2186,2332,2561,2648,2408,2392,2544,1461,-,1262,1231,1231
41,Total Liabilities & Equity,-,3856,3852,3316,3401,3020,3266,3483,3683,3429,3408,3481,2490,-,2159,-,1970
42,Total Debt,458.8,458.8,492.1,341.82,321.39,99.21,113.9,94.33,102.48,140.85,147.96,145.36,150.59,-,134.99,3.27,3.27
43,Net Cash (Debt),958.61,958.61,1009,535.44,837.59,933.12,1287,1578,1895,1728,1837,2030,1111,-,894.34,1224,1224
44,Net Cash Growth,14.45%,2.73%,-21.60%,-66.07%,-55.80%,-46.01%,-29.94%,-22.28%,70.61%,-,105.45%,65.87%,-9.27%,-,-,-,-
45,Net Cash Per Share,2.17,2.67,2.52,1.34,2.05,2.41,3.22,3.94,4.59,4.32,4.75,5.25,3.09,-,2.51,3.36,1.06
46,Filing Date Shares Outstanding,441.42,386.52,386.52,399.97,386.52,386.47,399.9,399.99,400.01,400.01,400.01,400.01,360,359.39,360,364.6,360
47,Total Common Shares Outstanding,386.52,386.52,386.52,399.97,386.52,386.47,399.9,399.99,400.01,400.01,400.01,400.01,360,359.39,360,364.6,360
48,Working Capital,-,2001,1997,1437,1651,1827,1989,2233,2324,2111,2115,2311,1214,-,1041,-,1134
49,Book Value Per Share,5.03,5.03,5.03,4.98,5.48,5.67,5.84,6.41,6.62,6.01,5.96,6.35,4.05,-,3.51,3.42,3.42
50,Tangible Book Value,1619,1619,1615,1659,1779,2121,2275,2507,2595,2345,2346,2501,1423,-,1234,1207,1207
51,Tangible Book Value Per Share,4.19,4.19,4.18,4.15,4.60,5.49,5.69,6.27,6.49,5.86,5.86,6.25,3.95,-,3.43,3.35,3.35
52,Machinery,-,-,100.45,-,96.02,-,86.06,-,81.55,-,76.64,-,67.29,-,-,-,44.73
