,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,2636,447.71,372.39,288.29,615.18,428.71,326.93,236.21,691.7,435.97,308.03,284.76,688.07,492.95,226.83,259.23,422.51
1,Other Revenue,-,-0.03,0.03,-,1.06,-0.08,0.08,-,0.49,-0.13,0.13,-,0.38,-,-,-,-
2,Revenue,2636,447.67,372.42,288.29,616.23,428.63,327.01,236.21,692.2,435.84,308.15,284.76,688.46,492.95,226.83,259.23,422.51
3,Revenue Growth (YoY),327.73%,4.44%,13.89%,22.05%,-10.97%,-1.65%,6.12%,-17.05%,0.54%,-11.59%,35.85%,9.85%,62.95%,-,-,-,-
4,Cost of Revenue,-512.71,213.45,153.27,146,381.17,224.38,158.06,93.6,303.27,208.69,167.56,145.83,354.54,227.45,114.9,109.61,206.16
5,Gross Profit,3149,234.22,219.15,142.29,235.06,204.25,168.95,142.61,388.92,227.15,140.59,138.93,333.91,265.5,111.93,149.62,216.35
6,"Selling, General & Admin",-491.91,161.04,163.17,167.7,174.45,160.22,146.72,167.87,154.59,166.9,162.62,147.93,197.67,116.08,120.37,88.57,134.02
7,Research & Development,-319.18,96.27,96.01,126.9,128.85,108.63,102.83,106.42,75.55,78.74,84.32,83.84,72.13,62.35,51.74,45.96,36.77
8,Other Operating Expenses,3304,-18.15,-9.64,-4.96,-5.06,-23.61,-6.33,-20.85,-20.51,-29.45,-7.44,-5.84,12.17,-22.91,-18.26,-1.5,-8.45
9,Operating Expenses,2469,242.33,266.98,292.8,344.64,249.93,250.52,254.44,221.22,216.44,248.45,227.1,287.46,158.6,157.56,137.88,185.05
10,Operating Income,679.17,-8.11,-47.83,-150.51,-109.58,-45.68,-81.57,-111.84,167.7,10.7,-107.86,-88.17,46.45,106.9,-45.63,11.74,31.29
11,Interest Expense,-12.34,-3.59,-3.7,-3.08,-1.52,-1.42,-1.87,-0.96,-,-1.7,-1.84,-1.7,-2.52,-1.87,-1.68,-1.63,-
12,Interest & Investment Income,10.38,4.12,5.17,3.05,2.62,10.52,12.32,4.79,12.11,10.06,14.91,4.13,7.55,10.04,2.43,1.2,6.06
13,Currency Exchange Gain (Loss),-,0.17,-0.17,-,-1.38,-0.04,0.04,-,-1.32,0.03,-0.03,-,0.11,-0.02,0.02,-,0.02
14,Other Non Operating Income (Expenses),-5.48,1.47,-2.55,-0.05,-0.58,-0.22,-0.29,-0.29,0.1,0.22,-0.33,-0.04,-1.19,0.16,-0.26,-0.06,0.11
15,EBT Excluding Unusual Items,671.73,-5.94,-49.09,-150.59,-110.44,-36.84,-71.37,-108.29,178.58,19.31,-95.15,-85.79,50.41,115.21,-45.12,11.25,37.49
16,Gain (Loss) on Sale of Investments,-0.26,-0.15,-2.29,2.69,1.67,-2.64,-2.22,8.17,44.12,2.56,-0.68,4.69,0.98,-1.41,37.95,6.06,-
17,Gain (Loss) on Sale of Assets,0.46,-0.07,-0.33,-0.06,0.98,-0.22,-0.83,-0.18,-0.23,-0.02,-0.01,-0.01,0.01,1.01,-0.91,-0.09,-0.35
18,Asset Writedown,2.62,-2.62,2.68,-2.68,0.41,-0.41,0.02,-0.02,19.02,-19.02,-2.51,2.51,24.85,-24.85,11.26,-11.26,7.46
19,Other Unusual Items,-0.05,-7.39,5.09,2.34,28,-,-,-,28.17,-0.02,0.02,-,36.92,-0.01,0.01,-,6.39
20,Pretax Income,674.5,-16.16,-43.94,-148.3,-79.38,-40.11,-74.4,-100.32,269.67,2.82,-98.34,-78.59,113.17,89.94,3.19,5.96,50.99
21,Income Tax Expense,457.22,-0.35,0.69,-0.85,-3.12,-0.45,3.89,-3,7.17,0.28,-7.01,-2.43,12.27,16.9,-5.92,7.76,-4.79
