,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,10.08,9.72,11.6,13.89,7.36,10.17,12.64,17.23,35.68,23.27
1,Short-Term Investments,3.66,1.65,2.89,2.65,2.62,2.97,0.73,0.9,1.72,1.67
2,Cash & Short-Term Investments,13.74,11.36,14.49,16.54,9.98,13.14,13.37,18.12,37.4,24.94
3,Cash Growth,-5.18%,-31.29%,45.20%,25.82%,-25.34%,-27.47%,-64.26%,-27.33%,50.98%,15.91%
4,Accounts Receivable,194.55,193.37,204.78,216.33,232.03,230.42,246.52,251.97,269.98,281.46
5,Other Receivables,3.42,3.11,11.96,5.33,1.48,1.73,12.54,6.07,31.11,29.97
6,Receivables,197.97,196.48,216.74,221.66,233.51,232.16,259.06,258.04,301.09,311.43
7,Inventory,4.99,6.52,5.47,4.35,-,-,-,-,-,-
8,Prepaid Expenses,9.82,13.12,7.35,12.09,8.89,8.81,2.98,3.26,1.6,1.63
9,Other Current Assets,-,-,-,-,-,-,-,-,26.19,26.16
10,Total Current Assets,226.52,227.49,244.05,254.65,252.39,254.11,275.41,279.42,366.28,364.16
11,"Property, Plant & Equipment",40.5,39.22,43.9,52.48,43.44,47.63,54.98,58.22,4.6,5.89
12,Long-Term Investments,-,-,-,-,-,-,9.76,9.57,9.6,-
13,Goodwill,-,-,-,-,-,-,-,15.58,-,-
14,Other Intangible Assets,-,-,1.16,2.76,-,-,-,-,-,-
15,Long-Term Deferred Tax Assets,-,-,-,-,-,-,5.91,5.91,0.48,0.49
16,Other Long-Term Assets,11.83,11.79,10.55,11.77,10.61,11.79,13.59,36.41,22.41,22.41
17,Total Assets,278.85,278.5,299.66,321.65,306.44,313.53,359.66,405.11,403.37,392.95
18,Accounts Payable,58.57,60.24,62.19,56.91,59.95,57.72,60.29,72.16,118.69,132.07
19,Accrued Expenses,9.75,10.47,5.67,5.87,10.08,9.51,6.94,6.31,5.92,8.25
20,Short-Term Debt,-,-,-,0.84,3.05,5.23,17.38,44.6,163.94,102.49
21,Current Portion of Long-Term Debt,-,-,-,-,-,6,30.67,33.67,-,-
22,Current Portion of Leases,3.2,2.95,2.88,2.91,1.45,1.93,2.58,3.12,3.77,3.35
23,Current Income Taxes Payable,0.37,-,-,-,-,-,-,-,0.16,0.03
24,Current Unearned Revenue,19.42,11.99,5.45,14.56,13.73,13.87,16.27,16.48,3.97,5.36
25,Other Current Liabilities,1.08,5.01,10.7,12.84,0.58,0.98,0.75,1.91,0.54,0.7
26,Total Current Liabilities,92.4,90.65,86.89,93.93,88.84,95.23,134.87,178.24,296.99,252.25
27,Long-Term Debt,168.67,166.87,192.31,209.8,201.59,185.41,167.59,131.41,0.94,13.34
28,Long-Term Leases,0.59,2.04,3.48,5.14,3.06,-,0.5,2.08,1.01,2.24
29,Long-Term Deferred Tax Liabilities,1.18,1.12,1.43,1.95,1.17,1.37,1.48,1.5,0.14,0.16
30,Other Long-Term Liabilities,-,-,-,0.58,-,-,-,-,-,-
31,Total Liabilities,262.84,260.68,284.11,311.39,294.66,282.02,304.45,313.23,299.09,267.98
32,Common Stock,96,96,96,96,96,96,96,96,96,80
33,Additional Paid-In Capital,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,15.99,12.79
34,Retained Earnings,-237.91,-202.95,-126.98,-112.53,-104.42,-85.89,-61.55,-36.91,-23.99,15.91
35,Comprehensive Income & Other,141.93,108.78,30.54,10.8,4.2,5.41,4.77,16.8,16.28,16.28
36,Shareholders' Equity,16.01,17.82,15.55,10.26,11.78,31.51,55.21,91.88,104.28,124.97
37,Total Liabilities & Equity,278.85,278.5,299.66,321.65,306.44,313.53,359.66,405.11,403.37,392.95
38,Total Debt,172.46,171.86,198.68,218.7,209.15,198.57,218.73,214.88,169.66,121.42
39,Net Cash (Debt),-158.72,-160.49,-184.19,-202.16,-199.17,-185.42,-205.36,-196.76,-132.26,-96.48
40,Net Cash Per Share,-0.17,-0.17,-0.19,-0.21,-0.21,-0.19,-0.21,-0.21,-0.16,-0.12
41,Filing Date Shares Outstanding,960,960,960,960,960,960,960,960,960,800
42,Total Common Shares Outstanding,960,960,960,960,960,960,960,960,960,800
43,Working Capital,134.12,136.84,157.16,160.72,163.55,158.87,140.54,101.18,69.29,111.91
44,Book Value Per Share,0.02,0.02,0.02,0.01,0.01,0.03,0.06,0.10,0.11,0.16
45,Tangible Book Value,16.01,17.82,14.39,7.5,11.78,31.51,55.21,76.31,104.28,124.97
46,Tangible Book Value Per Share,0.02,0.02,0.01,0.01,0.01,0.03,0.06,0.08,0.11,0.16
47,Land,-,39.85,-,45.2,-,49.26,-,53.46,-,-
48,Machinery,-,7.25,-,6,-,5.93,-,5.93,-,6.34
49,Leasehold Improvements,-,0.75,-,0.75,-,4.23,-,4.23,-,4.23
50,Order Backlog,101.7,-,-,-,-,-,-,-,-,-
