,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Aug '21 Aug 31, 2021","Feb '21 Feb 28, 2021","Aug '20 Aug 31, 2020","Feb '20 Feb 29, 2020"
0,Interest and Dividend Income,2.18,1.71,4.94,6.72,8.25,6.75,6.72,4.84,3.01,2.75
1,Total Interest Expense,0.04,0.01,0.03,0.05,0.22,0.02,0.04,0.14,0.05,0.17
2,Net Interest Income,2.14,1.7,4.91,6.67,8.03,6.73,6.68,4.7,2.97,2.58
3,Brokerage Commission,1.27,0.75,2.26,2.14,1,0.99,0.91,1.6,0.88,1.88
4,Asset Management Fee,0.21,0.21,0.22,0.22,0.24,0.27,0.29,1.25,0.27,0.31
5,Underwriting & Investment Banking Fee,90.05,18.06,4.59,18.42,8.56,8.85,10.18,55.22,16.61,48.41
6,Revenue Before Loan Losses,93.67,20.71,11.98,27.44,17.82,16.83,18.07,62.78,20.72,53.18
7,Provision for Loan Losses,0.16,-0.04,0.04,0.07,-0.05,0.03,0.01,-0.26,-0.19,-
8,Revenue,93.51,20.75,11.94,27.37,17.87,16.81,18.05,63.03,20.92,53.18
9,Revenue Growth (YoY),683.41%,-24.19%,-33.20%,62.84%,-1.01%,-73.33%,-13.69%,18.52%,-51.66%,-3.59%
10,Salaries & Employee Benefits,10.84,26.39,14.98,19.42,21.97,20.56,16.83,39.04,33.57,32.57
11,Cost of Services Provided,-,-,-,-,-,-4.54,4.54,-5.26,5.26,9.25
12,Other Operating Expenses,89.03,9.35,5.71,5.68,6.97,9.72,-,17.13,-,0.43
13,Total Operating Expenses,100.54,36.51,21.46,26.71,30.14,28.34,23.43,54.88,38.83,42.26
14,Operating Income,-7.03,-15.77,-9.52,0.66,-12.27,-11.53,-5.38,8.15,-17.92,10.93
15,Other Non-Operating Income (Expenses),2.44,2.28,2.36,2.6,1.08,0.97,3.06,0.09,3.45,1.37
16,EBT Excluding Unusual Items,-4.59,-13.49,-7.16,3.26,-11.19,-10.56,-2.32,8.24,-14.47,12.3
17,Gain (Loss) on Sale of Investments,-18.3,5.92,16.51,-1.23,1.85,-8.72,0.35,-1.62,7.82,-6.29
18,Other Unusual Items,-,-,-,0.73,-,-,-,2.55,-,-
19,Pretax Income,-22.89,-7.57,9.35,2.76,-9.34,-19.27,-1.97,9.17,-6.65,6
20,Income Tax Expense,-,-,-,-,-,1.27,-,0.14,-,2.07
21,Net Income,-22.89,-7.57,9.35,2.76,-9.34,-20.54,-1.97,9.03,-6.65,3.93
22,Net Income to Common,-22.89,-7.57,9.35,2.76,-9.34,-20.54,-1.97,9.03,-6.65,3.93
23,Net Income Growth,-,-,-,-,-,-,-,129.61%,-,-65.48%
24,Shares Outstanding (Basic),40,40,40,40,40,40,40,40,40,40
25,Shares Outstanding (Diluted),40,40,40,40,40,40,40,40,40,40
26,Shares Change (YoY),-,-,-,-,-,-,-,-,-,2.03%
27,EPS (Basic),-0.57,-0.19,0.23,0.07,-0.23,-0.51,-0.05,0.23,-0.17,0.10
28,EPS (Diluted),-0.57,-0.19,0.23,0.07,-0.23,-0.51,-0.05,0.23,-0.17,0.10
29,EPS Growth,-,-,-,-,-,-,-,130.02%,-,-66.20%
30,Free Cash Flow,-29.96,-3.18,25.9,16.51,13.22,7.4,-14.3,24.98,-52.35,-56.2
31,Free Cash Flow Per Share,-0.75,-0.08,0.65,0.41,0.33,0.18,-0.36,0.62,-1.31,-1.41
32,Operating Margin,-7.52%,-75.98%,-79.78%,2.40%,-68.65%,-68.58%,-29.81%,12.93%,-85.67%,20.55%
33,Profit Margin,-24.48%,-36.50%,78.31%,10.09%,-52.26%,-122.22%,-10.94%,14.32%,-31.78%,7.39%
34,Free Cash Flow Margin,-32.04%,-15.31%,217.01%,60.32%,73.95%,44.00%,-79.22%,39.63%,-250.27%,-105.68%
35,Revenue as Reported,93.7,20.72,12.01,27.49,18.04,16.85,18.1,62.91,20.77,53.36
