,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,5568,6685,4231,3006,2767,4359,4230,-,-,-,-,-,-
1,Market Cap Growth,53.35%,53.35%,0.02%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4781,5897,3441,2242,1988,3580,4178,-,-,-,-,-,-
3,Last Close Price,67.20,80.34,50.86,36.01,32.63,51.40,49.88,-,-,-,-,-,-
4,PE Ratio,73.04,86.99,57.11,43.50,42.49,74.42,79.12,-,-,-,-,-,-
5,Forward PE,43.50,56.35,38.91,30.31,-,-,-,-,-,-,-,-,-
6,PS Ratio,14.74,17.56,11.59,8.55,8.05,12.86,12.40,-,-,-,-,-,-
7,PB Ratio,5.08,6.07,3.84,2.79,2.55,3.97,3.92,-,-,-,-,-,-
8,P/TBV Ratio,6.17,6.17,3.91,2.84,2.66,4.11,4.06,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,43.86,84.14,92.40,68.60,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,25.02,37.70,70.12,59.56,-,-,-,-,-,-
11,EV/Sales Ratio,12.56,15.49,9.43,6.38,5.79,10.56,12.24,-,-,-,-,-,-
12,EV/EBITDA Ratio,51.05,62.82,47.39,32.63,28.52,54.67,65.07,-,-,-,-,-,-
13,EV/EBIT Ratio,53.50,66.00,50.54,34.93,30.38,58.45,69.34,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,32.72,60.45,75.88,67.75,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.07,0.07,0.08,-,-,0.11
16,Debt / EBITDA Ratio,0.29,0.19,0.32,0.33,0.37,0.43,0.34,0.28,0.41,0.38,-,-,0.42
17,Debt / FCF Ratio,-,-,-,0.40,0.84,0.67,0.39,1.11,0.50,1.12,-,-,-
18,Asset Turnover,-,0.34,0.32,0.28,0.32,0.45,0.86,0.77,-,-,-,-,
19,Inventory Turnover,-,-,6.67,6.87,5.88,6.62,5.39,5.42,4.86,-,-,-,-
20,Quick Ratio,-,-,19.13,20.69,25.43,24.59,25.22,8.89,8.45,5.73,-,-,-
21,Current Ratio,-,-,20.08,21.58,26.57,25.65,26.49,10.81,10.13,7.14,-,-,-
22,Return on Equity (ROE),7.15%,7.53%,6.92%,6.57%,6.22%,8.66%,17.03%,13.67%,-,-,-,-,
23,Return on Assets (ROA),-,4.41%,3.60%,3.73%,2.92%,5.42%,11.30%,8.39%,-,-,-,-,
24,Return on Capital (ROIC),7.71%,4.61%,3.75%,3.87%,3.03%,5.65%,12.08%,9.18%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,6.03%,5.80%,5.87%,5.42%,5.48%,15.91%,16.63%,17.52%,-,-,-
26,Earnings Yield,1.38%,1.15%,1.75%,2.30%,2.35%,1.34%,1.26%,-,-,-,-,-,-
27,FCF Yield,-,1.01%,2.28%,1.19%,1.08%,1.46%,-,-,-,-,-,-,
28,Dividend Yield,0.33%,-,-,-,-,0.46%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,14.41%,88.46%,-,-,-,-,-,18.94%,-,2.80%,58.92%
30,Buyback Yield / Dilution,-13.09%,11.45%,-8.74%,-34.92%,-32.24%,-47.04%,-23.36%,1.29%,-1.38%,-,-,-,-
31,Total Shareholder Return,-12.76%,11.45%,-8.74%,-34.92%,-32.24%,-46.59%,-23.36%,1.29%,-1.38%,-,-,-,-
