,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,256.65,361.9,169,240.55,373,75.66,76.83,57.57,-,-,-
1,Trading Asset Securities,-,558.29,456.09,622.38,576.67,430,-,-,-,-,-,-
2,Cash & Short-Term Investments,814.94,814.94,817.99,791.38,817.22,803,75.66,76.83,57.57,-,-,39.31
3,Cash Growth,-0.28%,1.49%,981.17%,930.08%,1319.52%,-,-,95.42%,-,-,-,-
4,Accounts Receivable,-,185.39,172.88,140.17,194.42,188.89,178.16,164.33,177.63,-,-,-
5,Other Receivables,-,0.74,0.23,36.42,0.23,1.83,0.2,1.12,0.03,-,-,-
6,Receivables,-,186.12,173.11,176.58,194.64,190.73,178.36,165.44,177.66,-,-,-
7,Inventory,-,38,33.58,33.33,33.6,39.39,41.31,37.71,44.8,-,-,-
8,Other Current Assets,-,11.57,9.1,9.85,9.98,10.79,13.45,10.36,12.74,-,-,-
9,Total Current Assets,-,1051,1034,1011,1055,1044,308.77,290.34,292.78,-,-,-
10,"Property, Plant & Equipment",-,67.56,65.11,57.56,51.58,39.46,40.37,41.3,42.31,-,-,-
11,Other Intangible Assets,-,18.11,18.37,44.48,36.87,37.06,37.26,37.41,37.6,-,-,-
12,Long-Term Deferred Tax Assets,-,10.84,9.5,9.98,10.51,5,4.57,5.58,9.07,-,-,-
13,Long-Term Deferred Charges,-,26.79,25.68,10.78,11.2,11.66,11.97,12.39,12.83,-,-,-
14,Other Long-Term Assets,-,6.82,1.72,18.14,5.12,1.06,0.42,0.82,0.75,-,-,-
15,Total Assets,-,1181,1154,1152,1171,1138,403.34,387.85,395.33,-,-,-
16,Accounts Payable,-,25.52,11.91,14.07,12.03,12.54,10.3,8.36,10.79,-,-,-
17,Accrued Expenses,-,6.6,13.34,3.35,15.62,12.7,5.63,10.41,10.78,-,-,-
18,Current Portion of Leases,-,4.51,4.62,4.61,4.46,3.58,3.3,3.23,3.15,-,-,-
19,Current Income Taxes Payable,-,8.31,1.54,4.62,4.15,5.48,1.01,2.17,3.08,-,-,-
20,Current Unearned Revenue,-,0,-,0,-,-,-,-,-,-,-,-
21,Other Current Liabilities,-,7.38,16.49,11.4,4.89,5.1,8.32,4.51,13.22,-,-,-
22,Total Current Liabilities,-,52.32,47.9,38.06,41.15,39.4,28.56,28.67,41.02,-,-,-
23,Long-Term Leases,-,22.94,22.88,22.93,27.29,20.36,20.21,20.24,23.58,-,-,-
24,Long-Term Unearned Revenue,-,0.26,0.3,0.33,0.36,0.15,0.15,0.15,0.15,-,-,-
25,Long-Term Deferred Tax Liabilities,-,4.46,4.83,4.82,4.8,-,-,0.02,3.76,-,-,-
26,Total Liabilities,-,79.98,75.91,66.14,73.6,59.92,48.92,49.08,68.5,-,-,-
27,Common Stock,-,58.14,58.14,58.14,58.14,58.14,43.6,43.6,43.6,-,-,-
28,Additional Paid-In Capital,-,843.44,841.42,840.54,839.66,838.02,144.27,143.37,142.47,-,-,-
29,Retained Earnings,-,236.99,216.48,217.27,199.33,182.07,166.55,151.79,140.76,-,-,-
30,Treasury Stock,-,-37.79,-37.79,-30,-,-,-,-,-,-,-,-
31,Shareholders' Equity,1101,1101,1078,1086,1097,1078,354.42,338.77,326.83,-,-,264.47
32,Total Liabilities & Equity,-,1181,1154,1152,1171,1138,403.34,387.85,395.33,-,-,-
33,Total Debt,27.45,27.45,27.49,27.54,31.75,23.95,23.51,23.47,26.73,-,-,28.84
34,Net Cash (Debt),787.5,787.5,790.49,763.84,785.47,779.05,52.15,53.36,30.84,-,-,10.48
35,Net Cash Growth,0.26%,1.08%,1415.89%,1331.52%,2446.51%,-,-,409.30%,-,-,-,-
36,Net Cash Per Share,9.70,9.35,9.32,9.10,8.57,10.06,0.83,0.84,0.49,-,-,0.17
37,Filing Date Shares Outstanding,81.18,83.2,83.2,83.48,84.3,84.3,84.3,63.22,63.22,62.77,63.67,62.59
38,Total Common Shares Outstanding,83.2,83.2,83.2,83.48,84.3,84.3,63.22,63.22,63.22,62.77,63.67,62.59
39,Working Capital,-,998.32,985.88,973.09,1014,1004,280.21,261.67,251.76,-,-,-
40,Book Value Per Share,13.23,13.23,12.96,13.01,13.01,12.79,5.61,5.36,5.17,-,-,4.32
41,Tangible Book Value,1083,1083,1060,1041,1060,1041,317.17,301.36,289.23,-,-,264.47
42,Tangible Book Value Per Share,13.01,13.01,12.74,12.48,12.58,12.35,5.02,4.77,4.57,-,-,4.32
43,Machinery,-,-,31.88,-,29.76,-,28.41,27.4,23.95,-,-,-
44,Construction In Progress,-,-,20.6,-,5.79,-,0.69,0.82,3.51,-,-,-
