,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,107.55,100.51,92.52,80.09,91.05,87.38,84.29,75.44,93.64,91.93,99.45,88.82
1,Other Revenue,-,-0.17,0.17,-,0.78,-0.34,0.34,-,0.52,-0,-,0
2,Revenue,107.55,100.34,92.69,80.09,91.83,87.04,84.63,75.44,94.16,91.92,99.45,88.83
3,Revenue Growth (YoY),17.13%,15.29%,9.52%,6.16%,-2.48%,-5.32%,-14.90%,-15.07%,-,-,-,-
4,Cost of Revenue,124.99,59.67,57.5,49.16,60.39,54.33,53.56,50.13,65.52,61.8,69.1,60.89
5,Gross Profit,-17.44,40.67,35.19,30.93,31.44,32.7,31.07,25.3,28.64,30.12,30.36,27.93
6,"Selling, General & Admin",-34.37,11.59,12.72,10.06,12.95,9.94,7.41,7.49,9.35,8,7.82,6.44
7,Research & Development,-18.03,7.99,5.2,4.84,5.35,6.35,5.02,5.26,5.2,6.24,4.62,5.68
8,Other Operating Expenses,0.14,-0.06,0.29,-0.37,-0.6,-0.82,0.12,0.3,1.49,0.22,-0.36,0.24
9,Operating Expenses,-52.22,20.06,18.56,13.6,17.93,15.99,13.18,12.17,16.13,14.03,12.39,12.43
10,Operating Income,34.78,20.61,16.63,17.33,13.51,16.72,17.89,13.14,12.51,16.1,17.97,15.51
11,Interest Expense,-5.24,-2.69,-0.33,-0.33,-0.19,-0.32,-0.34,-0.28,-0.37,-0.24,-0.33,-0.31
12,Interest & Investment Income,0.99,-,3.79,3.81,4.4,1.65,0.04,0.04,0.03,0.04,0.04,0.02
13,Currency Exchange Gain (Loss),-,-0,0,-,0,-,-,-,0,-,-,-
14,Other Non Operating Income (Expenses),0.16,-0.2,-0.05,-0.01,-0.25,-0.04,-0.01,-0.22,-0.35,0,0.03,-0.08
