,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,51.32,51.32,39.98,39.98
1,Cost of Revenue,27.74,27.74,29.13,29.13
2,Gross Profit,23.58,23.58,10.86,10.86
3,"Selling, General & Admin",138.45,138.45,75.08,75.08
4,Research & Development,101.22,101.22,107.53,107.53
5,Other Operating Expenses,-4.03,-4.03,-0.13,-0.13
6,Operating Expenses,235.64,235.64,182.49,182.49
7,Operating Income,-212.06,-212.06,-171.63,-171.63
8,Interest Expense,-1.87,-1.87,-1.92,-1.92
9,Interest & Investment Income,18.21,18.21,25.36,25.36
10,Earnings From Equity Investments,-1.01,-1.01,-0.51,-0.51
11,Currency Exchange Gain (Loss),-5.03,-5.03,-27.94,-27.94
12,EBT Excluding Unusual Items,-201.76,-201.76,-176.65,-176.65
13,Gain (Loss) on Sale of Investments,-0.52,-0.52,-21.79,-21.79
14,Other Unusual Items,-416.5,-416.5,-111.71,-111.71
15,Pretax Income,-618.78,-618.78,-310.15,-310.15
16,Earnings From Continuing Operations,-618.78,-618.78,-310.15,-310.15
17,Minority Interest in Earnings,0.27,0.27,3.65,3.65
18,Net Income,-618.51,-618.51,-306.5,-306.5
19,Net Income to Common,-618.51,-618.51,-306.5,-306.5
20,Shares Outstanding (Basic),729,729,484,484
21,Shares Outstanding (Diluted),729,729,484,484
22,EPS (Basic),-0.85,-0.85,-0.63,-0.63
23,EPS (Diluted),-0.85,-0.85,-0.64,-0.64
24,Free Cash Flow,-165.66,-165.66,-170.84,-170.84
25,Free Cash Flow Per Share,-0.23,-0.23,-0.35,-0.35
26,Gross Margin,45.94%,45.94%,27.15%,27.15%
27,Operating Margin,-413.26%,-413.26%,-429.25%,-429.25%
28,Profit Margin,-1205.32%,-1205.32%,-766.57%,-766.57%
29,Free Cash Flow Margin,-322.82%,-322.82%,-427.26%,-427.26%
30,EBITDA,-194.36,-194.36,-159.64,-159.64
31,D&A For EBITDA,17.7,17.7,11.99,11.99
32,EBIT,-212.06,-212.06,-171.63,-171.63
