,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3866,3772,3579,3707,4546,4252,4363,4018,3245,3568,3750,3636,3994,3899,4446,5326,-,-,-,-,-
1,Market Cap Growth,-11.28%,-11.28%,-17.97%,-7.74%,40.09%,19.17%,16.35%,10.50%,-18.75%,-8.50%,-15.66%,-31.73%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2947,2879,2638,2780,3618,3367,3426,3105,2332,2707,2834,2827,3185,3114,3609,5164,-,-,-,-,-
3,Last Close Price,32.60,31.81,30.14,30.45,37.35,34.93,35.85,32.60,26.33,28.94,30.42,29.11,31.98,31.22,35.60,42.25,-,-,-,-,-
4,PE Ratio,39.79,38.50,33.34,32.34,37.17,34.20,28.15,24.34,20.37,22.15,25.59,29.03,36.42,37.94,52.13,64.57,-,-,-,-,-
5,PS Ratio,3.68,3.56,3.54,3.80,4.57,4.29,4.19,3.68,2.94,3.07,3.18,3.16,3.59,3.79,4.69,6.00,-,-,-,-,-
6,PB Ratio,2.86,2.77,2.67,2.72,3.32,3.17,3.32,3.04,2.52,2.83,3.12,3.03,3.40,3.40,4.04,4.77,-,-,-,-,-
7,P/TBV Ratio,2.90,2.90,2.80,2.85,3.48,3.31,3.48,3.18,2.63,2.96,3.27,3.05,3.42,3.43,4.06,4.81,-,-,-,-,-
8,P/FCF Ratio,63.77,62.23,-,-,41.22,122.91,64.88,95.23,-,22.28,-,29.05,98.56,-172.31,-,-,-,-,-,-,-
