,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,292.94,290.89,224.2,241.43,247.01,253.41,242.47,243.59,291.94,309.27,254.04,298.46,311.54,279.19,215.1,218.68,228.27,220.41,151.17,224.03
1,Other Revenue,-4.46,4.46,-,10.56,-7.28,7.28,-,4.84,-2.44,2.44,-,7.2,-3.47,3.47,-,5.54,-2.29,2.29,-,4.81
2,Revenue,288.48,295.35,224.2,251.99,239.73,260.69,242.47,248.42,289.5,311.7,254.04,305.65,308.07,282.66,215.1,224.22,225.97,222.71,151.17,228.84
3,Revenue Growth (YoY),20.34%,13.29%,-7.53%,1.43%,-17.19%,-16.37%,-4.55%,-18.72%,-6.03%,10.27%,18.11%,36.32%,36.33%,26.92%,42.29%,-2.02%,-,-,-,-
4,Cost of Revenue,213.84,231.04,160.68,196.66,165.88,192.48,169.93,201.44,187.95,244.35,186.95,237.42,220.62,221.07,170.36,173.72,164.08,171.53,115.24,86.48
5,Gross Profit,74.64,64.31,63.52,55.33,73.84,68.21,72.54,46.98,101.55,67.35,67.09,68.23,87.45,61.59,44.74,50.5,61.89,51.18,35.92,142.36
6,"Selling, General & Admin",26.87,23.45,22.07,25.23,23.56,24.84,20.97,28.2,24.45,24.28,22.87,28.3,25.18,27.48,22.16,17.23,19.06,16.67,17.56,80.81
7,Research & Development,20.06,19.81,16.59,19.16,18.04,14.2,12.85,17.66,15.31,14.77,11.88,13.24,13.02,13.37,9.88,9.19,11.12,11.22,7.36,38.71
8,Other Operating Expenses,-0.47,1.69,-1.84,-0.48,0.49,1.31,0.01,11.71,-3.5,-0.29,-0.64,10.44,-0.98,-1.04,-1.92,14,-3.75,-1.18,-2.39,8.7
9,Operating Expenses,46.39,46.24,36.68,44.13,41.67,40.6,33.79,58.28,35.99,40.23,32.99,52.54,37.95,40.84,30.53,40.52,26.35,27.63,21.32,128.39
10,Operating Income,28.25,18.06,26.84,11.2,32.17,27.61,38.75,-11.3,65.56,27.13,34.11,15.69,49.5,20.75,14.2,9.98,35.54,23.55,14.6,13.97
11,Interest Expense,-0.12,-0.15,-0.29,-0.86,-0.21,-0.23,-0.26,-0.18,-0.55,-0.14,-0.04,-0.06,-0.07,-0.08,-0.08,-,-0.19,-0.31,-0.02,-0.49
12,Interest & Investment Income,6.41,6.48,2.49,-,7.09,5.65,3.2,13.99,3.67,1.79,0.54,9.99,1.03,6.95,3.3,1.76,1.04,0.71,0.72,0.4
13,Currency Exchange Gain (Loss),-3.33,3.33,-,0.36,-3.24,3.24,-,33.23,-19.06,19.06,-,-4.08,1.34,-1.34,-,-9.35,-0.94,0.94,-,0.95
14,Other Non Operating Income (Expenses),-1.08,-0.41,0.48,-6.21,1.99,3.27,0.2,-37.96,37.67,0.87,-0.73,0.63,-0.88,-0.41,0.4,3.76,-3.87,-1.19,1.06,-0.34
15,EBT Excluding Unusual Items,30.13,27.32,29.53,4.5,37.81,39.54,41.9,-2.22,87.29,48.72,33.87,22.17,50.91,25.88,17.81,6.16,31.59,23.7,16.36,14.49
