,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,191.82,262.05,250.31,109.19,500.87,311.29,243.9,630.99,296.56,356.7,313.84,878.42,251.2,189.05,156.51,131.86,-,181.31,-,133.41
1,Trading Asset Securities,745,650.5,710.62,953.32,450,600,720,300.6,685,545,605,-,562.68,602.79,686.53,52.78,-,-,-,0.53
2,Cash & Short-Term Investments,936.82,912.55,960.93,1063,950.87,911.29,963.9,931.6,981.56,901.7,918.84,878.42,813.88,791.84,843.05,184.64,-,181.31,133.94,133.94
3,Cash Growth,-1.48%,0.14%,-0.31%,14.05%,-3.13%,1.06%,4.90%,6.05%,20.60%,13.87%,8.99%,375.74%,-,336.74%,529.42%,37.85%,-,-,-,-
4,Accounts Receivable,264.1,277.68,270.58,277.78,273.18,292.11,270.62,282.04,239.97,228.05,194.65,219.05,208.45,200.32,167,149.13,-,149.57,-,152.32
5,Other Receivables,3.79,3.58,3.82,3.81,4.2,4.29,4.47,4.15,4.47,3.66,3.96,7.59,3.05,6.6,6.66,5.97,-,1.25,-,1.35
6,Receivables,267.89,281.26,274.41,281.59,277.38,296.4,275.09,286.19,244.44,231.72,198.62,226.64,211.5,206.92,173.66,155.09,-,150.82,-,153.67
7,Inventory,129.14,127.57,123.11,103.86,111.03,115.84,120.09,130.17,120.28,127.78,169.84,152.28,180.63,174.31,150.88,112.44,-,85.39,-,90.63
8,Prepaid Expenses,-,0.46,-,0.96,-,0.48,-,1.2,-,0.64,-,0.92,-,0.19,-,0.76,-,0.25,-,0.98
9,Other Current Assets,5.57,10.91,9.75,6.04,14.43,5.37,6.9,6.74,7.86,16.12,13.78,12.66,18.91,18.62,14.9,18.66,-,12.18,-,13.44
10,Total Current Assets,1339,1333,1368,1455,1354,1329,1366,1356,1354,1278,1301,1271,1225,1192,1182,471.6,-,429.94,-,392.67
11,"Property, Plant & Equipment",180.77,173.85,160.8,148,149.22,151.45,153.65,156.2,158.05,142.06,138.98,131.73,129.12,126.97,127.24,116.43,-,92.84,-,93.21
