,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,191208828,150846654,156240677,153264664,177258766,165478938,173827090,189224794,204065954,199613606,204065954,272706321,301275554,352019241,325738099,384567553,381012727,349665624,295696900,287617750,269520453,Upgrade
1,Market Cap Growth,-8.84%,-8.84%,-10.12%,-19.00%,-13.14%,-17.10%,-14.82%,-30.61%,-32.27%,-43.29%,-37.35%,-29.09%,-20.93%,0.67%,10.16%,33.71%,41.37%,-5.02%,-22.35%,-20.50%,-21.77%,Upgrade
2,Enterprise Value,353286785,362848253,378904389,376642337,390560762,358114888,361664212,363880232,363919947,360009556,349277933,434602749,466100755,526120020,485038943,553071094,527238072,500301223,454157602,447983688,411610236,Upgrade
3,Last Close Price,51400.00,40550.00,42000.00,41200.00,47650.00,44600.00,46850.00,51000.00,55000.00,53800.00,55000.00,73500.00,81200.00,95100.00,88000.00,105777.79,104800.01,96177.79,81333.34,79111.12,74133.34,Upgrade
4,PE Ratio,16.29,12.85,16.30,-,19.77,-,-,32.48,27.60,22.73,187.84,-1149.87,-139.86,-,-,58.71,53.51,63.99,34.10,37.70,38.80,Upgrade
5,Forward PE,16.16,38.84,53.13,55.62,74.22,81.16,42.28,45.16,20.73,24.06,15.26,23.24,53.63,40.45,43.09,39.19,51.49,38.82,37.97,43.79,26.70,Upgrade
6,PS Ratio,0.99,0.79,1.01,1.10,1.23,1.03,0.99,1.21,1.67,1.96,2.14,2.82,2.50,2.80,2.57,2.90,3.22,3.16,2.64,2.67,2.18,Upgrade
7,PB Ratio,1.39,0.98,0.95,0.94,1.12,1.12,1.18,1.37,1.50,1.47,1.49,2.07,2.24,2.21,1.98,2.66,2.73,2.56,2.37,2.33,2.21,Upgrade
8,P/TBV Ratio,1.58,1.58,1.64,1.72,1.88,2.05,1.85,2.26,2.46,2.21,2.21,3.11,3.85,4.75,4.26,5.90,6.73,6.49,4.98,4.92,4.88,Upgrade
9,P/FCF Ratio,-,-4.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-30.17,-21.79,-7.36,-,Upgrade
10,P/OCF Ratio,8.44,8.44,-,-8.31,-,-,-30.23,-,-,41.55,-,20.63,-,-24.78,-,37.32,-,21.92,17.02,136.79,-,Upgrade
11,PEG Ratio,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.68,0.89,Upgrade
