,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,95.83,105.62,365.44,21.2,-,36.15,-,27.15,30.07,30.07
1,Trading Asset Securities,203.05,196.51,5,-,-,0.01,-,3.03,7,7
2,Cash & Short-Term Investments,298.88,302.13,370.44,21.2,-,36.16,30.18,30.18,37.07,37.07
3,Cash Growth,-,735.64%,1127.39%,-29.74%,-,-2.47%,-,-,-,-
4,Accounts Receivable,277.66,283.43,298.15,256.17,-,255.88,-,250.76,269.31,269.31
5,Other Receivables,0.86,0.44,0.13,0.12,-,0.68,-,1.04,1.12,1.12
6,Receivables,278.51,283.87,298.27,256.29,-,256.56,-,251.8,270.43,270.43
7,Inventory,111.2,104.01,88.96,103.29,-,87.14,-,102.2,119.62,119.62
8,Prepaid Expenses,-,0.15,-,9.45,-,7.5,-,5.7,-,-
9,Other Current Assets,6.15,7.35,9.83,5.27,-,6.43,-,5.09,7.49,7.49
10,Total Current Assets,694.75,697.52,767.5,395.52,-,393.79,-,394.97,434.62,434.62
11,"Property, Plant & Equipment",312.16,302.11,251.48,252.9,-,244.27,-,238.42,199.48,199.48
12,Other Intangible Assets,27.79,28.02,28.25,28.45,-,28.78,-,28.82,28.71,28.71
13,Long-Term Deferred Tax Assets,0.44,0.48,0.54,0.54,-,3.27,-,3.67,4.37,4.37
14,Long-Term Deferred Charges,1.44,1.63,1.88,2.07,-,2.52,-,1.18,0.91,0.91
15,Other Long-Term Assets,4.74,4.84,4.49,4.5,-,1.01,-,2.1,3.04,3.04
16,Total Assets,1041,1035,1054,683.98,-,673.63,-,669.17,671.13,671.13
17,Accounts Payable,158.78,157.1,153.21,142.34,-,147.31,-,153.37,170.08,170.08
18,Accrued Expenses,3.87,11.39,4.42,11.27,-,23.47,-,16.23,7.91,7.91
19,Short-Term Debt,40.03,40.03,45.03,40.03,-,40.03,-,65.71,65.14,65.14
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,0.35,0.35
21,Current Portion of Leases,0.12,0.12,0.08,0.12,-,-,-,0.38,-,-
22,Current Income Taxes Payable,5.69,1.87,11.39,4.14,-,3.4,-,1.36,17.18,17.18
23,Current Unearned Revenue,9.39,4.67,4.96,4.31,-,5.22,-,12.76,4.15,4.15
24,Other Current Liabilities,0.92,1.67,0.86,0.5,-,0.91,-,0.82,21.72,21.72
25,Total Current Liabilities,218.78,216.82,219.94,202.71,-,220.34,-,250.62,286.53,286.53
26,Long-Term Leases,0.01,0.02,0.06,0.02,-,0.44,-,0.57,0.68,0.68
27,Long-Term Deferred Tax Liabilities,3.52,3.8,3.71,3.98,-,7.26,-,7.11,5.29,5.29
28,Other Long-Term Liabilities,1.49,1.65,1.07,1.32,-,1.9,-,2.11,2.18,2.18
29,Total Liabilities,223.8,222.29,224.78,208.03,-,229.93,-,260.41,294.68,294.68
30,Common Stock,57.08,57.08,57.08,42.81,-,42.81,-,42.81,42.81,42.81
31,Additional Paid-In Capital,489.07,488.6,488.36,157.01,-,156.08,-,155.15,154.34,154.34
32,Retained Earnings,271.2,266.44,283.77,275.98,-,244.65,-,210.62,179.13,179.13
33,Total Common Equity,817.36,812.13,829.21,475.8,-,443.54,408.58,408.58,376.28,376.28
34,Minority Interest,0.16,0.16,0.16,0.15,-,0.16,-,0.17,0.17,0.17
35,Shareholders' Equity,817.52,812.29,829.37,475.95,-,443.7,408.75,408.75,376.45,376.45
36,Total Liabilities & Equity,1041,1035,1054,683.98,-,673.63,-,669.17,671.13,671.13
37,Total Debt,40.15,40.16,45.16,40.16,-,40.47,66.65,66.65,66.17,66.17
38,Net Cash (Debt),258.73,261.97,325.27,-18.96,-,-4.31,-36.47,-36.47,-29.1,-29.1
39,Net Cash Per Share,4.53,4.41,7.20,-0.44,-,-0.10,-0.85,-0.85,-0.68,-0.68
40,Filing Date Shares Outstanding,57.08,57.08,57.08,57.08,42.81,42.81,42.82,42.81,42.81,42.81
41,Total Common Shares Outstanding,57.08,57.08,57.08,42.81,42.81,42.81,42.82,42.81,42.81,42.81
42,Working Capital,475.97,480.7,547.56,192.8,-,173.45,-,144.35,148.1,148.1
43,Book Value Per Share,14.32,14.23,14.53,11.11,-,10.36,9.54,9.54,8.79,8.79
44,Tangible Book Value,789.56,784.11,800.96,447.35,-,414.76,379.76,379.76,347.57,347.57
45,Tangible Book Value Per Share,13.83,13.74,14.03,10.45,-,9.69,8.87,8.87,8.12,8.12
46,Buildings,-,157.72,-,157.72,-,161.93,-,161.93,-,-
47,Machinery,-,140.02,-,136.35,-,131.56,-,124.9,-,-
48,Construction In Progress,-,74.22,-,17.65,-,2.88,-,10.72,-,-
