,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,96.8,165.33,110.02,-,102.01,156.82,107.53,100.29,126.1,126.1
1,Other Revenue,-2.71,2.71,-,-,-3.05,3.05,-,5.33,-,-
2,Revenue,94.09,168.04,110.02,104.28,98.96,159.87,107.53,105.62,126.1,126.1
3,Revenue Growth (YoY),-4.93%,5.11%,2.32%,-1.27%,-21.52%,26.78%,-,-,-,-
4,Cost of Revenue,74.78,139.31,86.93,-,73.2,120.28,83.49,79.5,94.56,94.56
5,Gross Profit,19.31,28.73,23.09,25.18,25.76,39.6,24.04,26.13,31.54,31.54
6,"Selling, General & Admin",11.01,7.33,11.5,-,7.19,7.17,6.06,5.22,6.56,6.56
7,Research & Development,4.95,6.44,3.59,-,4.71,6.38,4.03,5.21,5.72,5.72
8,Other Operating Expenses,-0.18,0.06,-0.47,-,-1.87,1.62,-1.03,1.28,0.2,0.2
9,Operating Expenses,15.73,17.87,13.96,-,4.94,20.77,7.9,10.73,12.48,12.48
10,Operating Income,3.58,10.87,9.13,-,20.82,18.83,16.14,15.39,19.06,19.06
11,Interest Expense,-0.27,-0.24,-0.3,-0.35,-0.15,-0.52,-0.34,-1.2,-,-
12,Interest & Investment Income,0.48,0.51,0.51,-,0.05,0.04,0.02,0.08,-,-
13,Currency Exchange Gain (Loss),-0.09,0.09,-,-,-0.08,0.08,-,0.07,-,-
14,Other Non Operating Income (Expenses),-0.26,0.24,-0.29,-,0.09,0.22,-0.2,-0.02,-0.04,-0.04
15,EBT Excluding Unusual Items,3.43,11.47,9.05,15.61,20.73,18.65,15.61,14.33,19.02,19.02
16,Gain (Loss) on Sale of Investments,1.54,1.51,-,-,-0,0,0,-0,0,0
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,0,-,0.02,-,-
18,Asset Writedown,-,-,-,-,-1.04,0.33,-0.33,1.05,-1.09,-1.09
19,Legal Settlements,-0.06,0.06,-,-,-0.21,0.21,-,-0.13,-,-
20,Other Unusual Items,-0.59,0.59,-,-,-3.68,3.68,-,1.79,-,-
21,Pretax Income,4.32,13.64,9.05,-,15.8,22.87,15.29,17.05,17.93,17.93
22,Income Tax Expense,-0.44,0.99,1.25,-,1.75,2.39,1.76,1.31,1.93,1.93
23,Earnings From Continuing Operations,4.76,12.65,7.8,15.66,14.05,20.48,13.53,15.74,16,16
24,Net Income to Company,4.76,12.65,7.8,-,14.05,20.48,13.53,15.74,16,16
25,Minority Interest in Earnings,0,-0,-0.01,-,0,0.01,0.01,-0,0.01,0.01
26,Net Income,4.76,12.65,7.79,15.66,14.06,20.49,13.54,15.74,16.01,16.01
27,Net Income to Common,4.76,12.65,7.79,-,14.06,20.49,13.54,15.74,16.01,16.01
28,Net Income Growth,-66.14%,-38.27%,-42.47%,-0.50%,-12.19%,28.00%,-,-,-,-
29,Shares Outstanding (Basic),57,59,45,43,43,43,43,43,43,43
30,Shares Outstanding (Diluted),57,59,45,43,43,43,43,43,43,43
31,Shares Change (YoY),33.40%,38.91%,5.52%,-0.00%,-0.01%,-0.02%,-,-,-,-
32,EPS (Basic),0.08,0.21,0.17,-,0.33,0.48,0.32,0.37,0.37,0.37
33,EPS (Diluted),0.08,0.21,0.17,0.37,0.33,0.48,0.32,0.37,0.37,0.37
34,EPS Growth,-74.62%,-55.56%,-45.48%,0.11%,-12.18%,28.02%,-,-,-,-
35,Free Cash Flow,-9.46,-34.51,-3.78,-0.42,-2.93,7.39,0.77,-15.43,-4,-4
36,Free Cash Flow Per Share,-0.17,-0.58,-0.08,-0.01,-0.07,0.17,0.02,-0.36,-0.09,-0.09
37,Gross Margin,20.53%,17.10%,20.99%,24.15%,26.03%,24.77%,22.36%,24.73%,25.01%,25.01%
38,Operating Margin,3.80%,6.47%,8.30%,-,21.04%,11.78%,15.01%,14.57%,15.11%,15.11%
39,Profit Margin,5.06%,7.53%,7.08%,-,14.20%,12.82%,12.59%,14.90%,12.69%,12.69%
40,Free Cash Flow Margin,-10.05%,-20.54%,-3.44%,-0.40%,-2.96%,4.62%,0.71%,-14.61%,-3.17%,-3.17%
41,EBITDA,8.9,16.43,14.46,21.22,24.95,24.01,20.27,19.38,23.33,23.33
42,EBITDA Margin,9.46%,9.77%,13.14%,20.35%,25.21%,15.02%,18.85%,18.35%,18.50%,18.50%
43,D&A For EBITDA,5.33,5.56,5.33,5.33,4.13,5.18,4.13,3.99,4.27,4.27
44,EBIT,3.58,10.87,9.13,15.89,20.82,18.83,16.14,15.39,19.06,19.06
45,EBIT Margin,3.80%,6.47%,8.30%,15.24%,21.04%,11.78%,15.01%,14.57%,15.11%,15.11%
46,Effective Tax Rate,-,7.26%,13.82%,-,11.07%,10.45%,11.48%,7.67%,10.75%,10.75%
47,Revenue as Reported,94.09,168.04,110.02,-,98.96,159.87,107.53,231.72,-,-
