,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2444,2653,2236,2371,-,-,-,-,-,-,-
1,Enterprise Value,2185,2391,1911,2375,-,-,-,-,-,-,-
2,Last Close Price,42.81,46.48,39.17,40.97,-,-,-,-,-,-,-
3,PE Ratio,51.55,105.31,64.83,56.00,-,-,-,-,-,-,-
4,PS Ratio,4.54,5.57,4.65,5.01,-,-,-,-,-,-,-
5,PB Ratio,2.99,3.25,2.75,2.86,-,-,-,-,-,-,-
6,P/TBV Ratio,3.36,3.36,2.85,2.96,-,-,-,-,-,-,-
7,P/OCF Ratio,64.72,71.64,53.05,53.24,-,-,-,-,-,-,-
8,EV/Sales Ratio,4.54,5.02,3.97,5.02,-,-,-,-,-,-,-
9,EV/EBITDA Ratio,37.76,39.20,24.80,28.06,-,-,-,-,-,-,-
10,EV/EBIT Ratio,66.99,60.59,33.70,36.73,-,-,-,-,-,-,-
11,Debt / Equity Ratio,0.05,0.05,0.05,0.05,0.08,-,0.09,0.16,0.16,0.18,0.18
12,Debt / EBITDA Ratio,0.69,1.13,0.61,0.78,0.47,-,0.42,0.82,0.86,0.71,0.71
13,Debt / FCF Ratio,-,-,-,-,-,-,-3.59,-2.94,-,-,-
14,Asset Turnover,0.36,0.64,-,0.61,-,-,-,0.63,0.75,-,
15,Inventory Turnover,-,2.78,5.78,-,-,-,-,-,2.87,3.16,-
16,Quick Ratio,2.64,2.64,2.70,3.04,1.37,-,1.33,-,1.13,1.07,1.07
17,Current Ratio,3.18,3.18,3.22,3.49,1.95,-,1.79,-,1.58,1.52,1.52
18,Return on Equity (ROE),2.33%,6.16%,-,13.16%,-,19.22%,-,16.04%,17.00%,-,
19,Return on Assets (ROA),0.86%,2.60%,-,5.81%,-,-,-,5.74%,7.10%,-,
20,Return on Capital (ROIC),1.05%,3.15%,-,8.01%,-,9.81%,-,8.38%,10.76%,-,
21,Return on Capital Employed (ROCE),3.97%,4.80%,6.93%,7.75%,14.89%,-,15.31%,-,12.78%,9.91%,4.96%
22,Earnings Yield,1.74%,1.54%,2.24%,2.45%,-,-,-,-,-,-,-
23,FCF Yield,-1.87%,-1.82%,-1.86%,0.01%,-,-,-,-,-,-,-
24,Payout Ratio,71.76%,0.05%,236.07%,3.82%,-,2.19%,1.63%,2.43%,66.03%,2.31%,2.31%
25,Buyback Yield / Dilution,-19.46%,-33.40%,-38.91%,-5.52%,0.00%,0.01%,0.02%,-,-,-,-
26,Total Shareholder Return,-18.23%,-33.40%,-38.91%,-5.52%,0.00%,0.01%,0.02%,-,-,-,-
