,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,-,92.11,-,107.64,21.17,89.14,145.51,77.57,145.98,157.93
1,Revenue Growth (YoY),-,-14.42%,-,20.75%,-85.45%,14.92%,-0.33%,-50.88%,-10.10%,-3.01%
2,Cost of Revenue,-,74.47,-,88.81,96.28,101.05,92.95,109.25,148.42,119.46
3,Gross Profit,-,17.64,-,18.83,-75.11,-11.91,52.56,-31.69,-2.44,38.47
4,"Selling, General & Admin",-,35.58,-,35.92,25.54,28.44,18.89,24.27,14.08,15.82
5,Other Operating Expenses,-,-2.21,-,-3.6,-2.44,-2.66,0.1,-1.1,-0.91,-0.02
6,Operating Expenses,-,33.36,-,32.32,27.67,25.78,22.72,23.17,13.17,15.8
7,Operating Income,-,-15.72,-,-13.5,-102.78,-37.68,29.84,-54.86,-15.61,22.67
8,Interest Expense,-,-0.89,-,-0.52,-0.05,-0.24,-,-0.41,-0.18,-0.13
9,Interest & Investment Income,-,0.1,-,0.15,0.37,0.01,0.25,0.19,1.07,1.83
10,Earnings From Equity Investments,-,-0.14,-,-,-,-,-,-,-,-
11,Other Non Operating Income (Expenses),-,-,-,-,0.93,-,-1.07,-,-,-
12,EBT Excluding Unusual Items,-,-16.65,-,-13.87,-101.52,-37.92,29.01,-55.09,-14.72,24.37
13,Gain (Loss) on Sale of Investments,-,-,-,0.69,-1.09,0.48,-0.57,0.18,0.09,-0.25
14,Gain (Loss) on Sale of Assets,-,0.01,-,-0.33,-,-,-0.02,-0.01,0,-
15,Asset Writedown,-,-,-,-,0.31,-,-,-,-,-
16,Legal Settlements,-,-,-,3.16,-,-,-,-,-,-
17,Other Unusual Items,-,-,-,0.07,0.65,-,0.05,1.04,1.08,0.1
18,Pretax Income,-,-16.64,-,-10.28,-101.65,-37.44,28.47,-53.33,-13.55,24.48
19,Income Tax Expense,-,0.04,-,0.01,-0.15,0.01,-0.93,-0.07,-2.35,3.09
20,Earnings From Continuing Operations,-,-16.67,-,-10.29,-101.5,-37.45,29.41,-53.26,-11.2,21.39
21,Minority Interest in Earnings,-,-0.21,-,-0.19,2.22,0.95,0.98,1.6,0.11,-
22,Net Income,-,-16.89,-,-10.48,-99.28,-36.51,30.39,-51.66,-11.09,21.39
23,Net Income to Common,-,-16.89,-,-10.48,-99.28,-36.51,30.39,-51.66,-11.09,21.39
24,Shares Outstanding (Basic),-,800,-,800,800,800,800,800,800,800
25,Shares Outstanding (Diluted),-,800,-,800,800,800,800,800,800,800
26,Shares Change (YoY),-,-,-,-,-,-,-,-,-3.15%,5.60%
27,EPS (Basic),-,-0.02,-,-0.01,-0.12,-0.05,0.04,-0.06,-0.01,0.03
28,EPS (Diluted),-,-0.02,-,-0.01,-0.12,-0.05,0.04,-0.06,-0.01,0.03
29,Free Cash Flow,-,9.19,-,-40.39,-21.35,-27.45,-10,-17.74,5.28,-36.57
30,Free Cash Flow Per Share,-,0.01,-,-0.05,-0.03,-0.03,-0.01,-0.02,0.01,-0.05
31,Operating Margin,-,-17.07%,-,-12.54%,-485.46%,-42.27%,20.51%,-70.72%,-10.69%,14.35%
32,Profit Margin,-,-18.33%,-,-9.74%,-468.95%,-40.95%,20.88%,-66.60%,-7.60%,13.54%
33,Free Cash Flow Margin,-,9.98%,-,-37.53%,-100.84%,-30.80%,-6.87%,-22.87%,3.61%,-23.15%
34,EBITDA,-,-14.29,-,-12,-101.25,-36.55,30.85,-54.23,-15.57,23.8
35,D&A For EBITDA,1.06,1.44,1.23,1.5,1.53,1.13,1.01,0.63,0.04,1.13
36,EBIT,-,-15.72,-,-13.5,-102.78,-37.68,29.84,-54.86,-15.61,22.67
