,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,47,37,440,768,1032,1256,1584,1032,1144,864,1088
1,Market Cap Growth,-96.91%,-95.21%,-57.36%,-38.85%,-34.85%,21.71%,38.46%,19.44%,5.15%,-63.39%,-6.85%
2,Enterprise Value,18,40,447,764,979,1173,1475,927,1004,729,917
3,Last Close Price,0.06,0.05,0.55,0.96,1.29,1.57,1.98,1.29,1.43,1.08,1.36
4,PE Ratio,-,-,-,-,-,-,-,-48.51,-,-,96.57
5,PS Ratio,0.33,-,4.78,-,8.01,11.39,6.75,4.63,5.12,2.84,3.40
6,PB Ratio,1.36,1.06,16.70,17.79,33.32,30.10,11.16,5.75,7.62,4.25,5.07
7,P/TBV Ratio,1.06,1.06,19.60,19.44,34.55,30.74,10.88,5.66,7.53,4.24,5.07
8,P/FCF Ratio,1.18,-,47.88,-,-,-,-,-,-,-27.61,-
9,P/OCF Ratio,0.90,-,43.99,-,-,-,-,-,-,-27.88,-
10,EV/Sales Ratio,0.12,-,4.85,-,7.60,10.63,6.28,4.15,4.49,2.40,2.86
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-39.63,-,-,70.12
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-37.04,-,-,83.99
13,EV/FCF Ratio,0.44,-,48.60,-,-,-,-,-,-,-23.31,-
14,Debt / Equity Ratio,0.08,0.08,1.32,1.17,1.82,0.15,0.02,0.02,0.13,0.04,0.04
15,Debt / FCF Ratio,0.07,-,3.78,-,-,-,-,-,-,-0.24,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-13.93%,-,-,5.00%
17,Earnings Yield,-21.33%,-,-3.84%,-,-10.64%,-10.81%,-0.39%,-2.06%,-5.49%,1.19%,1.04%
18,FCF Yield,84.99%,-,2.09%,-,-5.98%,-3.89%,-2.36%,-2.69%,-1.09%,-3.62%,-3.02%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,3.15%,-5.60%,
20,Total Shareholder Return,-,-,-,-,-,-,-,-,3.15%,-5.60%,
