,Fiscal Quarter,Current,H1 2019,H1 2018,H2 2017,H1 2017,H2 2016,H1 2016,H2 2015,H1 2015,H2 2014,H1 2014,+1 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Jun '19 Jun 30, 2019","Jun '18 Jun 30, 2018","Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Dec '15 Dec 31, 2015","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014","Jun '14 Jun 30, 2014",+1 Quarters
0,Market Capitalization,1979080,966277,933997,857996,733521,302711,396498,533747,609997,648125,404997,Upgrade
1,Market Cap Growth,27.33%,12.62%,27.33%,183.44%,85.00%,-43.29%,-35.00%,-17.65%,50.62%,82.28%,15.71%,Upgrade
2,Enterprise Value,722542,1402531,722542,1005633,849836,723824,817611,913544,1025742,1158743,930243,Upgrade
3,Last Close Price,10400.00,4683.84,4114.65,4845.94,3971.94,1639.15,2146.99,2890.18,3303.07,3509.51,2972.76,Upgrade
4,PE Ratio,15.14,6.98,11.23,11.57,8.50,4.91,76.34,-,31.56,-,-1.74,Upgrade
5,Forward PE,11.94,11.11,6.02,6.02,6.02,6.02,6.26,-,-,-,-,Upgrade
6,PS Ratio,0.69,0.51,0.51,0.57,0.57,0.27,0.55,0.52,0.42,0.51,0.63,Upgrade
7,PB Ratio,1.09,0.61,0.66,0.76,0.65,0.28,-,0.54,0.60,0.66,0.47,Upgrade
8,P/TBV Ratio,0.70,0.66,0.70,0.81,0.68,0.30,-,0.55,0.64,0.70,0.53,Upgrade
9,P/FCF Ratio,237.55,-,-,3.26,-,10.70,-,-,-56.86,-,-5.49,Upgrade
10,P/OCF Ratio,5.11,-,-,2.10,-,3.38,-,-,21.49,-,38.65,Upgrade
11,EV/Sales Ratio,0.40,0.73,0.40,0.66,0.66,0.65,1.13,0.90,0.70,0.91,1.46,Upgrade
12,EV/EBITDA Ratio,5.99,4.85,5.99,8.50,5.45,7.63,-562.83,-,12.32,18.67,32.82,Upgrade
13,EV/EBIT Ratio,8.91,5.97,8.91,11.44,6.48,9.86,-31.09,-,19.10,-,245.35,Upgrade
14,EV/FCF Ratio,86.73,-,-,3.82,-,25.59,-,-,-95.61,-,-12.60,Upgrade
15,Debt / Equity Ratio,0.52,0.60,0.52,0.38,0.34,0.29,-,0.45,0.37,0.41,0.54,Upgrade
16,Debt / FCF Ratio,88.74,-,-,1.64,-,11.09,-,-,-34.55,-,-6.30,Upgrade
17,Return on Capital Employed (ROCE),5.22%,12.94%,5.22%,7.06%,10.93%,6.45%,-,-,5.00%,-,0.40%,Upgrade
18,Earnings Yield,4.20%,15.84%,9.61%,9.10%,12.78%,22.76%,1.81%,2.82%,3.17%,0.72%,-57.42%,Upgrade
19,FCF Yield,0.42%,-83.82%,0.89%,30.66%,-16.31%,9.34%,-74.08%,-25.93%,-1.76%,-0.01%,-18.22%,Upgrade
20,Buyback Yield / Dilution,-13.66%,-29.91%,-26.37%,-0.96%,-,0.09%,-0.09%,19.65%,-35.71%,-70.68%,-1.04%,Upgrade
21,Total Shareholder Return,-9.12%,-29.91%,-26.37%,-0.96%,-,0.09%,-0.09%,19.65%,-35.71%,-70.68%,-1.04%,Upgrade
