,Fiscal Quarter,H1 2019,H1 2018,H2 2017,H1 2017,H2 2016,H1 2016,H2 2015,H1 2015,H2 2014,H1 2014,+1 Quarters
,Period Ending,"Jun '19 Jun 30, 2019","Jun '18 Jun 30, 2018","Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Dec '15 Dec 31, 2015","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014","Jun '14 Jun 30, 2014",+1 Quarters
0,Cash & Equivalents,97930,290837,564028,160597,226732,-,22840,28867,30549,9815,Upgrade
1,Short-Term Investments,30660,77000,126742,105529,3010,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,128590,367837,690770,266126,229742,-,22840,28867,30549,9815,Upgrade
3,Cash Growth,-81.38%,38.22%,200.67%,-,905.86%,-,-25.23%,194.10%,46.10%,-58.13%,Upgrade
4,Accounts Receivable,1169117,694555,572113,504932,615162,-,639330,487371,276676,265673,Upgrade
5,Other Receivables,162947,416782,135659,51189,12793,-,115164,218581,57486,320773,Upgrade
6,Receivables,1347300,1122674,716909,564257,635091,-,759438,705951,340006,586446,Upgrade
7,Inventory,657697,843814,538976,459544,569469,-,355207,376283,405001,358129,Upgrade
8,Prepaid Expenses,16733,15256,11678,13524,33413,-,11231,10120,14012,13779,Upgrade
9,Other Current Assets,760927,359005,661155,548051,407736,-,326725,156108,332180,153549,Upgrade
10,Total Current Assets,2911246,2708585,2619488,1851503,1875452,-,1475442,1277329,1121748,1121719,Upgrade
11,"Property, Plant & Equipment",526255,395682,324951,224878,234957,-,160679,175839,170883,342937,Upgrade
12,Long-Term Investments,718177,808602,600268,470466,479390,-,490572,449320,463988,391892,Upgrade
13,Goodwill,11127,11955,12661,14128,18295,-,7040,8300,9560,10820,Upgrade
14,Other Intangible Assets,2386,3075,3674,4283,4882,-,7062,7671,8270,30137,Upgrade
15,Long-Term Deferred Tax Assets,8777,-,2514,-,-,-,-,-,-,-,Upgrade
16,Other Long-Term Assets,7703,2519,748.09,261.14,238.5,-,2886,3750,8062,17088,Upgrade
17,Total Assets,4185671,3930417,3564304,2565519,2613214,-,2262506,1998413,1846570,1914592,Upgrade
18,Accounts Payable,800079,497986,582984,340717,416564,-,336215,165961,233984,172961,Upgrade
19,Accrued Expenses,55152,114987,20100,64490,50802,-,30516,144561,44664,90163,Upgrade
20,Short-Term Debt,732973,607520,289566,280051,253822,-,347646,322562,367378,377952,Upgrade
21,Current Portion of Long-Term Debt,61220,-,26073,30426,15170,-,82511,-,4036,-,Upgrade
22,Current Portion of Leases,9857,-,1339,-,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,43923,-,14635,6344,16381,-,6028,6094,6094,47863,Upgrade
24,Current Unearned Revenue,157367,-,737991,-,100000,-,-,15536,-,-,Upgrade
25,Other Current Liabilities,509726,1156923,645981,643933,622560,-,423263,270415,158803,270638,Upgrade
26,Total Current Liabilities,2370297,2377415,2318669,1365961,1475299,-,1226179,925130,814957,959576,Upgrade
27,Long-Term Debt,107693,131835,111671,74042,44529,-,9887,48050,36899,87059,Upgrade
28,Long-Term Leases,33543,-,3905,-,-,-,-,-,-,-,Upgrade
29,Long-Term Unearned Revenue,-,-,-,-,8818,-,43056,7877,5242,3708,Upgrade
30,Long-Term Deferred Tax Liabilities,-,1897,-,3029,6586,-,-,2970,2970,1379,Upgrade
31,Other Long-Term Liabilities,98366,1559,2248,2248,2347,-,2356,2504,2572,2477,Upgrade
32,Total Liabilities,2609900,2512706,2436492,1445279,1537580,-,1281479,986531,862639,1054199,Upgrade
33,Common Stock,1000000,1000000,780000,762500,762500,-,762500,762500,762500,562500,Upgrade
34,Additional Paid-In Capital,93687,93687,93687,93687,93687,-,93687,74899,338289,390909,Upgrade
35,Retained Earnings,393734,259291,207368,234814,189925,-,120936,136436,-154835,-146283,Upgrade
36,Treasury Stock,-18771,-3.38,-3.38,-3.39,-3.39,-,-3.39,-3.39,-3.39,-3.39,Upgrade
37,Total Common Equity,1468649,1352974,1081051,1090997,1046108,-,977118,973831,945949,807122,Upgrade
38,Minority Interest,107122,64737,46761,29244,29526,-,3909,38051,37981,53271,Upgrade
39,Shareholders' Equity,1575771,1417711,1127812,1120240,1075634,-,981027,1011882,983931,860393,Upgrade
40,Total Liabilities & Equity,4185671,3930417,3564304,2565519,2613214,-,2262506,1998413,1846570,1914592,Upgrade
41,Total Debt,945286,739355,432554,384519,313521,-,440045,370612,408312,465011,Upgrade
42,Net Cash (Debt),-816696,-371518,258216,-118393,-83778,-,-417204,-341746,-377763,-455196,Upgrade
43,Net Cash Per Share,-5845.72,-2759.88,2400.99,-1111.39,-786.45,-,-3912.77,-3211.04,-2846.81,-5804.49,Upgrade
44,Filing Date Shares Outstanding,136.91,141.73,108.97,106.53,106.53,106.53,106.53,106.53,106.53,78.47,Upgrade
45,Total Common Shares Outstanding,136.91,141.73,108.97,106.53,106.53,106.53,106.53,106.53,106.53,78.47,Upgrade
46,Working Capital,540948,331169,300819,485542,400153,-,249262,352200,306791,162143,Upgrade
47,Book Value Per Share,10726.79,9546.21,9920.41,10241.46,9820.08,-,9172.46,9141.60,8879.87,10292.14,Upgrade
48,Tangible Book Value,1455136,1337945,1064716,1072585,1022931,-,963016,957860,928119,766165,Upgrade
49,Tangible Book Value Per Share,10628.09,9440.17,9770.51,10068.63,9602.52,-,9040.08,8991.67,8712.49,9769.87,Upgrade
50,Buildings,15798,-,-,-,-,-,685.2,11075,11075,-,Upgrade
51,Machinery,463940,-,290453,204634,157055,-,409651,432300,418494,-,Upgrade
52,Construction In Progress,135127,72902,95154,72732,121679,-,73894,89161,88762,246659,Upgrade
