,Fiscal Quarter,H1 2019,H1 2018,H2 2017,H1 2017,H2 2016,H1 2016,H2 2015,H1 2015,H2 2014,H1 2014,+1 Quarters
,Period Ending,"Jun '19 Jun 30, 2019","Jun '18 Jun 30, 2018","Dec '17 Dec 31, 2017","Jun '17 Jun 30, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Dec '15 Dec 31, 2015","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014","Jun '14 Jun 30, 2014",+1 Quarters
0,Revenue,1103624,807723,1011940,502926,783045,336055,388270,632105,832984,436190,Upgrade
1,Revenue Growth (YoY),9.06%,60.60%,29.23%,49.66%,101.68%,-46.84%,-53.39%,44.92%,311.10%,429.96%,Upgrade
2,Cost of Revenue,866058,715424,946966,402324,667166,316414,401805,549445,797408,372253,Upgrade
3,Gross Profit,237566,92299,64973,100602,115879,19641,-13535,82660,35577,63937,Upgrade
4,"Selling, General & Admin",57224,37643,38512,39175,46243,15874,16532,24305,40241,26734,Upgrade
5,Operating Expenses,57224,37643,38512,39175,46243,15874,16532,24305,40241,26734,Upgrade
6,Operating Income,180342,54657,26461,61427,69636,3768,-30067,58356,-4664,37202,Upgrade
7,Interest Expense,-39361,-21235,-18362,-16840,-16381,-17228,-17647,-18995,-24186,-28603,Upgrade
8,Interest & Investment Income,2867,5494,3000,3078,5397,5038,39810,2591,4207,4555,Upgrade
9,Earnings From Equity Investments,-9464,341.33,9521,-27.33,1755,840.66,895.47,-12669,-3.94,-96.73,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-47.56,47.56,Upgrade
11,Other Non Operating Income (Expenses),-5499,-1015,1783,1126,-14874,-706.93,-4914,-1332,-980.37,1415,Upgrade
12,EBT Excluding Unusual Items,128885,38242,22403,48764,45532,-8289,-11923,27951,-25676,14520,Upgrade
13,Gain (Loss) on Sale of Investments,5739,23856,23525,7850,9532,-,-4803,-,2442,-3829,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-1551,-1070,-83.14,28295,975.2,-,983.34,-,Upgrade
15,Other Unusual Items,1807,1764,-,-,-,-,-,-,-,-,Upgrade
16,Pretax Income,136432,63861,44377,55544,54981,20006,-15751,27951,-22250,10691,Upgrade
17,Income Tax Expense,38168,6779,8686,5938,3354,-,-2970,-,1591,-1491,Upgrade
18,Earnings From Continuing Operations,98264,57082,35690,49606,51626,20006,-12781,27951,-23842,12182,Upgrade
19,Minority Interest in Earnings,-1792,-475.57,-2518,-4717,-2734,-,-30.07,-69.85,15289,1065,Upgrade
20,Net Income,96473,56607,33173,44888,48892,20006,-12811,27881,-8552,13247,Upgrade
21,Preferred Dividends & Other Adjustments,9647,4937,1659,2244,5243,2001,-,-,-,-,Upgrade
22,Net Income to Common,86825,51670,31514,42644,43649,18005,-12811,27881,-8552,13247,Upgrade
23,Net Income Growth,190.82%,26.11%,-32.15%,124.37%,-,-28.25%,-,110.47%,-,-,Upgrade
24,Shares Outstanding (Basic),140,135,108,107,107,107,107,106,133,78,Upgrade
25,Shares Outstanding (Diluted),140,135,108,107,107,107,107,106,133,78,Upgrade
26,Shares Change (YoY),29.91%,26.37%,0.96%,-,-0.09%,0.09%,-19.65%,35.71%,70.68%,1.04%,Upgrade
27,EPS (Basic),621.48,383.83,293.03,400.31,409.74,169.02,-120.15,261.97,-64.45,168.92,Upgrade
28,EPS (Diluted),621.29,383.66,293.03,400.12,409.74,168.92,-120.15,261.97,-64.53,168.92,Upgrade
29,EPS Growth,112.02%,-4.11%,-28.48%,136.86%,-,-35.52%,-,55.08%,-,-,Upgrade
30,Free Cash Flow,-294549,-515387,523718,-260619,140984,-112702,-181037,42653,-53382,53346,Upgrade
31,Free Cash Flow Per Share,-2108.31,-3828.63,4869.73,-2446.50,1323.45,-1057.97,-1697.86,400.77,-402.28,680.25,Upgrade
32,Operating Margin,16.34%,6.77%,2.61%,12.21%,8.89%,1.12%,-7.74%,9.23%,-0.56%,8.53%,Upgrade
33,Profit Margin,7.87%,6.40%,3.11%,8.48%,5.57%,5.36%,-3.30%,4.41%,-1.03%,3.04%,Upgrade
34,Free Cash Flow Margin,-26.69%,-63.81%,51.75%,-51.82%,18.00%,-33.54%,-46.63%,6.75%,-6.41%,12.23%,Upgrade
35,EBITDA,212618,76801,43725,74582,81338,13565,-15017,71674,11599,50477,Upgrade
36,D&A For EBITDA,32275,22145,17264,13155,11702,9797,15050,13318,16264,13275,Upgrade
37,EBIT,180342,54657,26461,61427,69636,3768,-30067,58356,-4664,37202,Upgrade
38,Revenue as Reported,-,-,-,-,-,-,-,632105,-,436190,Upgrade
