,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1949,2322,2893,2652,2191,2195,2100,1675,1270,819,1065,Upgrade
1,Market Cap Growth,-12.44%,-12.44%,32.05%,20.83%,4.34%,31.07%,65.35%,104.37%,19.23%,-9.91%,4.00%,Upgrade
2,Enterprise Value,6240,6732,8012,8367,7800,7314,6952,6245,6365,5409,6327,Upgrade
3,Last Close Price,1.83,2.18,2.72,2.74,2.15,2.15,2.16,1.72,1.44,0.93,1.21,Upgrade
4,PE Ratio,4.51,5.54,6.68,10.41,9.42,4.83,3.07,2.24,2.15,1.72,2.72,Upgrade
5,PS Ratio,0.22,0.27,0.31,0.26,0.20,0.22,0.21,0.18,0.16,0.12,0.15,Upgrade
6,PB Ratio,0.38,0.42,0.53,0.54,0.44,0.43,0.42,0.36,0.31,0.24,0.33,Upgrade
7,P/TBV Ratio,0.46,0.46,0.58,0.59,0.48,0.47,0.46,0.39,0.35,0.27,0.37,Upgrade
8,P/FCF Ratio,4.27,-,2.94,5.87,-,-,-,2.48,3.73,-,1.23,Upgrade
9,P/OCF Ratio,2.26,2.26,1.87,2.54,3.55,2.91,1.60,1.05,1.14,0.82,0.65,Upgrade
10,EV/Sales Ratio,0.72,0.77,0.87,0.83,0.72,0.73,0.71,0.68,0.80,0.81,0.90,Upgrade
11,EV/EBITDA Ratio,6.97,8.40,9.31,11.63,11.25,8.49,5.99,4.79,5.73,5.71,7.45,Upgrade
12,EV/EBIT Ratio,14.38,16.18,16.20,25.04,22.59,13.84,8.35,6.27,7.60,7.00,9.77,Upgrade
13,EV/FCF Ratio,13.67,-,8.14,18.51,-,-,-,9.25,18.70,-,7.30,Upgrade
14,Debt / Equity Ratio,0.95,0.95,1.05,1.15,1.26,1.19,1.16,1.22,1.21,1.64,1.56,Upgrade
15,Debt / FCF Ratio,11.61,-,5.82,12.54,-,-,-,8.41,14.52,-,5.86,Upgrade
16,Return on Capital Employed (ROCE),5.67%,5.67%,6.97%,5.22%,4.99%,7.85%,13.18%,16.97%,16.81%,18.82%,18.02%,Upgrade
17,Earnings Yield,21.50%,18.05%,14.98%,9.60%,10.61%,20.71%,32.54%,44.72%,46.54%,58.05%,36.76%,Upgrade
18,FCF Yield,23.41%,19.65%,34.02%,17.04%,-5.77%,-9.05%,6.57%,40.30%,26.80%,35.25%,81.34%,Upgrade
19,Buyback Yield / Dilution,-2.70%,-7.27%,1.74%,1.50%,-12.73%,-18.63%,-10.53%,-3.70%,-,-,-,Upgrade
20,Total Shareholder Return,-2.70%,-7.27%,1.74%,1.50%,-12.73%,-18.63%,-10.53%,-3.70%,-,-,-,Upgrade
