,Fiscal Quarter,Current,Q2 2017,Q1 2017,Q2 2016,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,+11 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011",+11 Quarters
0,Market Capitalization,2395115,526579,507255,512949,561544,467931,428336,263957,247460,207957,145570,168965,122175,109178,137772,106578,155968,127374,142971,179363,120297,Upgrade
1,Market Cap Growth,56.22%,12.53%,18.42%,94.33%,126.92%,125.01%,194.25%,56.22%,102.55%,90.48%,5.66%,58.54%,-21.67%,-14.29%,-3.64%,-40.58%,29.65%,-45.27%,-47.77%,-59.49%,-62.87%,Upgrade
2,Enterprise Value,986879,1370748,1351424,1357118,1405714,1305926,1250757,986879,992549,968244,806223,836700,893860,863935,978749,856893,1093817,1027635,1045837,1019499,1035683,Upgrade
3,Last Close Price,14800.00,4115.96,3964.91,3865.79,4232.02,5290.02,4557.89,3064.13,2872.62,2852.28,1971.30,2288.11,1654.48,1387.95,1751.47,1354.91,1982.79,1619.28,1635.80,2052.19,1368.13,Upgrade
4,PE Ratio,12.42,4.93,4.85,4.82,6.01,6.02,5.94,4.94,6.92,6.50,10.30,41.99,30.89,-,-,7.56,13.94,-20.18,-24.39,-,-,Upgrade
5,PS Ratio,0.32,0.18,0.20,0.23,0.27,0.22,0.21,0.13,0.12,0.11,0.08,0.10,0.07,0.06,0.07,0.05,0.07,0.06,0.07,0.09,0.06,Upgrade
6,PB Ratio,1.83,0.61,-,-,-,0.94,0.87,0.56,0.56,0.48,0.38,0.45,0.32,0.25,0.32,0.25,0.36,0.31,0.34,0.43,0.28,Upgrade
7,P/TBV Ratio,0.67,0.63,-,-,-,1.08,1.01,0.67,0.67,0.58,0.48,0.57,0.42,0.42,0.53,0.41,0.61,0.53,0.57,0.72,0.49,Upgrade
8,P/FCF Ratio,-,-,-,27.23,-4.88,-4.62,-3.42,-,-2.96,-,-,2.33,-7.87,-,1.36,-,2.02,-,-214.19,-,-0.44,Upgrade
9,P/OCF Ratio,-,-,-,3.58,9.26,6.24,10.96,-,-31.66,18.29,-,1.69,4.78,-,0.81,-,1.04,-,3.63,-,-0.60,Upgrade
10,EV/Sales Ratio,0.48,0.47,0.54,0.60,0.67,0.60,0.60,0.48,0.50,0.51,0.44,0.49,0.49,0.44,0.48,0.40,0.51,0.49,0.49,0.49,0.53,Upgrade
11,EV/EBITDA Ratio,5.60,4.05,4.54,5.20,5.93,6.07,6.14,5.60,6.48,6.31,5.92,6.40,6.31,6.02,6.17,5.04,6.56,6.00,6.30,5.70,5.37,Upgrade
12,EV/EBIT Ratio,7.46,6.76,6.62,6.71,7.73,7.94,8.19,7.46,8.96,8.49,8.57,9.19,9.03,8.72,8.27,6.63,8.38,7.45,7.80,6.87,6.31,Upgrade
13,EV/FCF Ratio,-,-,-,72.04,-12.20,-12.89,-10.00,-,-11.85,-,-,11.54,-57.55,-,9.64,-,14.14,-,-1566.85,-,-3.78,Upgrade
14,Debt / Equity Ratio,1.87,1.85,-,-,-,1.93,1.78,1.87,1.92,1.94,2.11,1.91,1.91,1.86,1.83,2.18,2.04,2.26,2.10,2.12,2.03,Upgrade
15,Debt / EBITDA Ratio,4.96,4.03,-,-,-,4.11,3.35,4.40,5.10,4.47,5.42,6.80,4.27,6.66,6.11,6.27,4.95,5.13,5.11,6.56,4.41,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-9.51,-6.98,-,-10.18,-,-,9.93,-46.39,-,7.73,-,11.27,-,-1334.02,-,-3.13,Upgrade
17,Asset Turnover,-,-,-,-,1.27,1.36,1.04,1.42,1.24,1.47,1.02,1.34,1.08,1.04,1.21,1.58,1.24,1.41,1.32,1.61,Upgrade,
18,Inventory Turnover,2.83,-,-,-,-,2.87,3.03,2.30,3.20,2.69,3.31,2.22,3.06,2.82,3.09,4.27,5.36,3.92,4.91,4.92,5.12,Upgrade
19,Quick Ratio,0.38,0.35,-,-,-,0.42,0.46,0.38,0.42,0.39,0.33,0.37,0.33,0.38,0.33,0.48,0.53,0.36,0.40,0.39,0.46,Upgrade
20,Current Ratio,1.12,1.24,-,-,-,1.12,1.11,1.12,1.09,1.11,1.07,1.05,1.06,1.06,1.06,1.05,1.04,1.03,1.07,0.99,0.97,Upgrade
21,Return on Equity (ROE),-,-,-,-,16.16%,21.86%,16.25%,7.81%,13.56%,9.30%,1.50%,5.83%,-1.43%,0.42%,2.20%,9.76%,2.15%,2.62%,-2.36%,-7.73%,Upgrade,
22,Return on Assets (ROA),-,-,-,-,6.82%,7.03%,5.64%,4.62%,5.91%,4.55%,2.77%,5.79%,2.73%,3.75%,3.72%,5.16%,5.69%,5.92%,4.36%,6.89%,Upgrade,
23,Return on Capital (ROIC),-,-,-,-,8.57%,8.80%,7.17%,5.92%,7.40%,5.92%,3.71%,7.28%,3.43%,4.68%,4.55%,6.42%,6.81%,6.67%,4.90%,7.86%,Upgrade,
24,Return on Capital Employed (ROCE),19.52%,17.44%,-,-,-,23.03%,22.20%,19.52%,18.25%,18.46%,17.18%,17.13%,18.85%,16.12%,19.25%,21.03%,21.80%,20.79%,20.31%,25.32%,29.38%,Upgrade
25,Earnings Yield,2.23%,20.28%,20.62%,20.73%,16.63%,16.60%,16.84%,20.25%,14.45%,15.39%,9.71%,2.38%,3.24%,6.87%,8.50%,13.22%,7.17%,-4.95%,-4.10%,0.44%,12.05%,Upgrade
26,FCF Yield,-8.90%,-103.19%,-51.67%,3.67%,-20.51%,-21.65%,-29.21%,-80.75%,-33.84%,-28.17%,-43.78%,42.90%,-12.71%,111.73%,73.69%,53.03%,49.60%,-12.95%,-0.47%,-89.44%,-227.99%,Upgrade
27,Dividend Yield,6.23%,7.79%,2.70%,-,-,-,-,-,-,-,9.69%,-,-,-,-,-,-,-,-,-,-,Upgrade
28,Payout Ratio,18.52%,40.89%,35.23%,-,-,52.16%,-,51.64%,-,-,-,-,134.74%,-,-,-,139.29%,-,-,-,-,Upgrade
29,Buyback Yield / Dilution,-9.84%,-57.52%,-57.53%,-69.09%,-46.11%,-3.89%,-31.86%,-9.68%,-26.93%,-26.93%,-,-0.01%,-0.66%,-1.01%,2.44%,-4.54%,-4.37%,1.69%,27.08%,-57.08%,-21.18%,Upgrade
30,Total Shareholder Return,-9.84%,-49.72%,-54.83%,-69.09%,-46.11%,-3.89%,-31.86%,-9.68%,-26.93%,-26.93%,9.69%,-0.01%,-0.66%,-1.01%,2.44%,-4.54%,-4.37%,1.69%,27.08%,-57.08%,-21.18%,Upgrade
