,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,80.03,69.84,48.55,41.04,38.79,56.16,85.24,59.99,63.56,54.94
1,Short-Term Investments,18.83,7.44,23.83,10.16,58.2,41.35,25.68,51.27,66.98,67.08
2,Cash & Short-Term Investments,98.86,77.28,72.38,51.2,97,97.5,110.91,111.26,130.54,122.01
3,Cash Growth,36.58%,50.94%,-25.38%,-47.48%,-12.55%,-12.36%,-15.03%,-8.82%,-4.61%,-4.07%
4,Accounts Receivable,21.62,21.16,24.28,16.77,8.14,7.31,9.41,11.11,5.7,7.23
5,Other Receivables,0.62,0.75,1.11,1.33,2.3,2.41,2.74,2.48,5.64,6.04
6,Receivables,22.24,21.91,25.39,18.11,10.44,9.73,12.15,13.59,11.35,13.27
7,Inventory,25.15,22.89,21.63,17.81,20.2,15.1,15.97,14.45,17.6,17
8,Prepaid Expenses,-,-,-,0.92,-,1.01,-,-,-,-
9,Other Current Assets,-,7.06,-,7.97,-,7.51,-,-,-,-
10,Total Current Assets,146.25,129.15,119.4,96.01,127.63,130.84,139.03,139.29,159.48,152.28
11,"Property, Plant & Equipment",74.21,77.04,77.85,76.94,43.06,41.3,36.91,38.42,45.52,50.38
12,Long-Term Investments,2.83,1.89,2.12,1.74,2.92,3.45,4.22,5.51,6.69,7.19
13,Long-Term Deferred Tax Assets,0.88,0.84,0.85,3.9,4.15,3.8,1.17,1.1,0.78,0.71
14,Other Long-Term Assets,9.91,9.9,9.87,10.83,16.69,18.67,20.17,17.85,4.43,4.12
15,Total Assets,234.08,218.81,210.08,189.41,194.45,198.07,201.5,202.17,216.9,214.69
16,Accounts Payable,4.52,1.82,5.87,2.55,4.18,3.48,4.12,1.7,1.53,1.51
17,Accrued Expenses,8.34,10.38,6.87,8.03,7.12,7.78,6.87,6.66,10.75,6.94
18,Short-Term Debt,2.28,2.49,2.69,2.9,-,-,-,-,-,-
19,Current Portion of Leases,11.2,10.27,9.69,9.07,10.76,10.58,9.97,10.86,12.2,12.97
20,Current Income Taxes Payable,6.07,4.77,2.21,1.38,0.83,1.02,0.77,0.97,1.05,1.67
21,Current Unearned Revenue,-,-,-,-,-,1.14,1.13,0.82,0.59,0.43
22,Other Current Liabilities,18.06,1.9,10.59,2.21,7.93,1.51,8.17,1.25,7.96,0.34
23,Total Current Liabilities,50.46,31.63,37.92,26.14,30.81,25.51,31.04,22.27,34.09,23.87
24,Long-Term Leases,4.85,8.03,8.28,6.67,7.04,5.29,3.12,3.26,5.96,8.78
25,Other Long-Term Liabilities,1.12,0.94,1.08,0.54,0.91,0.7,0.27,0.42,0.48,0.38
26,Total Liabilities,56.43,40.6,47.28,33.35,38.76,31.51,34.42,25.94,40.53,33.02
27,Common Stock,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62,7.62
28,Additional Paid-In Capital,91.29,91.29,91.29,91.29,91.29,91.29,91.29,91.29,91.29,91.29
29,Retained Earnings,83.02,85.02,69.52,61.97,61.11,69.09,69.72,77.55,76.52,81.33
30,Comprehensive Income & Other,-4.27,-5.72,-5.63,-4.82,-4.33,-1.43,-1.55,-0.23,0.94,1.43
31,Shareholders' Equity,177.66,178.21,162.8,156.06,155.69,166.57,167.08,176.23,176.37,181.67
32,Total Liabilities & Equity,234.08,218.81,210.08,189.41,194.45,198.07,201.5,202.17,216.9,214.69
33,Total Debt,18.33,20.79,20.66,18.64,17.8,15.87,13.09,14.11,18.16,21.75
34,Net Cash (Debt),80.53,56.49,51.72,32.57,79.2,81.63,97.82,97.14,112.37,100.26
35,Net Cash Growth,55.71%,73.47%,-34.70%,-60.11%,-19.04%,-15.97%,-12.95%,-3.11%,0.59%,-21.17%
36,Net Cash Per Share,0.11,0.07,0.07,0.04,0.10,0.11,0.13,0.13,0.15,0.13
37,Filing Date Shares Outstanding,762,762,762,762,762,762,762,762,762,762
38,Total Common Shares Outstanding,762,762,762,762,762,762,762,762,762,762
39,Working Capital,95.79,97.52,81.48,69.87,96.82,105.32,107.99,117.02,125.39,128.42
40,Book Value Per Share,0.23,0.23,0.21,0.20,0.20,0.22,0.22,0.23,0.23,0.24
41,Tangible Book Value,177.66,178.21,162.8,156.06,155.69,166.57,167.08,176.23,176.37,181.67
42,Tangible Book Value Per Share,0.23,0.23,0.21,0.20,0.20,0.22,0.22,0.23,0.23,0.24
43,Land,-,65.31,-,65.66,-,29.43,-,29.43,-,29.43
44,Machinery,-,4.67,-,4.65,-,4.35,-,3.84,-,4.12
45,Leasehold Improvements,-,7.3,-,7.96,-,7.4,-,6.57,-,6.45
