,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,189,191,236,130,139,158,169,206,221,229,229
1,Market Cap Growth,46.20%,46.20%,69.40%,-17.39%,-17.57%,-23.33%,-23.45%,-10.00%,-3.33%,-33.01%,-34.45%
2,Enterprise Value,108,134,185,98,60,68,71,112,109,128,117
3,Last Close Price,0.25,0.25,0.29,0.16,0.16,0.18,0.18,0.22,0.24,0.24,0.24
4,PE Ratio,6.58,6.63,7.70,8.13,280.58,-,-,-,57.49,38.52,18.98
5,PS Ratio,0.71,0.72,0.88,0.60,0.95,1.25,1.31,1.64,2.15,1.79,1.09
6,PB Ratio,1.06,1.07,1.33,0.80,0.89,1.01,1.02,1.23,1.25,1.30,1.26
7,P/TBV Ratio,1.07,1.07,1.33,0.80,0.89,1.01,1.02,1.23,1.25,1.30,1.26
8,P/FCF Ratio,4.29,4.33,4.96,5.89,152.73,-,10.12,154.11,-,7.67,7.01
9,P/OCF Ratio,4.23,4.23,4.87,5.54,78.56,-,9.36,10.61,8.71,7.54,6.91
10,EV/Sales Ratio,0.41,0.51,0.69,0.45,0.41,0.53,0.55,0.90,1.06,1.00,0.56
11,EV/EBITDA Ratio,2.19,3.61,4.38,4.15,762.61,-,-,-150.02,-,-,7.41
12,EV/EBIT Ratio,3.15,3.91,4.69,4.64,-30.80,-,-,-,-,-,8.63
13,EV/FCF Ratio,2.46,3.04,3.88,4.42,65.99,-,4.27,84.06,-,4.31,3.58
14,Debt / Equity Ratio,0.10,0.10,0.12,0.13,0.12,0.11,0.10,0.08,0.08,0.10,0.12
15,Debt / FCF Ratio,0.42,0.42,0.44,0.93,20.41,-,0.95,9.81,-,0.61,0.67
16,Return on Capital Employed (ROCE),18.73%,18.66%,21.02%,12.23%,-1.20%,-,-,-,-,-,7.10%
17,Earnings Yield,15.21%,15.09%,12.99%,12.31%,0.36%,-0.63%,-0.50%,0.40%,1.74%,2.60%,5.27%
18,FCF Yield,23.29%,23.11%,20.15%,16.97%,0.65%,3.36%,9.88%,0.65%,3.30%,13.04%,14.26%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-1.29%,-1.60%,-0.31%,
20,Total Shareholder Return,8.06%,-,-,-,-,-,-,-,-1.29%,-1.60%,-0.31%
