,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '15 Mar 31, 2015"
0,Operating Revenue,298.98,138.86,161.69,115.66,248.94,122.08,107.98,97.85,206.46,116.26,104.31,136.65,182.05,140.55,109.54,113.6,24.24
1,Other Revenue,-,-0.94,0.94,-,4.96,-0.46,0.46,-,4.78,-1.24,1.24,-,3.58,-1.15,1.15,-,2.17
2,Revenue,298.98,137.93,162.63,115.66,253.9,121.62,108.44,97.85,211.23,115.03,105.54,136.65,185.63,139.4,110.69,113.6,26.41
3,Revenue Growth (YoY),17.75%,13.40%,49.97%,18.20%,20.20%,5.74%,2.75%,-28.40%,13.79%,-17.49%,-4.65%,20.30%,602.86%,-,-,-,-
4,Cost of Revenue,-217.32,64.43,94.26,58.63,148.41,64.6,61.18,47.6,119.45,53.46,60.12,66.96,100.25,65.74,62.01,52.51,13.7
5,Gross Profit,516.3,73.5,68.37,57.02,105.49,57.02,47.26,50.25,91.78,61.56,45.42,69.7,85.38,73.66,48.68,61.08,12.71
6,"Selling, General & Admin",-126.89,43.72,44.73,38.44,55.44,38.62,33.19,30.49,47.27,35.6,31.89,30.09,40.25,30.04,29.99,24.06,12.67
7,Research & Development,-98.61,32.61,36.98,29.01,28.95,27.32,25.48,21.94,27.56,21.94,19.01,16.72,17.5,16.49,11.79,13.15,-
8,Other Operating Expenses,736.37,-10.76,-2.09,-4.73,0.62,-5.09,-3.49,-5.02,4.43,-2.85,-5.07,-4.87,2.82,-5.14,-4.95,-3.91,0.53
9,Operating Expenses,506.19,67.68,80.74,64.18,88.13,62.06,55.26,47.63,83.64,52.37,48.98,40.87,63.31,43.57,37.86,31.1,12.69
10,Operating Income,10.11,5.82,-12.37,-7.16,17.35,-5.04,-8,2.61,8.14,9.19,-3.56,28.83,22.07,30.09,10.82,29.98,0.02
11,Interest Expense,-6.37,-0.35,-0.04,-0.01,-0.02,-,-0.01,-0,-0.01,-,-0.01,-0,-0.01,-0.32,-0.11,-0.23,-0.92
12,Interest & Investment Income,0.4,0.81,2.25,3.3,3.5,2.78,3.91,4.35,4.34,4.73,1.29,0.24,0.63,-,0.21,0.1,0.04
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.15,-2.15,-
14,Currency Exchange Gain (Loss),-,0.82,-0.82,-,0.07,-0.58,0.58,-,2.26,-0.13,0.13,-,-1.55,1.6,-1.6,-,0.73
15,Other Non Operating Income (Expenses),0.23,-1.87,0.49,-0.58,0.86,-0.95,0.71,-1.03,-2.56,0.04,3.03,-0.8,1.53,-0.67,1.13,-1.86,-0.29
16,EBT Excluding Unusual Items,4.36,5.25,-10.49,-4.44,21.76,-3.79,-2.8,5.93,12.17,13.84,0.88,28.27,22.68,30.7,12.59,25.85,-0.42
17,Gain (Loss) on Sale of Investments,-1.5,1.25,0.36,-0.1,0.06,0.54,0.56,0.16,0.74,0.94,1.21,-0.37,0.29,0.24,-2.22,-,-0.08
18,Gain (Loss) on Sale of Assets,-,-,-,-,0,-,-,-0.01,0.03,-,-,-,-,0.02,-,-,-0.07
19,Asset Writedown,11.67,-11.66,1.85,-1.87,7.99,-8.27,-0.2,0.17,7.28,-7.54,-0.05,-0.01,5.7,-6,-0.02,-,-0
20,Other Unusual Items,-,-5.82,5.82,-,8.04,-0.74,0.74,-,10.79,-0.32,0.32,-,7.57,-0.04,0.04,-,3.82
21,Pretax Income,14.53,-10.98,-2.47,-6.41,37.85,-12.26,-1.7,6.25,31.02,6.92,2.36,27.89,36.25,24.92,10.4,25.85,3.24
22,Income Tax Expense,27.49,0.5,0.14,0.85,-8.41,-1.32,-0.63,1.46,-1.73,-2.59,0.92,4.18,-1.51,4.18,3.2,3.82,0.76
23,Net Income,-12.96,-11.48,-2.6,-7.26,46.26,-10.94,-1.07,4.79,32.74,9.51,1.44,23.71,37.75,20.74,7.19,22.02,2.48
24,Net Income to Common,-12.96,-11.48,-2.6,-7.26,46.26,-10.94,-1.07,4.79,32.74,9.51,1.44,23.71,37.75,20.74,7.19,22.02,2.48
25,Net Income Growth,-,-,-,-,41.30%,-,-,-79.79%,-13.27%,-54.14%,-80.03%,7.65%,1424.71%,-,-,-,-
26,Shares Outstanding (Basic),111,108,94,104,102,123,90,96,106,100,97,76,76,80,75,79,50
27,Shares Outstanding (Diluted),111,108,94,104,102,123,90,96,106,100,97,76,76,80,75,79,50
28,Shares Change (YoY),8.74%,-12.41%,3.48%,8.26%,-3.90%,22.56%,-6.69%,25.31%,39.05%,24.62%,29.04%,-2.77%,54.07%,-,-,-,-
29,EPS (Basic),-0.12,-0.11,-0.03,-0.07,0.45,-0.09,-0.01,0.05,0.31,0.09,0.01,0.31,0.49,0.26,0.10,0.28,0.05
30,EPS (Diluted),-0.12,-0.11,-0.03,-0.07,0.45,-0.09,-0.01,0.05,0.31,0.09,0.01,0.31,0.49,0.26,0.10,0.28,0.05
31,EPS Growth,-,-,-,-,47.04%,-,-,-83.87%,-37.63%,-63.20%,-84.53%,10.71%,889.59%,-,-,-,-
32,Free Cash Flow,-,-54.88,-68.12,-68.34,-0.2,-69.48,22.06,-9.92,1.24,-11.02,-3.88,-30.13,33.04,-36.97,12.25,2.84,-13.4
33,Free Cash Flow Per Share,-,-0.51,-0.73,-0.66,-0.00,-0.57,0.24,-0.10,0.01,-0.11,-0.04,-0.39,0.43,-0.46,0.16,0.04,-0.27
34,Dividend Per Share,-,-,-,-,0.300,-,-,-,0.400,-,-,-,0.500,-,-,-,-
35,Dividend Growth,-,-,-,-,-25.00%,-,-,-,-20.00%,-,-,-,-,-,-,-,-
36,Gross Margin,172.69%,53.29%,42.04%,49.30%,41.55%,46.88%,43.58%,51.35%,43.45%,53.52%,43.03%,51.00%,45.99%,52.84%,43.98%,53.77%,48.11%
37,Operating Margin,3.38%,4.22%,-7.61%,-6.19%,6.83%,-4.15%,-7.37%,2.67%,3.85%,7.99%,-3.37%,21.10%,11.89%,21.59%,9.78%,26.40%,0.08%
38,Profit Margin,-4.33%,-8.32%,-1.60%,-6.28%,18.22%,-8.99%,-0.98%,4.90%,15.50%,8.27%,1.36%,17.35%,20.34%,14.88%,6.50%,19.39%,9.38%
39,Free Cash Flow Margin,-,-39.79%,-41.89%,-59.09%,-0.08%,-57.13%,20.34%,-10.14%,0.59%,-9.58%,-3.67%,-22.05%,17.80%,-26.52%,11.06%,2.50%,-50.72%
40,EBITDA,14.66,10.38,-7.1,-2.61,21.91,-1.08,-3.37,6.57,12.1,12.25,0.18,31.88,25.12,32.56,13.76,32.46,0.7
41,EBITDA Margin,4.90%,7.52%,-4.37%,-2.25%,8.63%,-0.89%,-3.11%,6.72%,5.73%,10.65%,0.17%,23.33%,13.53%,23.36%,12.43%,28.57%,2.67%
