,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '15 Mar 31, 2015"
0,Market Capitalization,2516,2317,2596,2276,2920,4036,3666,4627,4933,4853,5483,5321,-,-,-,-,-,-
1,Market Cap Growth,-42.60%,-42.60%,-29.19%,-50.82%,-40.81%,-16.83%,-33.14%,-13.03%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2107,1908,2113,1695,2231,3348,2908,3855,4144,4064,4634,5182,-,-,-,-,-,-
3,Last Close Price,24.42,22.49,25.20,22.02,27.89,38.56,35.02,44.20,46.65,45.89,51.85,49.78,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,103.36,-,-,101.75,72.00,75.72,63.62,-,-,-,-,-,-
5,Forward PE,28.07,27.26,30.27,28.55,38.70,45.67,36.01,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.55,3.24,3.87,3.48,4.87,6.94,6.80,8.69,9.31,8.54,10.10,9.38,-,-,-,-,-,-
7,PB Ratio,2.02,1.86,2.08,1.81,2.26,3.09,2.91,3.64,3.75,3.71,4.29,4.20,-,-,-,-,-,-
8,P/TBV Ratio,1.92,1.92,2.16,1.87,2.29,3.12,2.94,3.68,3.80,3.75,4.35,4.25,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,1962.94,-,-110.83,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-716.78,-,100.80,-,1114.74,-,368.22,-,-,-,-,-,-
11,EV/Sales Ratio,2.95,2.67,3.15,2.59,3.72,5.75,5.39,7.24,7.82,7.15,8.54,9.14,-,-,-,-,-,-
12,EV/EBITDA Ratio,144.16,124.48,93.60,-,-,139.35,-,-,133.25,72.04,66.74,57.74,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-529.68,579.61,-,-,483.39,-,-,252.91,95.39,81.97,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,1635.25,-,-92.82,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.08,0.25
16,Debt / EBITDA Ratio,4.27,1.06,1.50,-,-,0.02,-,-,0.06,0.04,0.04,0.81,0.02,0.02,-,-,0.28,17.63
17,Debt / FCF Ratio,-,-,-,-,-,-,-,0.96,-,-0.04,-,-,-,0.23,-,-,-3.49,-
18,Asset Turnover,-,0.31,0.38,0.27,0.59,0.29,0.26,0.24,0.53,0.28,0.33,0.58,-,-,-,-,-,
19,Inventory Turnover,-,-,0.44,0.69,0.48,1.30,0.58,0.62,0.53,1.32,0.58,0.68,0.78,-,-,-,-,-
20,Quick Ratio,-,-,1.45,1.80,2.15,2.44,2.38,2.75,3.40,3.78,3.40,3.09,1.31,1.18,-,-,-,0.76
21,Current Ratio,-,-,2.70,3.12,3.54,3.62,3.69,4.00,4.77,5.10,4.79,4.20,2.60,2.18,-,-,-,1.96
22,Return on Equity (ROE),-4.16%,-3.67%,-0.82%,-2.24%,14.41%,-3.45%,-0.33%,1.46%,10.13%,2.99%,0.61%,16.03%,-,-,-,-,-,
23,Return on Assets (ROA),-,0.82%,-1.79%,-1.03%,2.52%,-0.75%,-1.21%,0.40%,1.27%,1.42%,-0.70%,7.65%,-,-,-,-,-,
24,Return on Capital (ROIC),1.93%,1.12%,-2.39%,-1.38%,3.37%,-0.99%,-1.54%,0.50%,1.57%,1.80%,-0.95%,12.13%,-,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,0.28%,-,-,0.52%,-,-,1.22%,3.18%,4.34%,-,14.52%,15.28%,-,-,-,0.01%
26,Earnings Yield,-1.36%,-1.48%,0.96%,1.12%,0.92%,0.97%,0.70%,0.99%,0.98%,1.39%,1.32%,1.57%,-,-,-,-,-,-
27,FCF Yield,-,-7.38%,-9.06%,-3.97%,-1.43%,-1.53%,0.05%,-0.48%,-0.90%,-0.22%,-0.71%,-,-,-,-,-,-,
28,Dividend Yield,1.20%,-,-,-,-,0.78%,-,-,-,0.87%,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,0.01%,-,-,0.04%,0.00%,543.24%,0.12%,0.01%,0.00%,0.01%,1.73%,1.04%,35.26%
30,Buyback Yield / Dilution,-1.15%,-8.74%,12.41%,-3.48%,-8.26%,3.90%,-22.56%,6.69%,-25.31%,-39.05%,-24.62%,-29.04%,2.77%,-54.07%,-,-,-,-
31,Total Shareholder Return,0.04%,-8.74%,12.41%,-3.48%,-8.26%,4.68%,-22.56%,6.69%,-25.31%,-38.18%,-24.62%,-29.04%,2.77%,-54.07%,-,-,-,-
