,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,-,240.99,330.91,517.95,534.75,500.14,588.75,553.45,360.35,480.5,509.54,140.81,175.35,-,-,-,37.27
1,Short-Term Investments,-,-,-0.64,-,1.74,-,-,-,82.65,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,230.38,185.38,66.08,128.21,190.54,171.6,220.66,344.24,310.52,341.26,-,-,-,-,-,-
3,Cash & Short-Term Investments,471.37,471.37,515.66,584.04,664.71,690.68,760.35,774.11,787.25,791.01,850.8,140.81,175.35,-,-,193.84,37.27
4,Cash Growth,-29.09%,-31.75%,-32.18%,-24.55%,-15.57%,-12.68%,-10.63%,449.76%,348.96%,-,-,-27.36%,370.54%,-,-,-,-
5,Accounts Receivable,-,281.93,272.01,268.65,304.85,245.17,221.24,232.5,238.3,201.64,216.5,227.14,251.13,-,-,-,41.01
6,Other Receivables,-,3.54,12.53,3.12,7.27,3.26,2.91,4.03,4.89,3.35,3.07,2.75,1.77,-,-,-,2.99
7,Receivables,-,285.47,284.53,271.78,312.12,248.43,224.14,236.53,243.2,204.98,219.58,229.89,252.9,-,-,-,44
8,Inventory,-,601.46,565.61,520.02,447.2,466.79,417.45,377.67,345.36,378.16,361.88,342.54,346.06,-,-,-,118.18
9,Other Current Assets,-,53.63,24.16,35.03,27.04,51.04,28.54,29.96,16.5,26.58,20.88,21.37,14.15,-,-,-,10.89
10,Total Current Assets,-,1412,1390,1411,1451,1457,1430,1418,1392,1401,1453,734.6,788.46,-,-,-,210.33
11,"Property, Plant & Equipment",-,246.8,206.73,176.5,179.45,155.49,154.86,152.8,151.74,145.92,143.75,138.01,135.89,-,-,-,83.48
12,Long-Term Investments,-,40.78,40.67,40.94,41.78,12.32,12.75,13.52,13.42,1.21,0.92,1.22,1.62,-,-,-,-
13,Other Intangible Assets,-,41.36,38.28,15.12,15.47,15.21,15.44,15.61,15.96,16.05,16.38,16.12,16.43,-,-,-,13.25
14,Long-Term Accounts Receivable,-,-,2.51,-,4.33,-,-,-,2.34,-,-,-,-,-,-,-,-
15,Long-Term Deferred Tax Assets,-,29.95,29.3,28.9,29.27,19.59,18.43,17.66,18.38,16.27,16.6,16.14,17.61,-,-,-,3.07
16,Long-Term Deferred Charges,-,17.34,18.1,19.13,18.27,18.24,14.42,15.82,14.58,12.36,7.22,7.74,8.42,-,-,-,4.83
17,Other Long-Term Assets,-,14.29,10.65,32.89,5.36,16.16,12.6,7.99,5.3,3.52,2.72,0.79,1.51,-,-,-,1.7
18,Total Assets,-,1802,1736,1724,1745,1694,1659,1642,1614,1596,1641,914.63,969.93,-,-,-,316.66
19,Accounts Payable,-,223.32,206.66,200.75,203.21,182.08,172.19,148.92,140.06,131.38,138.41,139.17,188.52,-,-,-,17.33
20,Accrued Expenses,-,34.51,32.29,20.05,39.85,28.18,25.56,15.62,42.92,22.78,23.64,12.08,41.24,-,-,-,0.78
21,Short-Term Debt,-,60.04,30.02,-,-,-,-,-,-,-,-,-,-,-,-,-,49.7
22,Current Portion of Long-Term Debt,-,1.39,0.27,1.16,0.3,0.76,0.3,0.55,0.31,-,0.29,-,-,-,-,-,-
23,Current Portion of Leases,-,-,1.07,-,0.37,-,0.54,-,0.33,0.78,0.46,0.69,0.84,-,-,-,-
24,Current Income Taxes Payable,-,4.53,0.4,1.65,1.39,1.75,0.4,3.98,1.04,6.14,0.48,6.8,1.85,-,-,-,3.95
25,Current Unearned Revenue,-,179.96,151.08,147.37,134.99,169.09,147.08,118.41,80.21,123.99,124.32,118.79,124.33,-,-,-,-
26,Other Current Liabilities,-,19.52,23.95,27.52,20.34,13.45,11.7,9.95,7.98,7.61,58.59,4.91,4.69,-,-,-,35.33
27,Total Current Liabilities,-,523.27,445.75,398.51,400.44,395.3,357.76,297.42,272.85,292.68,346.2,282.44,361.48,-,-,-,107.08
28,Long-Term Debt,-,0.52,0.56,0.66,0.78,0.82,0.9,1.01,1.13,1.11,1.18,1.56,1.66,-,-,-,-
29,Long-Term Leases,-,0.43,0.69,0.86,0.34,0.41,0.51,0.04,0.1,0.17,-,-,0.09,-,-,-,-
