,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2315,2340,2268,1529,1778,2674,2516,3042,2922,2784,2768,2817,2898,3829,4011,6130,-,-,-,-,-
1,Market Cap Growth,-12.49%,-12.49%,-9.85%,-49.73%,-39.13%,-3.95%,-9.10%,7.96%,0.80%,-27.30%,-30.99%,-54.04%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1977,2002,1933,1172,1455,2350,2223,2717,2610,2481,2489,2514,2594,3552,3729,6076,-,-,-,-,-
3,Last Close Price,28.50,28.80,27.76,18.71,21.44,32.23,30.33,36.66,34.86,33.21,33.03,33.61,34.05,44.98,47.12,71.67,-,-,-,-,-
4,PE Ratio,26.15,26.42,25.81,17.96,23.39,35.41,33.49,40.17,37.91,36.78,32.71,32.74,33.82,46.90,55.09,96.27,-,-,-,-,-
5,PS Ratio,7.19,7.27,7.35,5.21,6.34,9.72,9.39,11.71,11.64,11.60,11.53,12.13,12.89,18.01,19.85,32.21,-,-,-,-,-
6,PB Ratio,3.63,3.65,3.54,2.49,2.94,4.57,4.38,5.54,5.21,5.14,5.21,5.58,5.59,7.64,8.32,13.47,-,-,-,-,-
7,P/TBV Ratio,3.85,3.85,3.73,2.64,3.04,4.72,4.54,5.75,5.42,5.36,5.45,5.86,5.84,8.02,8.78,14.30,-,-,-,-,-
8,P/FCF Ratio,-,-,25.30,16.03,22.72,37.65,37.39,49.50,38.98,37.73,31.14,29.03,35.85,79.69,1647.28,-252.12,-,-,-,-,-
9,P/OCF Ratio,-,-,17.43,11.87,16.94,31.37,30.76,39.13,32.41,30.26,25.14,23.61,25.97,37.07,45.92,88.14,-,-,-,-,-
10,EV/Sales Ratio,6.14,6.22,6.27,4.00,5.19,8.55,8.29,10.46,10.39,10.34,10.37,10.83,11.53,16.71,18.46,31.92,-,-,-,-,-
11,EV/EBITDA Ratio,16.97,17.17,16.44,11.26,14.70,24.65,24.88,31.47,30.32,29.50,28.09,28.60,29.85,43.11,45.90,87.47,-,-,-,-,-
12,EV/EBIT Ratio,18.60,18.83,18.02,12.49,16.38,27.56,28.02,35.27,33.92,32.80,30.79,31.30,32.36,46.82,49.77,95.92,-,-,-,-,-
13,EV/FCF Ratio,-,-,21.56,12.29,18.59,33.10,33.03,44.21,34.82,33.62,28.00,25.90,32.09,73.92,1531.53,-249.90,-,-,-,-,-
14,Debt / Equity Ratio,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.05,0.05,0.05,0.08,0.07,-,-,0.04
15,Debt / EBITDA Ratio,0.32,0.98,0.19,0.30,0.33,0.78,0.29,0.37,0.37,1.53,0.32,0.37,0.39,0.46,0.19,0.23,0.26,0.52,-,-,0.20
16,Debt / FCF Ratio,-,-,0.41,0.40,0.49,0.55,0.58,0.64,0.50,0.53,0.45,0.39,0.45,0.48,9.65,-0.95,-,-,-,-,-
17,Asset Turnover,-,0.48,0.47,0.41,0.41,0.45,0.44,0.40,0.39,0.41,0.41,0.36,0.44,0.41,0.51,0.55,-,-,-,-,
18,Inventory Turnover,-,-,2.35,2.84,1.61,2.45,1.27,1.64,1.26,1.74,0.92,1.30,1.20,1.66,0.67,1.23,0.74,-,-,-,-
19,Quick Ratio,-,-,4.41,4.34,4.98,4.84,5.15,4.69,4.81,4.11,4.21,3.91,4.78,5.40,6.37,4.08,1.99,2.58,-,-,-
20,Current Ratio,-,-,4.77,4.70,5.45,5.35,5.71,5.31,5.39,4.61,4.76,4.45,5.42,6.11,7.26,4.69,3.32,3.79,-,-,-
21,Return on Equity (ROE),7.84%,17.69%,18.82%,13.19%,7.47%,17.85%,14.05%,13.85%,7.77%,19.69%,16.14%,13.78%,16.00%,23.12%,23.25%,21.99%,-,-,-,-,
22,Return on Assets (ROA),-,15.55%,9.91%,9.64%,2.96%,12.34%,8.96%,8.89%,0.77%,12.03%,9.50%,9.18%,3.21%,13.31%,13.31%,14.38%,-,-,-,-,
23,Return on Capital (ROIC),2.54%,16.96%,10.77%,10.42%,3.18%,13.18%,9.63%,9.69%,0.85%,13.18%,10.36%,9.98%,3.47%,14.66%,14.99%,16.09%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,16.50%,15.06%,14.46%,14.30%,13.64%,13.82%,13.53%,13.74%,14.96%,15.62%,15.16%,14.82%,15.17%,13.57%,21.31%,19.30%,-,-,-
25,Earnings Yield,3.83%,3.79%,3.87%,5.57%,4.28%,2.82%,2.99%,2.49%,2.64%,2.72%,3.06%,3.05%,2.96%,2.13%,1.82%,1.04%,-,-,-,-,-
26,FCF Yield,-,3.95%,6.24%,4.40%,2.66%,2.67%,2.02%,2.57%,2.65%,3.21%,3.44%,2.79%,1.25%,0.06%,-0.40%,-,-,-,-,-,
27,Dividend Yield,1.11%,-,-,-,-,0.99%,-,-,-,1.12%,-,-,-,0.98%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,1.94%,91.99%,2.35%,4.07%,1.83%,155.00%,1.45%,2.48%,1.02%,171.62%,0.75%,0.65%,111.68%,0.37%,0.67%,1.12%,-,0.69%,1.37%
29,Buyback Yield / Dilution,-0.08%,0.28%,-1.34%,-0.69%,1.45%,2.12%,-1.03%,-0.84%,0.65%,-0.84%,1.79%,-22.03%,-33.45%,-33.45%,-32.05%,-10.41%,-0.22%,-,-,-,-
