,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,81.83,92.32,77.88,69.92,56.03,76.41,65.55,64.64,51.13,68.33,56.65,53.5,55.25,58.5,51.44,41.11,45.27,45.79,41.9,25.38
1,Other Revenue,-,-5.54,5.54,-,12.4,-4.94,4.94,-,10.34,-5.24,5.24,-,6.24,-3.21,3.21,-,5.73,-2.23,2.23,-
2,Revenue,81.83,86.78,83.42,69.92,68.42,71.47,70.48,64.64,61.47,63.09,61.89,53.5,61.49,55.29,54.66,41.11,51.01,43.56,44.13,25.38
3,Revenue Growth (YoY),19.59%,21.41%,18.36%,8.16%,11.32%,13.30%,13.88%,20.82%,-0.04%,14.10%,13.24%,30.15%,20.56%,26.92%,23.85%,61.98%,-,-,-,-
4,Cost of Revenue,-47.22,14.59,19.5,13.13,21.36,11.54,15.5,11.98,16.87,8.95,12.77,11.6,15.77,6.58,12.51,7.13,12.38,4.61,10.5,4.68
5,Gross Profit,129.05,72.18,63.92,56.79,47.07,59.94,54.98,52.66,44.6,54.13,49.13,41.9,45.72,48.71,42.15,33.98,38.63,38.95,33.63,20.7
6,"Selling, General & Admin",-83.57,29.58,27.93,26.06,31.15,23.92,26.94,25.33,30.65,21.99,21.79,17.15,25.31,16.89,17.36,15.63,22.89,19.12,12.74,9.79
7,Research & Development,-16.4,6.33,5.42,4.66,3.9,5.46,4.28,4,7.18,5.11,3.53,2.48,8.58,2.47,1.67,4.09,8.6,3.09,3.23,1.98
8,Other Operating Expenses,222.03,-8.7,2.45,-0.13,4.16,-1.2,0.97,0.48,4.75,-2.38,0.96,0.71,4.65,0.46,0.66,-2.99,0.98,-0.15,0.41,0.33
9,Operating Expenses,122.16,27.1,36.04,30.37,39.19,28.26,32.12,29.82,42.64,24.76,26.36,20.35,38.57,19.86,19.53,16.75,32.4,21.68,17.1,11.78
10,Operating Income,6.9,45.09,27.88,26.42,7.88,31.68,22.86,22.84,1.96,29.37,22.76,21.55,7.15,28.85,22.62,17.23,6.22,17.28,16.53,8.92
11,Interest Expense,-4.89,-0.53,-0.62,-0.54,-0.5,-0.51,-0.5,-0.39,-0.33,-0.32,-0.32,-0.26,-0.4,-,-0.29,-0.07,-0.08,-0.08,-0.12,-0.09
12,Interest & Investment Income,1.69,2.5,1,1.39,0.67,2.46,0.54,1.53,1.82,3.76,1.68,0.88,2.38,1.7,0.45,0.34,0.64,0.71,0.87,0.9
13,Currency Exchange Gain (Loss),-,0.16,-0.16,-,0.23,-0.46,0.46,-,0.49,-0.17,0.17,-,0.03,-0.21,0.21,-,-0.56,-0.11,0.11,-
14,Other Non Operating Income (Expenses),0.77,-0.33,0.05,-0.2,-0.49,0.78,-0.34,-0.01,-0.61,0.57,-0.05,-0.1,-5.03,4.95,-0.19,0.11,-6.34,6.79,-0.08,-0.55
15,EBT Excluding Unusual Items,4.47,46.9,28.14,27.07,7.79,33.96,23.03,23.97,3.33,33.2,24.24,22.08,4.13,35.29,22.8,17.6,-0.12,24.59,17.31,9.19
16,Gain (Loss) on Sale of Investments,8.12,-2.99,-2.92,-2.2,-1.61,-0.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.39,-0.01,0.4,-,0.03,-,-0.04,-,-0,0.05,-0.05,-,0.02,-,-,-,0,0,1.43,-1.45
18,Asset Writedown,2.41,-2.41,0.59,-0.59,3.57,-3.63,0.61,-0.59,2.78,-2.81,0.83,-0.83,3.28,-3.63,1.47,-1.47,3.91,-3.92,-,-
19,Other Unusual Items,-0.37,-8.42,8.79,-,4.91,-,-,-,5.66,-,-,-,15.9,-,-,-,7.28,-,-,-
20,Pretax Income,14.24,33.06,34.99,24.28,14.7,30.07,23.6,23.38,11.76,30.44,25.02,21.25,23.33,31.67,24.27,16.13,11.07,20.67,18.74,7.74
21,Income Tax Expense,1.68,5.33,6.33,4.66,3.87,5,4.11,4.3,1.33,4.93,4.37,3.67,3.66,4.58,3.58,2.39,0.32,3.08,2.86,0.85
22,Earnings From Continuing Operations,12.56,27.73,28.65,19.62,10.83,25.07,19.5,19.08,10.43,25.51,20.65,17.58,19.67,27.09,20.69,13.74,10.75,17.59,15.88,6.89
23,Minority Interest in Earnings,-0.71,0.19,0.2,0.31,0.34,0.1,0.26,0.34,0.36,0.25,0.46,0.45,0.05,0.09,0.09,0.22,0.14,0.46,0.59,0.07
24,Net Income,11.86,27.92,28.86,19.94,11.16,25.17,19.76,19.42,10.79,25.76,21.11,18.03,19.72,27.18,20.78,13.95,10.9,18.05,16.47,6.96
25,Net Income to Common,11.86,27.92,28.86,19.94,11.16,25.17,19.76,19.42,10.79,25.76,21.11,18.03,19.72,27.18,20.78,13.95,10.9,18.05,16.47,6.96
