,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,302.41,320.75,308.93,375.12,235.05,194.45,255.71,349.24,250.65,211.56,183.44,325.33,158.67,303.05,71.64,92.8,-,-,-
1,Trading Asset Securities,-,75,55,85,-,125,136,105,-,91,105,154.5,-,140,-,-,-,-,-,-
2,Cash & Short-Term Investments,377.41,377.41,375.75,393.93,375.12,360.05,330.45,360.71,349.24,341.65,316.56,337.94,325.33,298.67,303.05,71.64,92.8,-,-,112.08
3,Cash Growth,0.61%,4.82%,13.71%,9.21%,7.41%,5.38%,4.39%,6.74%,7.35%,14.39%,4.46%,371.71%,250.57%,-,-,-36.08%,-,-,-,-
4,Accounts Receivable,-,8.47,8.04,5.46,9.32,8.89,7.39,8.43,10.07,7.16,7.77,6.21,5.82,4.92,4.27,4.62,4.06,-,-,-
5,Other Receivables,-,0.99,1.08,1.02,0.92,1.46,1.21,1.2,1.23,0.93,0.84,0.92,1.17,0.91,0.85,0.81,0.69,-,-,-
6,Receivables,-,9.46,9.12,6.48,10.24,10.35,8.6,9.63,11.3,8.09,8.61,7.13,6.99,5.83,5.12,5.43,4.75,-,-,-
7,Inventory,-,24.86,24.88,30,35.37,34.4,38.46,37.32,38.85,38.62,39.51,38.99,38.38,37.59,40.79,40.27,36.37,-,-,-
8,Prepaid Expenses,-,-,0.1,-,0.07,-,0.01,-,0.07,-,0.04,-,0.04,-,0.12,-,0.05,-,-,-
9,Other Current Assets,-,6.08,6.95,8.63,5.85,5.76,5.93,7.36,4.86,7.28,5.39,6.73,5.02,4.93,4.92,11.32,9.34,-,-,-
10,Total Current Assets,-,417.81,416.8,439.04,426.65,410.56,383.45,415.03,404.32,395.64,370.11,390.79,375.77,347.01,354,128.67,143.32,-,-,-
11,"Property, Plant & Equipment",-,169.53,160.55,145.31,136.89,128.19,129.83,128.11,129.26,125.3,124.46,120.55,135.12,131.57,122.19,113.2,84.55,-,-,-
12,Long-Term Investments,-,31.96,36.09,23.79,25.34,27.75,29.34,16.75,13.93,14.2,13.42,12.7,-,-,-,-,-,-,-,-
13,Goodwill,-,6.02,5.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,24.72,25.85,20.42,21.2,22.15,23.04,23.08,24.04,25.12,25.18,25.26,26.17,27.31,28.12,29.31,30.08,-,-,-
15,Long-Term Deferred Tax Assets,-,3.29,3.23,3.22,3.29,3,3.08,3.15,3.31,2.89,3.01,3.02,3.16,3.28,3.23,3.58,3.48,-,-,-
16,Long-Term Deferred Charges,-,8.37,7.26,4.96,6.35,6.57,7.35,7.76,8.64,7.09,7.17,7.52,8.18,8.94,7.95,0.05,0.05,-,-,-
17,Other Long-Term Assets,-,75.97,56.09,58.13,56.06,55.33,53.62,51.8,54.71,53.21,53.83,40.94,24.97,23.67,26.73,32.68,30.03,-,-,-
18,Total Assets,-,737.66,711.79,694.87,675.79,653.56,629.71,645.68,638.22,623.46,597.19,600.78,573.38,541.78,542.23,307.48,291.51,-,-,-
19,Accounts Payable,-,26.97,23.8,16.78,16.84,11.27,9.91,13.14,19.29,10.67,14.65,12.68,15.03,9.71,7.39,6.43,6.6,-,-,-
20,Accrued Expenses,-,7.45,10.5,7.6,12.79,6.18,10.41,7.72,18.3,5.99,16.59,4.95,13.47,4.27,5.63,4.31,9.33,-,-,-
21,Current Portion of Long-Term Debt,-,37.02,35.81,38.1,35.57,37.92,36.28,36.27,34.91,37.61,33.56,33.63,19.61,19.08,17.95,15.57,14.08,-,-,-
22,Current Portion of Leases,-,-,2.07,-,2.2,-,1.56,-,1.89,-,1.97,-,-,-,1.24,-,-,-,-,-
23,Current Income Taxes Payable,-,6.83,6.46,9.17,5.45,9.16,5.09,12.07,7.07,21.66,9.41,13.89,5.25,7.92,3.64,4.73,2.47,-,-,-
24,Current Unearned Revenue,-,4.07,3.42,3.08,1.94,2.2,3.4,2.67,1.68,1.87,2.46,2.09,3.21,1.92,2.09,3.06,1.5,-,-,-
25,Other Current Liabilities,-,5.3,6.57,5.76,4.91,5.17,5.62,5.12,4.5,5.32,4.52,4.88,4.93,4.87,37.6,4.66,3.83,-,-,-
26,Total Current Liabilities,-,87.64,88.64,80.48,79.7,71.91,72.27,76.99,87.63,83.11,83.15,72.13,61.5,47.77,75.55,38.76,37.83,-,-,-
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.19,-,-,-
28,Long-Term Leases,-,-,0.13,0.45,1.02,1.05,1.72,1.58,1.94,2.31,2.73,3.03,3.42,4.41,3.82,3.87,-,-,-,-
29,Long-Term Unearned Revenue,-,5.62,5.74,5.85,5.97,2.57,2.32,2.42,2.52,2.62,2.71,2.81,2.91,3.01,3.1,3.2,3.3,-,-,-
30,Long-Term Deferred Tax Liabilities,-,3.57,3.87,3.19,3.42,3.55,3.81,3.81,4.09,3.93,3.93,3.92,4.15,4.45,4.65,4.95,5.14,-,-,-
31,Other Long-Term Liabilities,-,0.07,0.07,0.12,0.17,0.22,0.27,0.31,0.36,-,-,-,-,-,-,-,-,-,-,-
32,Total Liabilities,-,96.91,98.44,90.1,90.28,79.3,80.39,85.11,96.54,91.97,92.52,81.89,71.98,59.64,87.12,50.79,48.46,-,-,-
33,Common Stock,-,81.24,81.24,81.24,81.24,81.24,81.24,58.03,58.03,58.03,58.03,58.03,58.03,58.03,58.03,43.52,43.52,-,-,-
34,Additional Paid-In Capital,-,300.03,300.03,298.23,298.87,298.87,298.87,323.08,323.08,323.08,323.08,324.4,324.4,324.4,324.4,130.66,131.21,-,-,-
35,Retained Earnings,-,255.44,227.52,224.66,204.72,192.87,167.7,179.62,160.2,149.39,123.64,138.5,120.47,100.75,73.57,82.97,69.02,-,-,-
36,Comprehensive Income & Other,-,1.7,1.99,1.95,2.35,3.62,3.77,1.78,1.98,2.17,0.93,0.33,0.42,0.85,0.89,1.23,0.79,-,-,-
37,Total Common Equity,638.4,638.4,610.77,606.08,587.18,576.6,551.58,562.51,543.29,532.67,505.68,521.27,503.32,484.03,456.9,258.38,244.53,-,-,192.7
38,Minority Interest,-,2.35,2.57,-1.31,-1.67,-2.34,-2.26,-1.94,-1.61,-1.18,-1.01,-2.38,-1.93,-1.88,-1.79,-1.69,-1.49,-,-,-
39,Shareholders' Equity,640.76,640.76,613.34,604.77,585.51,574.26,549.32,560.57,541.68,531.49,504.67,518.89,501.39,482.15,455.11,256.69,243.05,-,-,192.49
40,Total Liabilities & Equity,-,737.66,711.79,694.87,675.79,653.56,629.71,645.68,638.22,623.46,597.19,600.78,573.38,541.78,542.23,307.48,291.51,-,-,-
41,Total Debt,37.02,37.02,38.01,38.55,38.79,38.97,39.56,37.85,38.74,39.92,38.26,36.66,23.03,23.49,23.01,19.44,16.28,-,-,8.08
42,Net Cash (Debt),340.38,340.38,337.74,355.38,336.33,321.08,290.9,322.86,310.5,301.73,278.31,301.28,302.3,275.18,280.04,52.2,76.53,-,-,104
43,Net Cash Growth,1.21%,6.01%,16.10%,10.07%,8.32%,6.41%,4.52%,7.16%,2.71%,9.65%,-0.62%,477.17%,295.02%,-,-,-49.81%,-,-,-,-
44,Net Cash Per Share,4.24,4.14,4.07,4.46,4.18,3.96,3.53,3.99,3.78,3.76,3.41,3.70,3.71,3.37,4.19,0.86,1.25,-,-,1.71
45,Filing Date Shares Outstanding,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,60.93,61.9,60.6,60.9
46,Total Common Shares Outstanding,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,81.24,60.93,60.93,61.9,60.6,60.9
47,Working Capital,-,330.17,328.16,358.55,346.95,338.65,311.18,338.04,316.69,312.54,286.96,318.67,314.27,299.24,278.45,89.9,105.49,-,-,-
48,Book Value Per Share,7.86,7.86,7.52,7.46,7.23,7.10,6.79,6.92,6.69,6.56,6.22,6.42,6.20,5.96,5.62,4.24,4.01,-,-,3.23
49,Tangible Book Value,607.66,607.66,579,585.66,565.98,554.45,528.54,539.42,519.25,507.55,480.49,496.01,477.15,456.72,428.77,229.08,214.46,-,-,169.16
50,Tangible Book Value Per Share,7.48,7.48,7.13,7.21,6.97,6.82,6.51,6.64,6.39,6.25,5.91,6.11,5.87,5.62,5.28,3.76,3.52,-,-,2.84
51,Buildings,-,-,104.92,-,104.92,-,104.92,-,104.92,-,101.12,-,113.2,-,20.13,-,20.13,-,-,-
