,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2645,2543,2574,2560,2862,2905,2982,2910,3096,3230,4050,-,-,-,-,-
1,Market Cap Growth,-12.47%,-12.47%,-13.67%,-12.01%,-7.56%,-10.04%,-26.39%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2170,2020,1995,2005,2306,2267,2329,2267,2453,2549,3845,-,-,-,-,-
3,Last Close Price,32.08,30.84,30.61,30.45,34.04,34.55,35.82,34.96,37.20,38.80,48.67,-,-,-,-,-
4,PE Ratio,30.68,29.58,29.93,29.29,30.98,29.81,35.26,33.99,39.10,25.05,29.45,-,-,-,-,-
5,Forward PE,23.94,23.01,23.37,21.33,25.22,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.96,2.86,2.96,2.98,3.47,3.82,4.32,4.84,5.51,5.57,6.94,-,-,-,-,-
7,PB Ratio,2.23,2.13,2.21,2.16,2.48,2.55,2.79,2.72,2.95,3.13,4.03,-,-,-,-,-
8,P/TBV Ratio,2.24,2.24,2.31,2.25,2.55,2.62,2.88,2.76,2.99,3.17,4.09,-,-,-,-,-
9,P/FCF Ratio,-,-81.99,-,-,-77.13,-,-,-,-79.13,-,-,-,-,-,-,-
10,P/OCF Ratio,142.46,142.46,-,281.02,620.57,-,-,-,336.03,-,115.72,-,-,-,-,-
11,EV/Sales Ratio,2.44,2.27,2.29,2.33,2.79,2.98,3.37,3.77,4.36,4.40,6.59,-,-,-,-,-
12,EV/EBITDA Ratio,20.92,20.04,21.53,20.76,25.05,23.65,25.44,23.37,24.50,15.27,22.33,-,-,-,-,-
13,EV/EBIT Ratio,22.74,20.80,22.34,21.28,25.61,24.07,25.93,23.82,24.99,15.45,22.59,-,-,-,-,-
14,EV/FCF Ratio,-69.97,-65.12,-,-,-62.16,-,-,-,-62.70,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,-,-,0.07
16,Debt / EBITDA Ratio,0.28,0.18,0.05,0.07,0.09,0.04,0.03,0.04,0.06,0.04,0.03,0.07,0.02,-,-,0.25
17,Debt / FCF Ratio,-,-0.93,-,-,-0.14,-,-,-,-0.11,-,-,-,0.28,-,-,-
18,Asset Turnover,0.73,0.67,0.61,0.71,0.73,0.71,0.57,0.56,0.56,-,-,-,-,-,-,
19,Inventory Turnover,2.35,2.17,2.44,2.44,3.08,3.08,3.50,2.89,3.19,3.19,-,-,-,-,-,-
20,Quick Ratio,5.52,5.52,4.39,7.74,9.06,9.28,5.05,9.67,10.79,9.99,9.11,-,3.92,-,-,-
21,Current Ratio,7.90,7.90,6.00,10.01,11.51,11.89,6.28,11.77,13.02,11.94,10.49,-,5.17,-,-,-
22,Return on Equity (ROE),9.19%,8.08%,6.81%,4.79%,9.97%,9.52%,9.53%,7.37%,5.78%,14.29%,15.77%,-,-,-,-,
23,Return on Assets (ROA),7.46%,4.42%,4.72%,1.78%,6.57%,5.92%,4.37%,2.89%,6.35%,-,-,-,-,-,-,
24,Return on Capital (ROIC),8.46%,5.00%,5.14%,1.93%,7.36%,6.65%,4.71%,3.11%,6.91%,11.34%,11.91%,-,-,-,-,
25,Return on Capital Employed (ROCE),7.97%,8.11%,7.64%,7.92%,7.76%,8.24%,8.40%,8.91%,9.35%,15.95%,16.91%,-,33.25%,-,-,-
26,Earnings Yield,3.25%,3.38%,3.34%,3.41%,3.23%,3.35%,2.84%,2.94%,2.56%,3.99%,3.40%,-,-,-,-,-
27,FCF Yield,-1.17%,-1.22%,-3.71%,-1.79%,-1.30%,-2.10%,-0.57%,-1.08%,-1.26%,0.32%,0.11%,-,-,-,-,-
28,Dividend Yield,2.01%,-,-,-,1.90%,-,-,-,1.68%,-,-,-,-,-,-,-
29,Payout Ratio,61.87%,192.43%,-,-,-,180.91%,-,-,-,-,-,-,-,-,2.07%,2.07%
30,Buyback Yield / Dilution,-2.80%,-2.86%,-2.75%,-2.78%,-2.80%,0.00%,-33.33%,-33.32%,-33.30%,-32.25%,-0.42%,-0.41%,-,-,-,-
31,Total Shareholder Return,-0.79%,-2.86%,-2.75%,-2.78%,-0.90%,0.00%,-33.33%,-33.32%,-31.62%,-32.25%,-0.42%,-0.41%,-,-,-,-
