,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,481.93,388.69,530.08,611.62,478.41,552.7,656.2,540.29,406.84,677.55,-,212.89,-,-,-
1,Trading Asset Securities,29.22,148.44,65,0,92.2,99.06,-,121.12,240.34,8,-,-,-,-,-
2,Cash & Short-Term Investments,511.15,537.13,595.08,611.62,570.61,651.75,656.2,661.41,647.18,685.55,212.89,212.89,-,-,222.61
3,Cash Growth,-10.42%,-17.59%,-9.31%,-7.53%,-11.83%,-4.93%,208.24%,210.68%,-,-,-4.37%,-,-,-,-
4,Accounts Receivable,303.52,321.6,284.43,260.05,293.53,257.45,202.71,195.56,226.66,207.61,-,181.95,-,-,-
5,Other Receivables,3.4,10.79,1.23,5.2,2.78,2.33,15.2,1.44,1.1,6.37,-,9.59,-,-,-
6,Receivables,306.91,332.39,285.65,265.25,296.32,259.78,217.91,197,227.75,213.99,-,191.54,-,-,-
7,Inventory,334.35,305.02,240.48,227.5,225.28,203.94,177.15,161.4,151.57,122.62,-,120.17,-,-,-
8,Other Current Assets,18.61,13.06,17.86,9.1,17.61,18.39,12.55,16.17,19.37,14.41,-,8.54,-,-,-
9,Total Current Assets,1171,1188,1139,1113,1110,1134,1064,1036,1046,1037,-,533.14,-,-,-
10,"Property, Plant & Equipment",88.04,90.05,92.38,93.19,80.51,75.76,67.75,66.04,44.42,35.91,-,16.02,-,-,-
11,Goodwill,9.23,9.23,9.23,9.23,9.51,9.51,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,38.48,29.86,27.72,13.69,13.8,13.84,13.94,13.95,14.11,14.23,-,14.5,-,-,-
13,Long-Term Deferred Tax Assets,25.19,26.35,21.75,19.1,15.45,13.32,12.32,12.37,11.46,11.38,-,15.59,-,-,-
14,Long-Term Deferred Charges,11.83,10.52,7.87,2.2,4.09,1.03,0.83,1.11,1.33,2.15,-,2.81,-,-,-
15,Other Long-Term Assets,1.34,12.49,4.92,5.93,3.2,1.97,0.1,0.1,4.61,4.6,-,0.35,-,-,-
16,Total Assets,1345,1366,1303,1257,1236,1249,1159,1130,1122,1105,-,582.41,-,-,-
17,Accounts Payable,73.38,101.22,75.68,57.99,54.34,89.79,60.3,42.23,40.87,34.16,-,66.13,-,-,-
18,Accrued Expenses,7.55,17.17,4.4,22.95,6.88,16.22,3.84,19.74,6.69,40.04,-,13.05,-,-,-
19,Short-Term Debt,24.05,-,-,-,-,2.29,-,-,-,-,-,-,-,-,-
20,Current Portion of Leases,2.51,2.53,2.78,2.08,2.42,0.66,3.14,3.85,2.97,3.28,-,4,-,-,-
21,Current Income Taxes Payable,24.22,19.11,15.69,9.69,14.66,6.81,1.32,0.77,20.11,14.7,-,16.07,-,-,-
22,Current Unearned Revenue,1.64,1.61,2.6,1.7,1.63,2.73,3.48,3.16,2.85,3.26,-,2.41,-,-,-
23,Other Current Liabilities,14.84,56.34,12.68,2.33,13.44,62.09,18.29,9.81,14.08,3.33,-,1.52,-,-,-
24,Total Current Liabilities,148.18,197.97,113.84,96.75,93.37,180.6,90.37,79.56,87.56,98.77,-,103.19,-,-,-
25,Long-Term Leases,2.39,2.86,3.97,3.07,3.36,0.65,0.27,0.64,1.25,1.8,-,2.98,-,-,-
26,Long-Term Deferred Tax Liabilities,1.64,1.73,1.97,0.9,0.04,0.01,-,1.04,-,-,-,-,-,-,-
27,Total Liabilities,152.21,202.57,119.78,100.71,96.78,181.27,90.64,81.25,88.81,100.57,-,106.16,-,-,-
28,Common Stock,82.44,82.21,82.21,82.21,82.21,80,80,80,80,80,-,60,-,-,-
29,Additional Paid-In Capital,684.22,676.82,669.86,662.82,655.74,612.48,613.23,613.23,613.23,613.23,-,160.15,-,-,-
30,Retained Earnings,405.45,377.8,406.82,386.54,372.49,344.83,369.4,344.18,325.02,310.28,-,265,-,-,-
31,Comprehensive Income & Other,12.9,18.22,15.47,15.36,19.82,21.19,5.52,10.92,14.77,0.76,-,-8.96,-,-,-
32,Total Common Equity,1185,1155,1174,1147,1130,1059,1068,1048,1033,1004,476.18,476.18,-,-,351.21
33,Minority Interest,7.91,8.49,8.8,9.17,9.35,9.51,-0.04,-0.03,-0.03,-0,-,0.06,-,-,-
34,Shareholders' Equity,1193,1164,1183,1156,1140,1068,1068,1048,1033,1004,476.25,476.25,-,-,351.43
35,Total Liabilities & Equity,1345,1366,1303,1257,1236,1249,1159,1130,1122,1105,-,582.41,-,-,-
36,Total Debt,28.95,5.39,6.74,5.15,5.78,3.61,3.41,4.5,4.23,5.08,6.98,6.98,-,-,24.83
37,Net Cash (Debt),482.2,531.74,588.33,606.48,564.83,648.14,652.79,656.91,642.95,680.47,205.91,205.91,-,-,197.78
38,Net Cash Growth,-14.63%,-17.96%,-9.87%,-7.68%,-12.15%,-4.75%,217.02%,219.02%,-,-,4.11%,-,-,-,-
39,Net Cash Per Share,5.86,6.47,7.16,7.38,7.06,8.10,8.16,8.21,8.04,11.34,3.43,3.43,-,-,3.31
40,Filing Date Shares Outstanding,82.44,82.21,82.21,82.21,82.21,80,80,80,80,80,60,60,60.49,59.75,59.75
41,Total Common Shares Outstanding,82.44,82.21,82.21,82.21,82.21,80,80,80,80,80,60,60,60.49,59.75,59.75
42,Working Capital,1023,989.63,1025,1017,1016,953.25,973.44,956.42,958.32,937.79,-,429.96,-,-,-
43,Book Value Per Share,14.37,14.05,14.28,13.95,13.75,13.23,13.35,13.10,12.91,12.55,7.94,7.94,-,-,5.85
44,Tangible Book Value,1137,1116,1137,1124,1107,1035,1054,1034,1019,990.03,461.68,461.68,-,-,350.53
45,Tangible Book Value Per Share,13.80,13.57,13.84,13.67,13.46,12.94,13.18,12.93,12.74,12.38,7.69,7.69,-,-,5.84
46,Buildings,-,66.55,-,66.55,-,0.82,-,0.8,-,0.76,-,0.73,-,-,-
47,Machinery,-,20.82,-,16.58,-,14.37,-,9.29,-,9.06,-,8.81,-,-,-
48,Construction In Progress,-,9.72,-,15.11,-,67.13,-,58.47,-,27.43,-,5.15,-,-,-
