,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,246.98,224.57,196.46,222.1,226.26,215.04,162.28,156.79,156.23,126.03,123.01,174.37,160.4,180.96,180.96
1,Revenue Growth (YoY),9.16%,4.43%,21.06%,41.66%,44.82%,70.62%,31.93%,-10.08%,-2.60%,-30.36%,-32.03%,-,-,-,-
2,Cost of Revenue,173.09,166.23,142.79,174.24,165.14,166.65,122.49,124.83,109.47,90.5,85.36,112.78,110.45,129.55,129.55
3,Gross Profit,73.89,58.34,53.67,47.86,61.12,48.39,39.79,31.96,46.77,35.53,37.65,61.59,49.95,51.42,51.42
4,"Selling, General & Admin",25.35,28.67,24.08,34.71,24.65,17.14,16.39,15.93,15.16,15.17,11.65,29.13,12.8,14.28,14.28
5,Research & Development,5.21,4.42,4.09,4.35,2.54,2.21,2.09,1.32,3.43,1.26,1.57,1.26,2.11,1.35,1.35
6,Other Operating Expenses,1.27,0.05,0.15,0.12,0.08,-1.39,0.13,0.41,0.05,0.13,-0.1,0.9,-0.11,0.31,0.31
7,Operating Expenses,33.42,34.76,29.5,38.96,28.47,19.88,19.79,18.94,18.5,1.67,14.63,-18.22,16.47,28.39,28.39
8,Operating Income,40.47,23.58,24.17,8.9,32.65,28.51,20,13.02,28.27,33.86,23.02,79.81,33.48,23.02,23.02
9,Interest Expense,-0.3,-0.07,-0.07,-0.08,-0.09,-0.04,-0.05,-0.05,-0.06,-0.07,-0.09,-,-0.13,-0.35,-0.35
10,Interest & Investment Income,3.86,3.86,3.15,3.66,3.42,4.24,4.15,2.14,0.99,0.27,0.26,0.47,-,0.53,0.53
11,Currency Exchange Gain (Loss),2.89,-2.89,-,4.68,-3.25,3.25,-,-5.46,0.96,-0.96,-,2.64,-0.31,0.15,0.15
12,Other Non Operating Income (Expenses),-6.62,1.39,-1.34,-3.81,3.54,-7.37,7.12,8.81,-8.42,-0.79,0.67,-1.38,0.14,-0.14,-0.14
13,EBT Excluding Unusual Items,40.3,25.87,25.91,13.35,36.27,28.59,31.23,18.46,21.75,32.31,23.87,81.54,33.19,23.22,23.22
14,Gain (Loss) on Sale of Investments,-2.42,0.03,-,0.04,-0.09,0.06,-,0.34,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,0,-0,-,0.01,0.02,0.08,0.01,0,-0.01,0.01,-0.01,0.04,0.02,-,-
16,Asset Writedown,-5.47,1.94,-1.94,2.83,-2.83,0.87,-0.87,4.72,-4.72,1.03,-1.03,3.66,-3.66,-,-
17,Other Unusual Items,0.55,-0.16,0.22,-0.19,-,-0.05,0.05,0.81,-,-,-,1.08,-,-,-
18,Pretax Income,32.97,27.69,24.19,16.04,33.37,29.55,30.42,24.34,17.02,33.35,22.84,86.33,29.55,23.22,23.22
19,Income Tax Expense,5.9,3.98,4.29,2.29,5.87,4.14,5.21,5.17,2.31,6.91,4.06,17.46,6.28,4.73,4.73
20,Earnings From Continuing Operations,27.07,23.71,19.9,13.75,27.5,25.41,25.2,19.16,14.71,26.44,18.78,68.87,23.27,18.49,18.49
21,Minority Interest in Earnings,0.58,0.3,0.37,0.31,0.16,0.02,0.02,-0,0.03,0.03,0.03,0.05,0.04,0.03,0.03
22,Net Income,27.65,24.01,20.27,14.05,27.66,25.43,25.22,19.16,14.74,26.47,18.81,68.92,23.31,18.52,18.52
23,Net Income to Common,27.65,24.01,20.27,14.05,27.66,25.43,25.22,19.16,14.74,26.47,18.81,68.92,23.31,18.52,18.52
24,Net Income Growth,-0.04%,-5.59%,-19.62%,-26.65%,87.64%,-3.93%,34.09%,-72.20%,-36.78%,42.92%,1.54%,-,-,-,-
25,Shares Outstanding (Basic),82,82,82,82,80,80,80,80,80,60,60,60,60,60,60
26,Shares Outstanding (Diluted),82,82,82,82,80,80,80,80,80,60,60,60,60,60,60
27,Shares Change (YoY),2.86%,2.75%,2.78%,2.80%,-0.00%,33.33%,33.32%,33.30%,32.25%,0.42%,0.41%,-,-,-,-
28,EPS (Basic),0.34,0.29,0.25,0.17,0.35,0.32,0.32,0.24,0.18,0.44,0.31,1.15,0.39,0.31,0.31
29,EPS (Diluted),0.34,0.29,0.25,0.17,0.35,0.32,0.32,0.24,0.18,0.44,0.31,1.15,0.39,0.31,0.31
30,EPS Growth,-2.82%,-8.11%,-21.79%,-28.65%,87.64%,-27.95%,0.57%,-79.15%,-52.20%,42.32%,1.13%,-,-,-,-
31,Free Cash Flow,6.82,-55.3,-14.73,32.19,-57.69,-5.58,-6.02,8.38,-13.82,-20.09,-13.6,57.87,-19.67,-6.85,-6.85
32,Free Cash Flow Per Share,0.08,-0.67,-0.18,0.39,-0.72,-0.07,-0.08,0.10,-0.17,-0.33,-0.23,0.96,-0.33,-0.11,-0.11
33,Dividend Per Share,-,-,-,0.645,-,-,-,0.625,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,3.20%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,29.92%,25.98%,27.32%,21.55%,27.01%,22.50%,24.52%,20.38%,29.93%,28.19%,30.61%,35.32%,31.14%,28.41%,28.41%
36,Operating Margin,16.39%,10.50%,12.30%,4.01%,14.43%,13.26%,12.33%,8.30%,18.09%,26.86%,18.72%,45.77%,20.87%,12.72%,12.72%
37,Profit Margin,11.19%,10.69%,10.32%,6.33%,12.22%,11.83%,15.54%,12.22%,9.43%,21.00%,15.29%,39.53%,14.53%,10.24%,10.24%
38,Free Cash Flow Margin,2.76%,-24.62%,-7.50%,14.49%,-25.50%,-2.60%,-3.71%,5.34%,-8.85%,-15.94%,-11.06%,33.19%,-12.26%,-3.79%,-3.79%
39,EBITDA,41.24,24.95,24.94,9.67,33.08,28.87,20.44,13.45,28.79,34.32,23.55,80.33,33.97,23.52,23.52
40,EBITDA Margin,16.70%,11.11%,12.69%,4.35%,14.62%,13.42%,12.59%,8.58%,18.43%,27.23%,19.14%,46.07%,21.18%,13.00%,13.00%
41,D&A For EBITDA,0.77,1.36,0.77,0.77,0.43,0.36,0.43,0.43,0.52,0.47,0.52,0.52,0.5,0.5,0.5
42,EBIT,40.47,23.58,24.17,8.9,32.65,28.51,20,13.02,28.27,33.86,23.02,79.81,33.48,23.02,23.02
43,EBIT Margin,16.39%,10.50%,12.30%,4.01%,14.43%,13.26%,12.33%,8.30%,18.09%,26.86%,18.72%,45.77%,20.87%,12.72%,12.72%
44,Effective Tax Rate,17.90%,14.37%,17.72%,14.27%,17.58%,14.00%,17.14%,21.26%,13.59%,20.71%,17.78%,20.22%,21.24%,20.35%,20.35%
45,Revenue as Reported,246.98,224.57,196.46,222.1,226.26,215.04,162.28,156.79,156.23,126.03,123.01,174.37,160.4,180.96,180.96
