,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,147.06,118.57,101.96,124.38,233.39,130.93,139.59,100.72,179.5,99.2,97.68,77.79
1,Other Revenue,-,-0.7,0.7,-,1.42,-0.58,0.58,-,2.39,-0.73,0.73,-
2,Revenue,147.06,117.88,102.65,124.38,234.81,130.35,140.16,100.72,181.89,98.47,98.41,77.79
3,Revenue Growth (YoY),-37.37%,-9.57%,-26.76%,23.49%,29.09%,32.37%,42.42%,29.47%,-,-,-,-
4,Cost of Revenue,-179.58,64.65,57.6,57.34,120.39,62.56,67.78,43.34,86.68,44.27,49.84,32.81
5,Gross Profit,326.64,53.23,45.06,67.04,114.42,67.79,72.38,57.38,95.21,54.2,48.57,44.98
6,"Selling, General & Admin",-78.68,24.71,29.31,24.66,32.23,26.09,29.13,23.48,25.66,22.72,21.38,18.68
7,Research & Development,-56.95,15.98,24.7,16.26,21.68,19.22,25.34,13.42,14.41,15.39,15.6,9.5
8,Other Operating Expenses,433.45,6.01,-6.06,-0.23,5.1,-5.35,0.56,-1.64,-3.98,-7.23,-0.27,-2.87
9,Operating Expenses,292.59,47.94,51.09,41.55,66.93,42.21,55.6,36.38,46.19,31.74,37.56,25.56
10,Operating Income,34.06,5.29,-6.04,25.48,47.49,25.58,16.78,21,49.02,22.46,11.01,19.42
11,Interest Expense,-12.54,-0.03,-0.11,-0.05,-0.25,-0.15,-0.1,-0.09,-0.09,-0.1,-0.13,-0.01
12,Interest & Investment Income,0.19,5.15,4.89,2.51,3.62,4.93,1.76,3.95,0.14,0.51,0.53,2.18
13,Currency Exchange Gain (Loss),-,-1.96,1.96,-,4.63,-3.6,3.6,-,6.33,-1.73,1.73,-
14,Other Non Operating Income (Expenses),9.06,-1.2,-0.28,0.01,-4.26,5.36,0.66,-0.91,-5.16,5.25,0.05,0.03
15,EBT Excluding Unusual Items,30.77,7.25,0.41,27.95,51.23,32.12,22.71,23.96,50.24,26.39,13.19,21.62
16,Gain (Loss) on Sale of Investments,1.61,-1.61,0.25,-0.25,-,0.18,0.25,-0.43,-0.27,0.18,-0.18,-
17,Gain (Loss) on Sale of Assets,-0.11,0.12,-0.01,-0,0.79,0.01,-,0.25,0,0.18,0.11,0.1
18,Asset Writedown,0.28,-0.31,-0.02,0.04,1.09,-0.96,0.17,-0.32,0.24,-0.24,-,-
19,Other Unusual Items,-9.89,6.04,1.76,2.09,12.45,0.18,-0.18,-,0.01,-,-,-
20,Pretax Income,22.66,11.49,2.4,29.84,65.57,31.54,22.95,23.46,50.21,26.46,13.17,21.71
21,Income Tax Expense,-0.65,0.59,-4.22,3.56,7.23,1.22,0.9,3,5.95,3.17,0.12,3.14
